species,pt_lo,pt_hi,pt_center,counts,value,error
Kplus,0.0000,0.1000,0.0500,8.107700e+04,2.178974e+00,7.652497e-03
Kplus,0.1000,0.2000,0.1500,2.187250e+05,5.878314e+00,1.256908e-02
Kplus,0.2000,0.3000,0.2500,2.965210e+05,7.969109e+00,1.463464e-02
Kplus,0.3000,0.4000,0.3500,3.112080e+05,8.363828e+00,1.499270e-02
Kplus,0.4000,0.5000,0.4500,2.798510e+05,7.521097e+00,1.421732e-02
Kplus,0.5000,0.6000,0.5500,2.267290e+05,6.093424e+00,1.279699e-02
Kplus,0.6000,0.7000,0.6500,1.732150e+05,4.655216e+00,1.118529e-02
Kplus,0.7000,0.8000,0.7500,1.264830e+05,3.399277e+00,9.558075e-03
Kplus,0.8000,0.9000,0.8500,8.902700e+04,2.392633e+00,8.018908e-03
Kplus,0.9000,1.0000,0.9500,6.200800e+04,1.666487e+00,6.692343e-03
Kplus,1.0000,1.1000,1.0500,4.258300e+04,1.144434e+00,5.545905e-03
Kplus,1.1000,1.2000,1.1500,2.959000e+04,7.952420e-01,4.623031e-03
Kplus,1.2000,1.3000,1.2500,2.033700e+04,5.465643e-01,3.832638e-03
Kplus,1.3000,1.4000,1.3500,1.384800e+04,3.721700e-01,3.162626e-03
Kplus,1.4000,1.5000,1.4500,9.474000e+03,2.546172e-01,2.615899e-03
Kplus,1.5000,1.6000,1.5500,6.700000e+03,1.800649e-01,2.199843e-03
Kplus,1.6000,1.7000,1.6500,4.497000e+03,1.208585e-01,1.802253e-03
Kplus,1.7000,1.8000,1.7500,3.203000e+03,8.608179e-02,1.521013e-03
Kplus,1.8000,1.9000,1.8500,2.118000e+03,5.692202e-02,1.236851e-03
Kplus,1.9000,2.0000,1.9500,1.623000e+03,4.361871e-02,1.082714e-03
Kplus,2.0000,2.1000,2.0500,1.076000e+03,2.891789e-02,8.815774e-04
Kplus,2.1000,2.2000,2.1500,7.660000e+02,2.058653e-02,7.438215e-04
Kplus,2.2000,2.3000,2.2500,5.640000e+02,1.515770e-02,6.382545e-04
Kplus,2.3000,2.4000,2.3500,4.190000e+02,1.126078e-02,5.501250e-04
Kplus,2.4000,2.5000,2.4500,3.110000e+02,8.358238e-03,4.739522e-04
