pt_lo,pt_hi,pt_center,K+,K-,K0S,R,R_err
0.0000,0.1000,0.0500,81077,55307,6.836050e+04,9.975351e-01,3.817629e-03
0.1000,0.2000,0.1500,218725,152162,1.850420e+05,1.002170e+00,2.328472e-03
0.2000,0.3000,0.2500,296521,209233,2.522020e+05,1.002676e+00,1.995246e-03
0.3000,0.4000,0.3500,311208,219090,2.645005e+05,1.002452e+00,1.947980e-03
0.4000,0.5000,0.4500,279851,193864,2.360370e+05,1.003476e+00,2.063672e-03
0.5000,0.6000,0.5500,226729,152804,1.900285e+05,9.986213e-01,2.291613e-03
0.6000,0.7000,0.6500,173215,112912,1.426285e+05,1.003050e+00,2.653927e-03
0.7000,0.8000,0.7500,126483,80762,1.033390e+05,1.002743e+00,3.117170e-03
0.8000,0.9000,0.8500,89027,55214,7.241700e+04,9.959057e-01,3.704621e-03
0.9000,1.0000,0.9500,62008,37801,4.993250e+04,9.994392e-01,4.473276e-03
1.0000,1.1000,1.0500,42583,25726,3.426900e+04,9.966588e-01,5.388395e-03
1.1000,1.2000,1.1500,29590,17083,2.342150e+04,9.963709e-01,6.516415e-03
1.2000,1.3000,1.2500,20337,11649,1.582050e+04,1.010904e+00,8.015403e-03
1.3000,1.4000,1.3500,13848,7799,1.079250e+04,1.002872e+00,9.646582e-03
1.4000,1.5000,1.4500,9474,5092,7.261500e+03,1.002961e+00,1.176116e-02
1.5000,1.6000,1.5500,6700,3323,4.979000e+03,1.006527e+00,1.424129e-02
1.6000,1.7000,1.6500,4497,2199,3.390000e+03,9.876106e-01,1.701546e-02
1.7000,1.8000,1.7500,3203,1477,2.323000e+03,1.007318e+00,2.086180e-02
1.8000,1.9000,1.8500,2118,969,1.603000e+03,9.628821e-01,2.428018e-02
1.9000,2.0000,1.9500,1623,620,1.164000e+03,9.634880e-01,2.850662e-02
2.0000,2.1000,2.0500,1076,449,7.890000e+02,9.664132e-01,3.470286e-02
2.1000,2.2000,2.1500,766,299,5.425000e+02,9.815668e-01,4.233986e-02
2.2000,2.3000,2.2500,564,182,3.865000e+02,9.650712e-01,4.953122e-02
2.3000,2.4000,2.3500,419,139,2.705000e+02,1.031423e+00,6.223290e-02
2.4000,2.5000,2.4500,311,105,1.860000e+02,1.118280e+00,7.979862e-02
