y_lo,y_hi,y_center,K+,K-,K0S,R_K,R_K_err
-3.0000,-2.9143,-2.9571,456,81,2.725000e+02,9.853211e-01,5.991092e-02
-2.9143,-2.8286,-2.8714,880,179,5.170000e+02,1.024178e+00,4.477667e-02
-2.8286,-2.7429,-2.7857,1465,275,8.975000e+02,9.693593e-01,3.261164e-02
-2.7429,-2.6571,-2.7000,2392,418,1.393500e+03,1.008253e+00,2.695413e-02
-2.6571,-2.5714,-2.6143,3672,685,2.127000e+03,1.024213e+00,2.207620e-02
-2.5714,-2.4857,-2.5286,5217,952,3.221000e+03,9.576219e-01,1.705890e-02
-2.4857,-2.4000,-2.4429,7358,1492,4.353500e+03,1.016424e+00,1.534242e-02
-2.4000,-2.3143,-2.3571,9817,2223,5.885000e+03,1.022940e+00,1.325953e-02
-2.3143,-2.2286,-2.2714,12821,2957,7.903000e+03,9.982285e-01,1.123380e-02
-2.2286,-2.1429,-2.1857,16196,3977,1.017200e+04,9.915946e-01,9.852566e-03
-2.1429,-2.0571,-2.1000,20102,5440,1.285900e+04,9.931565e-01,8.773259e-03
-2.0571,-1.9714,-2.0143,24379,7060,1.556550e+04,1.009894e+00,8.074727e-03
-1.9714,-1.8857,-1.9286,29169,8770,1.873000e+04,1.012787e+00,7.376903e-03
-1.8857,-1.8000,-1.8429,33503,10953,2.226450e+04,9.983606e-01,6.693591e-03
-1.8000,-1.7143,-1.7571,38359,13544,2.564950e+04,1.011774e+00,6.299077e-03
-1.7143,-1.6286,-1.6714,42973,16100,2.927650e+04,1.008881e+00,5.883320e-03
-1.6286,-1.5429,-1.5857,47681,19402,3.319450e+04,1.010454e+00,5.531681e-03
-1.5429,-1.4571,-1.5000,51697,22437,3.704450e+04,1.000607e+00,5.197996e-03
-1.4571,-1.3714,-1.4143,56436,26147,4.070850e+04,1.014321e+00,5.009503e-03
-1.3714,-1.2857,-1.3286,59966,29564,4.489050e+04,9.972043e-01,4.709894e-03
-1.2857,-1.2000,-1.2429,64310,32937,4.857450e+04,1.001009e+00,4.540715e-03
-1.2000,-1.1143,-1.1571,67535,36630,5.219900e+04,9.977682e-01,4.369596e-03
-1.1143,-1.0286,-1.0714,71403,40428,5.581000e+04,1.001890e+00,4.238959e-03
-1.0286,-0.9429,-0.9857,74560,43689,5.923100e+04,9.982020e-01,4.103358e-03
-0.9429,-0.8571,-0.9000,77491,47252,6.230900e+04,1.001003e+00,4.009140e-03
-0.8571,-0.7714,-0.8143,80212,50684,6.539100e+04,1.000872e+00,3.913135e-03
-0.7714,-0.6857,-0.7286,82146,53152,6.801150e+04,9.946700e-01,3.819169e-03
-0.6857,-0.6000,-0.6429,84813,56245,7.059850e+04,9.990156e-01,3.760811e-03
-0.6000,-0.5143,-0.5571,86558,58390,7.274150e+04,9.963226e-01,3.697509e-03
