key,value
n_events,372088
n_events_seen_total,372088
n_particles_seen,147908942
ycut,1.0
y_shift,0.0
input_frame,cm
collision_mode,collider
analysis_frame,cm
ecm_snn_gev,11.9
beam_kinetic_agev,
collision_system,Ar40+Sc45
beam_label,"s_NN = 11.9 GeV, collider mode, modified"
k0_mode,strong
k0s_codes,"(311, -311)"
neutral_scale_for_K0S,0.5
centrality_top_fraction,1.0
centrality_activity_ymax,
centrality_selected_events,372088
centrality_total_events_seen,372088
centrality_threshold_activity,119
Kplus_raw_total,3342332
Kplus_total,3342332.0
Kplus_raw_in_window,2002619
Kplus_in_window,2002619.0
Kplus_per_event_in_window,5.382111221001484
Kminus_raw_total,1925863
Kminus_total,1925863.0
Kminus_raw_in_window,1346456
Kminus_in_window,1346456.0
Kminus_per_event_in_window,3.618649351766249
K0S_raw_total,5258403
K0S_total,2629201.5
K0S_raw_in_window,3344259
K0S_in_window,1672129.5
K0S_per_event_in_window,4.493908699017437
R_integrated,1.0014400798502747
R_integrated_err,0.0007741655266523622
