species,y_lo,y_hi,y_center,counts,value,error
Kplus,-3.0000,-2.9143,-2.9571,4.560000e+02,1.429769e-02,6.695508e-04
Kplus,-2.9143,-2.8286,-2.8714,8.800000e+02,2.759204e-02,9.301275e-04
Kplus,-2.8286,-2.7429,-2.7857,1.465000e+03,4.593447e-02,1.200107e-03
Kplus,-2.7429,-2.6571,-2.7000,2.392000e+03,7.500018e-02,1.533493e-03
Kplus,-2.6571,-2.5714,-2.6143,3.672000e+03,1.151341e-01,1.899995e-03
Kplus,-2.5714,-2.4857,-2.5286,5.217000e+03,1.635769e-01,2.264705e-03
Kplus,-2.4857,-2.4000,-2.4429,7.358000e+03,2.307071e-01,2.689559e-03
Kplus,-2.4000,-2.3143,-2.3571,9.817000e+03,3.078080e-01,3.106637e-03
Kplus,-2.3143,-2.2286,-2.2714,1.282100e+04,4.019972e-01,3.550276e-03
Kplus,-2.2286,-2.1429,-2.1857,1.619600e+04,5.078189e-01,3.990295e-03
Kplus,-2.1429,-2.0571,-2.1000,2.010200e+04,6.302900e-01,4.445501e-03
Kplus,-2.0571,-1.9714,-2.0143,2.437900e+04,7.643935e-01,4.895635e-03
Kplus,-1.9714,-1.8857,-1.9286,2.916900e+04,9.145820e-01,5.355030e-03
Kplus,-1.8857,-1.8000,-1.8429,3.350300e+04,1.050473e+00,5.739089e-03
Kplus,-1.8000,-1.7143,-1.7571,3.835900e+04,1.202731e+00,6.140939e-03
Kplus,-1.7143,-1.6286,-1.6714,4.297300e+04,1.347401e+00,6.499785e-03
Kplus,-1.6286,-1.5429,-1.5857,4.768100e+04,1.495018e+00,6.846582e-03
Kplus,-1.5429,-1.4571,-1.5000,5.169700e+04,1.620938e+00,7.129085e-03
Kplus,-1.4571,-1.3714,-1.4143,5.643600e+04,1.769528e+00,7.448679e-03
Kplus,-1.3714,-1.2857,-1.3286,5.996600e+04,1.880209e+00,7.678098e-03
Kplus,-1.2857,-1.2000,-1.2429,6.431000e+04,2.016414e+00,7.951341e-03
Kplus,-1.2000,-1.1143,-1.1571,6.753500e+04,2.117532e+00,8.148273e-03
Kplus,-1.1143,-1.0286,-1.0714,7.140300e+04,2.238812e+00,8.378367e-03
Kplus,-1.0286,-0.9429,-0.9857,7.456000e+04,2.337798e+00,8.561583e-03
Kplus,-0.9429,-0.8571,-0.9000,7.749100e+04,2.429699e+00,8.728242e-03
Kplus,-0.8571,-0.7714,-0.8143,8.021200e+04,2.515014e+00,8.880160e-03
Kplus,-0.7714,-0.6857,-0.7286,8.214600e+04,2.575654e+00,8.986578e-03
Kplus,-0.6857,-0.6000,-0.6429,8.481300e+04,2.659277e+00,9.131294e-03
Kplus,-0.6000,-0.5143,-0.5571,8.655800e+04,2.713991e+00,9.224753e-03
Kplus,-0.5143,-0.4286,-0.4714,8.891500e+04,2.787893e+00,9.349506e-03
Kplus,-0.4286,-0.3429,-0.3857,9.071700e+04,2.844394e+00,9.443771e-03
Kplus,-0.3429,-0.2571,-0.3000,9.162800e+04,2.872958e+00,9.491071e-03
Kplus,-0.2571,-0.1714,-0.2143,9.258500e+04,2.902965e+00,9.540507e-03
Kplus,-0.1714,-0.0857,-0.1286,9.272300e+04,2.907292e+00,9.547614e-03
Kplus,-0.0857,0.0000,-0.0429,9.359200e+04,2.934539e+00,9.592250e-03
Kplus,0.0000,0.0857,0.0429,9.275400e+04,2.908264e+00,9.549210e-03
Kplus,0.0857,0.1714,0.1286,9.265500e+04,2.905160e+00,9.544113e-03
Kplus,0.1714,0.2571,0.2143,9.171700e+04,2.875749e+00,9.495679e-03
Kplus,0.2571,0.3429,0.3000,9.031500e+04,2.831790e+00,9.422824e-03
Kplus,0.3429,0.4286,0.3857,8.897600e+04,2.789806e+00,9.352712e-03
Kplus,0.4286,0.5143,0.4714,8.726800e+04,2.736252e+00,9.262509e-03
Kplus,0.5143,0.6000,0.5571,8.514900e+04,2.669812e+00,9.149364e-03
Kplus,0.6000,0.6857,0.6429,8.220700e+04,2.577567e+00,8.989914e-03
Kplus,0.6857,0.7714,0.7286,8.009500e+04,2.511346e+00,8.873681e-03
Kplus,0.7714,0.8571,0.8143,7.768900e+04,2.435907e+00,8.739385e-03
Kplus,0.8571,0.9429,0.9000,7.424500e+04,2.327922e+00,8.543479e-03
Kplus,0.9429,1.0286,0.9857,7.116500e+04,2.231349e+00,8.364392e-03
Kplus,1.0286,1.1143,1.0714,6.766700e+04,2.121671e+00,8.156232e-03
Kplus,1.1143,1.2000,1.1571,6.460800e+04,2.025757e+00,7.969742e-03
Kplus,1.2000,1.2857,1.2429,6.069300e+04,1.903004e+00,7.724501e-03
Kplus,1.2857,1.3714,1.3286,5.705400e+04,1.788905e+00,7.489351e-03
Kplus,1.3714,1.4571,1.4143,5.296500e+04,1.660696e+00,7.215985e-03
Kplus,1.4571,1.5429,1.5000,4.884100e+04,1.531390e+00,6.929364e-03
