y_lo,y_hi,y_center,KmeanCharged_value,KmeanCharged_err,TwoK0S_value,TwoK0S_err
-3.0000,-2.9143,-2.9571,8.418707e-03,3.632940e-04,8.544126e-03,3.659901e-04
-2.9143,-2.8286,-2.8714,1.660226e-02,5.101749e-04,1.621032e-02,5.041171e-04
-2.8286,-2.7429,-2.7857,2.727849e-02,6.539518e-04,2.814074e-02,6.642069e-04
-2.7429,-2.6571,-2.7000,4.405320e-02,8.310445e-04,4.369262e-02,8.276365e-04
-2.6571,-2.5714,-2.6143,6.830597e-02,1.034820e-03,6.669121e-02,1.022515e-03
-2.5714,-2.4857,-2.5286,9.671323e-02,1.231341e-03,1.009931e-01,1.258292e-03
-2.4857,-2.4000,-2.4429,1.387441e-01,1.474833e-03,1.365022e-01,1.462869e-03
-2.4000,-2.3143,-2.3571,1.887546e-01,1.720222e-03,1.845218e-01,1.700824e-03
-2.3143,-2.2286,-2.2714,2.473564e-01,1.969233e-03,2.477953e-01,1.970980e-03
-2.2286,-2.1429,-2.1857,3.162581e-01,2.226673e-03,3.189389e-01,2.236090e-03
-2.1429,-2.0571,-2.1000,4.004295e-01,2.505524e-03,4.031887e-01,2.514142e-03
-2.0571,-1.9714,-2.0143,4.928785e-01,2.779748e-03,4.880499e-01,2.766099e-03
-1.9714,-1.8857,-1.9286,5.947809e-01,3.053614e-03,5.872715e-01,3.034276e-03
-1.8857,-1.8000,-1.8429,6.969498e-01,3.305494e-03,6.980943e-01,3.308206e-03
-1.8000,-1.7143,-1.7571,8.136986e-01,3.571637e-03,8.042296e-01,3.550795e-03
-1.7143,-1.6286,-1.6714,9.261048e-01,3.810357e-03,9.179527e-01,3.793549e-03
-1.6286,-1.5429,-1.5857,1.051680e+00,4.060480e-03,1.040800e+00,4.039422e-03
-1.5429,-1.4571,-1.5000,1.162221e+00,4.268545e-03,1.161515e+00,4.267249e-03
-1.4571,-1.3714,-1.4143,1.294678e+00,4.505225e-03,1.276398e+00,4.473307e-03
-1.3714,-1.2857,-1.3286,1.403588e+00,4.690892e-03,1.407523e+00,4.697463e-03
-1.2857,-1.2000,-1.2429,1.524570e+00,4.888878e-03,1.523034e+00,4.886414e-03
-1.2000,-1.1143,-1.1571,1.633025e+00,5.059785e-03,1.636678e+00,5.065441e-03
-1.1143,-1.0286,-1.0714,1.753208e+00,5.242667e-03,1.749900e+00,5.237718e-03
-1.0286,-0.9429,-0.9857,1.853824e+00,5.391007e-03,1.857164e+00,5.395860e-03
-0.9429,-0.8571,-0.9000,1.955633e+00,5.537060e-03,1.953673e+00,5.534285e-03
-0.8571,-0.7714,-0.8143,2.052095e+00,5.671975e-03,2.050308e+00,5.669505e-03
-0.7714,-0.6857,-0.7286,2.121107e+00,5.766560e-03,2.132473e+00,5.781990e-03
-0.6857,-0.6000,-0.6429,2.211408e+00,5.888030e-03,2.213587e+00,5.890930e-03
-0.6000,-0.5143,-0.5571,2.272393e+00,5.968666e-03,2.280780e+00,5.979671e-03
-0.5143,-0.4286,-0.4714,2.350324e+00,6.070151e-03,2.331167e+00,6.045361e-03
-0.4286,-0.3429,-0.3857,2.399645e+00,6.133510e-03,2.392779e+00,6.124728e-03
-0.3429,-0.2571,-0.3000,2.442852e+00,6.188482e-03,2.431172e+00,6.173670e-03
-0.2571,-0.1714,-0.2143,2.471714e+00,6.224932e-03,2.465882e+00,6.217584e-03
-0.1714,-0.0857,-0.1286,2.474708e+00,6.228702e-03,2.480101e+00,6.235485e-03
-0.0857,0.0000,-0.0429,2.492251e+00,6.250740e-03,2.485447e+00,6.242202e-03
0.0000,0.0857,0.0429,2.471024e+00,6.224064e-03,2.483675e+00,6.239977e-03
0.0857,0.1714,0.1286,2.469503e+00,6.222148e-03,2.466666e+00,6.218573e-03
0.1714,0.2571,0.2143,2.445470e+00,6.191797e-03,2.435625e+00,6.179321e-03
0.2571,0.3429,0.3000,2.405414e+00,6.140879e-03,2.400366e+00,6.134432e-03
