species,pt_lo,pt_hi,pt_center,counts,value,error
Kplus,0.0000,0.1000,0.0500,6.153600e+04,1.378603e+00,5.557436e-03
Kplus,0.1000,0.2000,0.1500,1.664560e+05,3.729145e+00,9.140282e-03
Kplus,0.2000,0.3000,0.2500,2.262500e+05,5.068722e+00,1.065624e-02
Kplus,0.3000,0.4000,0.3500,2.378580e+05,5.328778e+00,1.092619e-02
Kplus,0.4000,0.5000,0.4500,2.146750e+05,4.809405e+00,1.038008e-02
Kplus,0.5000,0.6000,0.5500,1.745960e+05,3.911507e+00,9.361103e-03
Kplus,0.6000,0.7000,0.6500,1.334760e+05,2.990288e+00,8.184864e-03
Kplus,0.7000,0.8000,0.7500,9.670900e+04,2.166590e+00,6.966960e-03
Kplus,0.8000,0.9000,0.8500,6.939200e+04,1.554602e+00,5.901529e-03
Kplus,0.9000,1.0000,0.9500,4.848800e+04,1.086286e+00,4.933180e-03
Kplus,1.0000,1.1000,1.0500,3.383000e+04,7.578999e-01,4.120604e-03
Kplus,1.1000,1.2000,1.1500,2.308600e+04,5.172000e-01,3.403958e-03
Kplus,1.2000,1.3000,1.2500,1.613600e+04,3.614979e-01,2.845823e-03
Kplus,1.3000,1.4000,1.3500,1.113200e+04,2.493923e-01,2.363722e-03
Kplus,1.4000,1.5000,1.4500,7.780000e+03,1.742968e-01,1.976058e-03
Kplus,1.5000,1.6000,1.5500,5.304000e+03,1.188265e-01,1.631592e-03
Kplus,1.6000,1.7000,1.6500,3.937000e+03,8.820136e-02,1.405700e-03
Kplus,1.7000,1.8000,1.7500,2.706000e+03,6.062303e-02,1.165397e-03
Kplus,1.8000,1.9000,1.8500,1.877000e+03,4.205079e-02,9.706038e-04
Kplus,1.9000,2.0000,1.9500,1.335000e+03,2.990826e-02,8.185600e-04
Kplus,2.0000,2.1000,2.0500,9.490000e+02,2.126063e-02,6.901492e-04
Kplus,2.1000,2.2000,2.1500,6.470000e+02,1.449486e-02,5.698519e-04
Kplus,2.2000,2.3000,2.2500,4.860000e+02,1.088795e-02,4.938875e-04
Kplus,2.3000,2.4000,2.3500,3.360000e+02,7.527472e-03,4.106573e-04
Kplus,2.4000,2.5000,2.4500,2.440000e+02,5.466378e-03,3.499490e-04
Kminus,0.0000,0.1000,0.0500,4.329400e+04,9.699237e-01,4.661479e-03
Kminus,0.1000,0.2000,0.1500,1.179730e+05,2.642972e+00,7.694868e-03
Kminus,0.2000,0.3000,0.2500,1.625930e+05,3.642602e+00,9.033599e-03
Kminus,0.3000,0.4000,0.3500,1.705680e+05,3.821267e+00,9.252490e-03
Kminus,0.4000,0.5000,0.4500,1.489840e+05,3.337717e+00,8.647283e-03
Kminus,0.5000,0.6000,0.5500,1.169640e+05,2.620367e+00,7.661891e-03
Kminus,0.6000,0.7000,0.6500,8.665900e+04,1.941438e+00,6.595029e-03
Kminus,0.7000,0.8000,0.7500,6.107300e+04,1.368230e+00,5.536490e-03
Kminus,0.8000,0.9000,0.8500,4.187800e+04,9.382008e-01,4.584615e-03
Kminus,0.9000,1.0000,0.9500,2.853400e+04,6.392526e-01,3.784349e-03
Kminus,1.0000,1.1000,1.0500,1.903200e+04,4.263775e-01,3.090666e-03
Kminus,1.1000,1.2000,1.1500,1.276100e+04,2.858871e-01,2.530767e-03
Kminus,1.2000,1.3000,1.2500,8.279000e+03,1.854760e-01,2.038444e-03
