# dn/dpT per-event spectrum; N_ev=446873; pt_y_window=[0.0000,2.0000)
species,pt_lo,pt_hi,pt_center,counts,dn_dpt,dn_dpt_err
Kplus,0.0000,0.1000,0.0500,8.441200e+04,1.888948e+00,6.501566e-03
Kplus,0.1000,0.2000,0.1500,2.286350e+05,5.116331e+00,1.070009e-02
Kplus,0.2000,0.3000,0.2500,3.092720e+05,6.920803e+00,1.244475e-02
Kplus,0.3000,0.4000,0.3500,3.232580e+05,7.233778e+00,1.272303e-02
Kplus,0.4000,0.5000,0.4500,2.877160e+05,6.438429e+00,1.200322e-02
Kplus,0.5000,0.6000,0.5500,2.312690e+05,5.175274e+00,1.076154e-02
Kplus,0.6000,0.7000,0.6500,1.735130e+05,3.882826e+00,9.321416e-03
Kplus,0.7000,0.8000,0.7500,1.247930e+05,2.792583e+00,7.905166e-03
Kplus,0.8000,0.9000,0.8500,8.749000e+04,1.957827e+00,6.619041e-03
Kplus,0.9000,1.0000,0.9500,6.000200e+04,1.342708e+00,5.481492e-03
Kplus,1.0000,1.1000,1.0500,4.090200e+04,9.152936e-01,4.525725e-03
Kplus,1.1000,1.2000,1.1500,2.808600e+04,6.285007e-01,3.750255e-03
Kplus,1.2000,1.3000,1.2500,1.881500e+04,4.210368e-01,3.069503e-03
Kplus,1.3000,1.4000,1.3500,1.284000e+04,2.873300e-01,2.535703e-03
Kplus,1.4000,1.5000,1.4500,8.666000e+03,1.939253e-01,2.083172e-03
Kplus,1.5000,1.6000,1.5500,5.881000e+03,1.316034e-01,1.716096e-03
Kplus,1.6000,1.7000,1.6500,4.038000e+03,9.036124e-02,1.421998e-03
Kplus,1.7000,1.8000,1.7500,2.615000e+03,5.851774e-02,1.144331e-03
Kplus,1.8000,1.9000,1.8500,1.958000e+03,4.381558e-02,9.901984e-04
Kplus,1.9000,2.0000,1.9500,1.312000e+03,2.935957e-02,8.105556e-04
Kplus,2.0000,2.1000,2.0500,8.850000e+02,1.980428e-02,6.657137e-04
Kplus,2.1000,2.2000,2.1500,5.620000e+02,1.257628e-02,5.304984e-04
Kplus,2.2000,2.3000,2.2500,4.090000e+02,9.152489e-03,4.525614e-04
Kplus,2.3000,2.4000,2.3500,3.120000e+02,6.981849e-03,3.952694e-04
Kplus,2.4000,2.5000,2.4500,2.090000e+02,4.676944e-03,3.235110e-04
Kminus,0.0000,0.1000,0.0500,5.420500e+04,1.212984e+00,5.209974e-03
Kminus,0.1000,0.2000,0.1500,1.469450e+05,3.288294e+00,8.578143e-03
Kminus,0.2000,0.3000,0.2500,2.002440e+05,4.481005e+00,1.001372e-02
Kminus,0.3000,0.4000,0.3500,2.083340e+05,4.662040e+00,1.021400e-02
Kminus,0.4000,0.5000,0.4500,1.806150e+05,4.041752e+00,9.510269e-03
Kminus,0.5000,0.6000,0.5500,1.397880e+05,3.128137e+00,8.366635e-03
Kminus,0.6000,0.7000,0.6500,1.020610e+05,2.283893e+00,7.149008e-03
Kminus,0.7000,0.8000,0.7500,7.101000e+04,1.589042e+00,5.963149e-03
Kminus,0.8000,0.9000,0.8500,4.834100e+04,1.081761e+00,4.920097e-03
Kminus,0.9000,1.0000,0.9500,3.232600e+04,7.233823e-01,4.023388e-03
Kminus,1.0000,1.1000,1.0500,2.155500e+04,4.823518e-01,3.285412e-03
Kminus,1.1000,1.2000,1.1500,1.440500e+04,3.223511e-01,2.685793e-03
Kminus,1.2000,1.3000,1.2500,9.646000e+03,2.158555e-01,2.197807e-03
Kminus,1.3000,1.4000,1.3500,6.315000e+03,1.413153e-01,1.778290e-03
Kminus,1.4000,1.5000,1.4500,4.036000e+03,9.031649e-02,1.421646e-03
Kminus,1.5000,1.6000,1.5500,2.658000e+03,5.947999e-02,1.153701e-03
Kminus,1.6000,1.7000,1.6500,1.764000e+03,3.947430e-02,9.398643e-04
Kminus,1.7000,1.8000,1.7500,1.194000e+03,2.671900e-02,7.732467e-04
Kminus,1.8000,1.9000,1.8500,8.090000e+02,1.810358e-02,6.364879e-04
Kminus,1.9000,2.0000,1.9500,5.230000e+02,1.170355e-02,5.117605e-04
Kminus,2.0000,2.1000,2.0500,3.550000e+02,7.944091e-03,4.216286e-04
Kminus,2.1000,2.2000,2.1500,2.640000e+02,5.907719e-03,3.635950e-04
Kminus,2.2000,2.3000,2.2500,1.530000e+02,3.423792e-03,2.767971e-04
Kminus,2.3000,2.4000,2.3500,8.600000e+01,1.924484e-03,2.075225e-04
Kminus,2.4000,2.5000,2.4500,6.000000e+01,1.342663e-03,1.733371e-04
K0S,0.0000,0.1000,0.0500,5.905850e+04,1.321595e+00,3.845405e-03
K0S,0.1000,0.2000,0.1500,1.592695e+05,3.564089e+00,6.314910e-03
K0S,0.2000,0.3000,0.2500,2.137800e+05,4.783910e+00,7.316181e-03
K0S,0.3000,0.4000,0.3500,2.203740e+05,4.931468e+00,7.428157e-03
K0S,0.4000,0.5000,0.4500,1.948440e+05,4.360165e+00,6.984646e-03
K0S,0.5000,0.6000,0.5500,1.548450e+05,3.465078e+00,6.226579e-03
K0S,0.6000,0.7000,0.6500,1.160195e+05,2.596252e+00,5.389722e-03
K0S,0.7000,0.8000,0.7500,8.332950e+04,1.864724e+00,4.567728e-03
K0S,0.8000,0.9000,0.8500,5.837200e+04,1.306232e+00,3.822990e-03
K0S,0.9000,1.0000,0.9500,4.008400e+04,8.969886e-01,3.168009e-03
K0S,1.0000,1.1000,1.0500,2.724150e+04,6.096027e-01,2.611659e-03
K0S,1.1000,1.2000,1.1500,1.858650e+04,4.159235e-01,2.157246e-03
K0S,1.2000,1.3000,1.2500,1.258900e+04,2.817131e-01,1.775401e-03
K0S,1.3000,1.4000,1.3500,8.486000e+03,1.898974e-01,1.457647e-03
K0S,1.4000,1.5000,1.4500,5.624500e+03,1.258635e-01,1.186705e-03
K0S,1.5000,1.6000,1.5500,3.733000e+03,8.353604e-02,9.667850e-04
K0S,1.6000,1.7000,1.6500,2.540000e+03,5.683942e-02,7.974762e-04
K0S,1.7000,1.8000,1.7500,1.689000e+03,3.779597e-02,6.503029e-04
K0S,1.8000,1.9000,1.8500,1.113500e+03,2.491759e-02,5.280147e-04
K0S,1.9000,2.0000,1.9500,8.055000e+02,1.802526e-02,4.490903e-04
K0S,2.0000,2.1000,2.0500,5.755000e+02,1.287838e-02,3.795977e-04
K0S,2.1000,2.2000,2.1500,3.590000e+02,8.033602e-03,2.998114e-04
K0S,2.2000,2.3000,2.2500,2.800000e+02,6.265762e-03,2.647768e-04
K0S,2.3000,2.4000,2.3500,1.740000e+02,3.893724e-03,2.087255e-04
K0S,2.4000,2.5000,2.4500,1.150000e+02,2.573438e-03,1.696875e-04
