y_lo,y_hi,y_center,K+,K-,K0S,R_K,R_K_err
-2.5000,-2.4286,-2.4643,7770,1548,3.532500e+03,1.318896e+00,2.080606e-02
-2.4286,-2.3571,-2.3929,10109,2122,4.630500e+03,1.320700e+00,1.819209e-02
-2.3571,-2.2857,-2.3214,12646,2687,5.930500e+03,1.292724e+00,1.580768e-02
-2.2857,-2.2143,-2.2500,15417,3438,7.334500e+03,1.285364e+00,1.415111e-02
-2.2143,-2.1429,-2.1786,18829,4595,9.069000e+03,1.291432e+00,1.277305e-02
-2.1429,-2.0714,-2.1071,22734,5757,1.113100e+04,1.279804e+00,1.144823e-02
-2.0714,-2.0000,-2.0357,26654,7176,1.325000e+04,1.276604e+00,1.047246e-02
-2.0000,-1.9286,-1.9643,30810,8866,1.567900e+04,1.265259e+00,9.560367e-03
-1.9286,-1.8571,-1.8929,34843,10735,1.822000e+04,1.250768e+00,8.789510e-03
-1.8571,-1.7857,-1.8214,38965,12551,2.088750e+04,1.233178e+00,8.119256e-03
-1.7857,-1.7143,-1.7500,43653,15257,2.394550e+04,1.230085e+00,7.568352e-03
-1.7143,-1.6429,-1.6786,47650,17987,2.690850e+04,1.219633e+00,7.092437e-03
-1.6429,-1.5714,-1.6071,51572,20375,2.948150e+04,1.220206e+00,6.778341e-03
-1.5714,-1.5000,-1.5357,55379,23635,3.260950e+04,1.211518e+00,6.409485e-03
-1.5000,-1.4286,-1.4643,59429,26787,3.563500e+04,1.209710e+00,6.124276e-03
-1.4286,-1.3571,-1.3929,63055,29860,3.859250e+04,1.203796e+00,5.862674e-03
-1.3571,-1.2857,-1.3214,67070,32891,4.172650e+04,1.197812e+00,5.616537e-03
-1.2857,-1.2143,-1.2500,70081,36392,4.469650e+04,1.191066e+00,5.403112e-03
-1.2143,-1.1429,-1.1786,72874,40111,4.757200e+04,1.187516e+00,5.225220e-03
-1.1429,-1.0714,-1.1071,76070,43643,5.060250e+04,1.182876e+00,5.051068e-03
-1.0714,-1.0000,-1.0357,79708,47008,5.330950e+04,1.188494e+00,4.939168e-03
-1.0000,-0.9286,-0.9643,82265,50228,5.615000e+04,1.179813e+00,4.785489e-03
-0.9286,-0.8571,-0.8929,84560,53074,5.847450e+04,1.176872e+00,4.680398e-03
-0.8571,-0.7857,-0.8214,86869,55997,6.070750e+04,1.176675e+00,4.592920e-03
-0.7857,-0.7143,-0.7500,89795,58182,6.314050e+04,1.171807e+00,4.489208e-03
-0.7143,-0.6429,-0.6786,92010,61628,6.525600e+04,1.177194e+00,4.431467e-03
-0.6429,-0.5714,-0.6071,93388,64068,6.711550e+04,1.173023e+00,4.357716e-03
-0.5714,-0.5000,-0.5357,95862,65944,6.913100e+04,1.170285e+00,4.286007e-03
-0.5000,-0.4286,-0.4643,96460,67877,6.988300e+04,1.175801e+00,4.278344e-03
-0.4286,-0.3571,-0.3929,98326,69500,7.115500e+04,1.179299e+00,4.249644e-03
-0.3571,-0.2857,-0.3214,98935,70423,7.237600e+04,1.169987e+00,4.188002e-03
-0.2857,-0.2143,-0.2500,99758,71311,7.347300e+04,1.164162e+00,4.140691e-03
-0.2143,-0.1429,-0.1786,100816,72536,7.400900e+04,1.171155e+00,4.144721e-03
-0.1429,-0.0714,-0.1071,101002,72890,7.460200e+04,1.165465e+00,4.112774e-03
-0.0714,0.0000,-0.0357,100855,72939,7.430500e+04,1.169464e+00,4.131860e-03
0.0000,0.0714,0.0357,101481,73299,7.436850e+04,1.175094e+00,4.145395e-03
0.0714,0.1429,0.1071,100009,73005,7.400550e+04,1.168927e+00,4.138749e-03
0.1429,0.2143,0.1786,99734,72359,7.342300e+04,1.171928e+00,4.163343e-03
0.2143,0.2857,0.2500,98577,71067,7.254800e+04,1.169185e+00,4.180826e-03
0.2857,0.3571,0.3214,97556,70024,7.133750e+04,1.174558e+00,4.231055e-03
0.3571,0.4286,0.3929,96674,68475,7.031950e+04,1.174276e+00,4.260784e-03
0.4286,0.5000,0.4643,94917,66749,6.896750e+04,1.172045e+00,4.296049e-03
0.5000,0.5714,0.5357,92549,65092,6.769600e+04,1.164330e+00,4.314231e-03
0.5714,0.6429,0.6071,91019,62671,6.554600e+04,1.172383e+00,4.407728e-03
0.6429,0.7143,0.6786,88649,60686,6.310300e+04,1.183264e+00,4.524326e-03
0.7143,0.7857,0.7500,86593,57350,6.114300e+04,1.177101e+00,4.577811e-03
0.7857,0.8571,0.8214,84305,54840,5.866150e+04,1.185999e+00,4.700842e-03
0.8571,0.9286,0.8929,81883,51954,5.633700e+04,1.187825e+00,4.802537e-03
0.9286,1.0000,0.9643,78558,49217,5.373450e+04,1.188948e+00,4.921046e-03
1.0000,1.0714,1.0357,75795,45118,5.099400e+04,1.185561e+00,5.040445e-03
1.0714,1.1429,1.1071,72886,42517,4.840600e+04,1.192032e+00,5.195206e-03
1.1429,1.2143,1.1786,69903,38571,4.553950e+04,1.190988e+00,5.352597e-03
1.2143,1.2857,1.2500,66355,35626,4.250200e+04,1.199720e+00,5.571908e-03
1.2857,1.3571,1.3214,63312,31884,3.976650e+04,1.196937e+00,5.750039e-03
1.3571,1.4286,1.3929,59630,28609,3.646850e+04,1.209797e+00,6.054226e-03
1.4286,1.5000,1.4643,56041,25728,3.354650e+04,1.218741e+00,6.348490e-03
1.5000,1.5714,1.5357,52243,22452,3.063600e+04,1.219072e+00,6.644609e-03
1.5714,1.6429,1.6071,48561,19522,2.775600e+04,1.226456e+00,7.013576e-03
1.6429,1.7143,1.6786,44527,16774,2.493400e+04,1.229265e+00,7.412978e-03
1.7143,1.7857,1.7500,40099,14336,2.186300e+04,1.244911e+00,7.994641e-03
