key,value
n_events,446873
n_events_seen_total,446873
n_particles_seen,177505928
ycut,1.0
pt_y_lo,0.0
pt_y_hi,2.0
pt_y_symmetric,False
y_shift,0.0
input_frame,cm
collision_mode,collider
analysis_frame,cm
ecm_snn_gev,11.9
beam_kinetic_agev,
collision_system,Ar+Sc
beam_label,"sqrt(s_NN) = 11.9 GeV, collision, modified"
k0_mode,strong
k0s_codes,"(311, -311)"
neutral_scale_for_K0S,0.5
centrality_top_fraction,1.0
centrality_activity_ymax,
centrality_selected_events,446873
centrality_total_events_seen,446873
centrality_threshold_activity,113
npart_enabled,True
y_proj_input,2.5339781668191783
y_targ_input,-2.5339781668191783
y_spec_tol,0.5
pt_spec_max_gev,0.2
mean_Nspec,12.1961
std_Nspec,4.3019
mean_Npart_note,N_part = A_proj + A_targ - mean_Nspec  (fill in A values manually)
Kplus_raw_total,4403400
Kplus_total,4403400.0
Kplus_raw_in_window,2038321
Kplus_in_window,2038321.0
Kplus_per_event_in_window,4.561298176439391
Kminus_raw_total,2578366
Kminus_total,2578366.0
Kminus_raw_in_window,1247858
Kminus_in_window,1247858.0
Kminus_per_event_in_window,2.7924220080425535
K0S_raw_total,5867869
K0S_total,2933934.5
K0S_raw_in_window,2768341
K0S_in_window,1384170.5
K0S_per_event_in_window,3.0974583382750804
R_integrated,1.1870571580596465
R_integrated_err,0.0009684029190519883
