species,y_lo,y_hi,y_center,counts,value,error
Kplus,-2.5000,-2.4000,-2.4500,1.147400e+04,2.567620e-01,2.397029e-03
Kplus,-2.4000,-2.3000,-2.3500,1.628100e+04,3.643317e-01,2.855331e-03
Kplus,-2.3000,-2.2000,-2.2500,2.161500e+04,4.836945e-01,3.289982e-03
Kplus,-2.2000,-2.1000,-2.1500,2.849000e+04,6.375413e-01,3.777132e-03
Kplus,-2.1000,-2.0000,-2.0500,3.629900e+04,8.122890e-01,4.263470e-03
Kplus,-2.0000,-1.9000,-1.9500,4.427500e+04,9.907737e-01,4.708637e-03
Kplus,-1.9000,-1.8000,-1.8500,5.216400e+04,1.167312e+00,5.110946e-03
Kplus,-1.8000,-1.7000,-1.7500,6.103400e+04,1.365802e+00,5.528430e-03
Kplus,-1.7000,-1.6000,-1.6500,6.894700e+04,1.542877e+00,5.875889e-03
Kplus,-1.6000,-1.5000,-1.5500,7.645200e+04,1.710822e+00,6.187430e-03
Kplus,-1.5000,-1.4000,-1.4500,8.429700e+04,1.886375e+00,6.497136e-03
Kplus,-1.4000,-1.3000,-1.3500,9.153600e+04,2.048367e+00,6.770361e-03
Kplus,-1.3000,-1.2000,-1.2500,9.810100e+04,2.195277e+00,7.008944e-03
Kplus,-1.2000,-1.1000,-1.1500,1.038040e+05,2.322897e+00,7.209795e-03
Kplus,-1.1000,-1.0000,-1.0500,1.105490e+05,2.473835e+00,7.440349e-03
Kplus,-1.0000,-0.9000,-0.9500,1.158610e+05,2.592705e+00,7.617010e-03
Kplus,-0.9000,-0.8000,-0.8500,1.203030e+05,2.692107e+00,7.761651e-03
Kplus,-0.8000,-0.7000,-0.7500,1.255620e+05,2.809792e+00,7.929485e-03
Kplus,-0.7000,-0.6000,-0.6500,1.298140e+05,2.904942e+00,8.062629e-03
Kplus,-0.6000,-0.5000,-0.5500,1.332090e+05,2.980914e+00,8.167378e-03
Kplus,-0.5000,-0.4000,-0.4500,1.355180e+05,3.032584e+00,8.237859e-03
Kplus,-0.4000,-0.3000,-0.3500,1.384330e+05,3.097815e+00,8.325986e-03
Kplus,-0.3000,-0.2000,-0.2500,1.396370e+05,3.124758e+00,8.362115e-03
Kplus,-0.2000,-0.1000,-0.1500,1.414060e+05,3.164344e+00,8.414916e-03
Kplus,-0.1000,0.0000,-0.0500,1.411580e+05,3.158795e+00,8.407534e-03
Kplus,0.0000,0.1000,0.0500,1.414010e+05,3.164232e+00,8.414768e-03
Kplus,0.1000,0.2000,0.1500,1.400080e+05,3.133060e+00,8.373216e-03
