y_lo,y_hi,y_center,KmeanCharged_value,KmeanCharged_err,TwoK0S_value,TwoK0S_err
-3.0000,-2.8500,-2.9250,1.714591e-02,5.060455e-04,1.383024e-02,4.544898e-04
-2.8500,-2.7000,-2.7750,4.232709e-02,7.950941e-04,3.351517e-02,7.075058e-04
-2.7000,-2.5500,-2.6250,9.112124e-02,1.166592e-03,7.454288e-02,1.055146e-03
-2.5500,-2.4000,-2.4750,1.711006e-01,1.598583e-03,1.392433e-01,1.442104e-03
-2.4000,-2.2500,-2.3250,2.900765e-01,2.081448e-03,2.354874e-01,1.875397e-03
-2.2500,-2.1000,-2.1750,4.454949e-01,2.579471e-03,3.640966e-01,2.331941e-03
-2.1000,-1.9500,-2.0250,6.499315e-01,3.115610e-03,5.263107e-01,2.803693e-03
-1.9500,-1.8000,-1.8750,8.766219e-01,3.618391e-03,7.331817e-01,3.309140e-03
-1.8000,-1.6500,-1.7250,1.134244e+00,4.115878e-03,9.585429e-01,3.783686e-03
-1.6500,-1.5000,-1.5750,1.405009e+00,4.580879e-03,1.187130e+00,4.210740e-03
-1.5000,-1.3500,-1.4250,1.667738e+00,4.990835e-03,1.433117e+00,4.626474e-03
-1.3500,-1.2000,-1.2750,1.932156e+00,5.371930e-03,1.659882e+00,4.979067e-03
-1.2000,-1.0500,-1.1250,2.172811e+00,5.696659e-03,1.877552e+00,5.295479e-03
-1.0500,-0.9000,-0.9750,2.406730e+00,5.995467e-03,2.087918e+00,5.584264e-03
-0.9000,-0.7500,-0.8250,2.621815e+00,6.257637e-03,2.275656e+00,5.829921e-03
-0.7500,-0.6000,-0.6750,2.809972e+00,6.478289e-03,2.434704e+00,6.030209e-03
-0.6000,-0.4500,-0.5250,2.956654e+00,6.645222e-03,2.576382e+00,6.203180e-03
-0.4500,-0.3000,-0.3750,3.062412e+00,6.763026e-03,2.668758e+00,6.313408e-03
-0.3000,-0.1500,-0.2250,3.149426e+00,6.858434e-03,2.734638e+00,6.390859e-03
-0.1500,0.0000,-0.0750,3.174368e+00,6.885539e-03,2.764912e+00,6.426137e-03
0.0000,0.1500,0.0750,3.166347e+00,6.876835e-03,2.758221e+00,6.418357e-03
0.1500,0.3000,0.2250,3.109503e+00,6.814826e-03,2.709621e+00,6.361559e-03
0.3000,0.4500,0.3750,3.023520e+00,6.719945e-03,2.626117e+00,6.262768e-03
0.4500,0.6000,0.5250,2.889429e+00,6.569243e-03,2.521748e+00,6.137057e-03
0.6000,0.7500,0.6750,2.739910e+00,6.397016e-03,2.371871e+00,5.951889e-03
0.7500,0.9000,0.8250,2.544763e+00,6.164999e-03,2.219096e+00,5.757014e-03
0.9000,1.0500,0.9750,2.327169e+00,5.895535e-03,2.005862e+00,5.473434e-03
1.0500,1.2000,1.1250,2.082377e+00,5.576850e-03,1.794062e+00,5.176403e-03
1.2000,1.3500,1.2750,1.836419e+00,5.237153e-03,1.581800e+00,4.860546e-03
1.3500,1.5000,1.4250,1.576677e+00,4.852669e-03,1.341787e+00,4.476629e-03
1.5000,1.6500,1.5750,1.304717e+00,4.414357e-03,1.103716e+00,4.060111e-03
1.6500,1.8000,1.7250,1.054802e+00,3.969125e-03,8.854338e-01,3.636532e-03
1.8000,1.9500,1.8750,8.188366e-01,3.497099e-03,6.708411e-01,3.165331e-03
1.9500,2.1000,2.0250,5.874116e-01,2.961969e-03,4.823855e-01,2.684148e-03
2.1000,2.2500,2.1750,4.019730e-01,2.450235e-03,3.295061e-01,2.218406e-03
2.2500,2.4000,2.3250,2.599367e-01,1.970349e-03,2.080062e-01,1.762574e-03
2.4000,2.5500,2.4750,1.521475e-01,1.507446e-03,1.240091e-01,1.360931e-03
2.5500,2.7000,2.6250,8.035278e-02,1.095493e-03,6.511861e-02,9.861929e-04
2.7000,2.8500,2.7750,3.557627e-02,7.289361e-04,2.921376e-02,6.605459e-04
2.8500,3.0000,2.9250,1.526404e-02,4.774678e-04,1.185876e-02,4.208515e-04
