y_lo,y_hi,y_center,Kplus_value,Kplus_err,Kminus_value,Kminus_err,K0S_value,K0S_err,KmeanCharged_value,KmeanCharged_err
-2.0000,-1.9000,-1.9500,7.840291e-01,4.191051e-03,2.306429e-01,2.273144e-03,5.098452e-01,2.389797e-03,5.073360e-01,2.383909e-03
-1.9000,-1.8000,-1.8500,9.424883e-01,4.595099e-03,2.998022e-01,2.591638e-03,6.206859e-01,2.636804e-03,6.211452e-01,2.637779e-03
-1.8000,-1.7000,-1.7500,1.091874e+00,4.945875e-03,3.779900e-01,2.910027e-03,7.388750e-01,2.876917e-03,7.349320e-01,2.869231e-03
-1.7000,-1.6000,-1.6500,1.243590e+00,5.278317e-03,4.786484e-01,3.274652e-03,8.567393e-01,3.097892e-03,8.611191e-01,3.105800e-03
-1.6000,-1.5000,-1.5500,1.390713e+00,5.581817e-03,5.703007e-01,3.574447e-03,9.804732e-01,3.314055e-03,9.805068e-01,3.314112e-03
-1.5000,-1.4000,-1.4500,1.532504e+00,5.859461e-03,6.800549e-01,3.903273e-03,1.100309e+00,3.510744e-03,1.106279e+00,3.520256e-03
-1.4000,-1.3000,-1.3500,1.657067e+00,6.092940e-03,7.981656e-01,4.228666e-03,1.229577e+00,3.711245e-03,1.227616e+00,3.708286e-03
-1.3000,-1.2000,-1.2500,1.787074e+00,6.327441e-03,9.202641e-01,4.540599e-03,1.348225e+00,3.886181e-03,1.353669e+00,3.894019e-03
-1.2000,-1.1000,-1.1500,1.900547e+00,6.525235e-03,1.034656e+00,4.814540e-03,1.476059e+00,4.066246e-03,1.467601e+00,4.054581e-03
-1.1000,-1.0000,-1.0500,2.011421e+00,6.712872e-03,1.150145e+00,5.076136e-03,1.584917e+00,4.213520e-03,1.580783e+00,4.208022e-03
-1.0000,-0.9000,-0.9500,2.108383e+00,6.872767e-03,1.275179e+00,5.344935e-03,1.690078e+00,4.351062e-03,1.691781e+00,4.353253e-03
-0.9000,-0.8000,-0.8500,2.223044e+00,7.057175e-03,1.371804e+00,5.543742e-03,1.792417e+00,4.480860e-03,1.797424e+00,4.487115e-03
-0.8000,-0.7000,-0.7500,2.299686e+00,7.177796e-03,1.486935e+00,5.771689e-03,1.887194e+00,4.597801e-03,1.893311e+00,4.605246e-03
-0.7000,-0.6000,-0.6500,2.360914e+00,7.272722e-03,1.578140e+00,5.946064e-03,1.971319e+00,4.699161e-03,1.969527e+00,4.697025e-03
-0.6000,-0.5000,-0.5500,2.436100e+00,7.387618e-03,1.652765e+00,6.085027e-03,2.033287e+00,4.772448e-03,2.044433e+00,4.785511e-03
-0.5000,-0.4000,-0.4500,2.479137e+00,7.452588e-03,1.715786e+00,6.199954e-03,2.103107e+00,4.853696e-03,2.097461e+00,4.847177e-03
-0.4000,-0.3000,-0.3500,2.529925e+00,7.528539e-03,1.760548e+00,6.280306e-03,2.142391e+00,4.898818e-03,2.145237e+00,4.902070e-03
-0.3000,-0.2000,-0.2500,2.580199e+00,7.602973e-03,1.797558e+00,6.345976e-03,2.189035e+00,4.951859e-03,2.188879e+00,4.951682e-03
-0.2000,-0.1000,-0.1500,2.597606e+00,7.628577e-03,1.823009e+00,6.390742e-03,2.197851e+00,4.961820e-03,2.210307e+00,4.975861e-03
-0.1000,0.0000,-0.0500,2.593237e+00,7.622159e-03,1.835219e+00,6.412107e-03,2.214262e+00,4.980310e-03,2.214228e+00,4.980272e-03
0.0000,0.1000,0.0500,2.574710e+00,7.594882e-03,1.837347e+00,6.415824e-03,2.210352e+00,4.975911e-03,2.206028e+00,4.971042e-03
0.1000,0.2000,0.1500,2.574710e+00,7.594882e-03,1.822942e+00,6.390624e-03,2.191455e+00,4.954595e-03,2.198826e+00,4.962920e-03
0.2000,0.3000,0.2500,2.532815e+00,7.532838e-03,1.790031e+00,6.332674e-03,2.163495e+00,4.922887e-03,2.161423e+00,4.920529e-03
0.3000,0.4000,0.3500,2.490652e+00,7.469876e-03,1.751139e+00,6.263501e-03,2.122284e+00,4.875775e-03,2.120895e+00,4.874179e-03
0.4000,0.5000,0.4500,2.451245e+00,7.410546e-03,1.689373e+00,6.152046e-03,2.070622e+00,4.816065e-03,2.070309e+00,4.815700e-03
0.5000,0.6000,0.5500,2.385737e+00,7.310855e-03,1.629981e+00,6.042938e-03,1.998472e+00,4.731414e-03,2.007859e+00,4.742513e-03
0.6000,0.7000,0.6500,2.314450e+00,7.200800e-03,1.542720e+00,5.878959e-03,1.925224e+00,4.643897e-03,1.928585e+00,4.647948e-03
0.7000,0.8000,0.7500,2.228577e+00,7.065953e-03,1.456444e+00,5.712206e-03,1.832743e+00,4.530985e-03,1.842511e+00,4.543044e-03
0.8000,0.9000,0.8500,2.139882e+00,6.923916e-03,1.347385e+00,5.494178e-03,1.743600e+00,4.419420e-03,1.743634e+00,4.419463e-03
0.9000,1.0000,0.9500,2.023766e+00,6.733440e-03,1.247085e+00,5.285729e-03,1.627562e+00,4.269830e-03,1.635425e+00,4.280133e-03
1.0000,1.1000,1.0500,1.938386e+00,6.589873e-03,1.124180e+00,5.018510e-03,1.526444e+00,4.135065e-03,1.531283e+00,4.141614e-03
1.1000,1.2000,1.1500,1.820455e+00,6.386263e-03,1.008690e+00,4.753744e-03,1.411470e+00,3.976286e-03,1.414573e+00,3.980655e-03
1.2000,1.3000,1.2500,1.701963e+00,6.174929e-03,8.852476e-01,4.453375e-03,1.300438e+00,3.816689e-03,1.293605e+00,3.806649e-03
