# dn/dpT per-event spectrum; N_ev=445060; pt_y_window=[0.0000,2.0000)
species,pt_lo,pt_hi,pt_center,counts,dn_dpt,dn_dpt_err
Kplus,0.0000,0.1000,0.0500,7.804200e+04,1.753516e+00,6.276906e-03
Kplus,0.1000,0.2000,0.1500,2.083580e+05,4.681571e+00,1.025620e-02
Kplus,0.2000,0.3000,0.2500,2.826240e+05,6.350245e+00,1.194499e-02
Kplus,0.3000,0.4000,0.3500,2.932200e+05,6.588325e+00,1.216685e-02
Kplus,0.4000,0.5000,0.4500,2.612490e+05,5.869973e+00,1.148441e-02
Kplus,0.5000,0.6000,0.5500,2.092460e+05,4.701523e+00,1.027803e-02
Kplus,0.6000,0.7000,0.6500,1.583380e+05,3.557678e+00,8.940751e-03
Kplus,0.7000,0.8000,0.7500,1.138670e+05,2.558464e+00,7.581941e-03
Kplus,0.8000,0.9000,0.8500,7.998600e+04,1.797196e+00,6.354603e-03
Kplus,0.9000,1.0000,0.9500,5.426400e+04,1.219251e+00,5.234044e-03
Kplus,1.0000,1.1000,1.0500,3.731800e+04,8.384937e-01,4.340509e-03
Kplus,1.1000,1.2000,1.1500,2.542300e+04,5.712264e-01,3.582571e-03
Kplus,1.2000,1.3000,1.2500,1.730200e+04,3.887566e-01,2.955491e-03
Kplus,1.3000,1.4000,1.3500,1.181900e+04,2.655597e-01,2.442709e-03
Kplus,1.4000,1.5000,1.4500,8.085000e+03,1.816609e-01,2.020326e-03
Kplus,1.5000,1.6000,1.5500,5.315000e+03,1.194221e-01,1.638072e-03
Kplus,1.6000,1.7000,1.6500,3.616000e+03,8.124747e-02,1.351125e-03
Kplus,1.7000,1.8000,1.7500,2.456000e+03,5.518357e-02,1.113514e-03
Kplus,1.8000,1.9000,1.8500,1.727000e+03,3.880376e-02,9.337435e-04
Kplus,1.9000,2.0000,1.9500,1.133000e+03,2.545724e-02,7.563040e-04
Kplus,2.0000,2.1000,2.0500,8.450000e+02,1.898620e-02,6.531453e-04
Kplus,2.1000,2.2000,2.1500,5.490000e+02,1.233542e-02,5.264627e-04
Kplus,2.2000,2.3000,2.2500,3.410000e+02,7.661888e-03,4.149145e-04
Kplus,2.3000,2.4000,2.3500,2.620000e+02,5.886847e-03,3.636906e-04
Kplus,2.4000,2.5000,2.4500,1.810000e+02,4.066867e-03,3.022879e-04
Kminus,0.0000,0.1000,0.0500,4.791000e+04,1.076484e+00,4.918068e-03
Kminus,0.1000,0.2000,0.1500,1.305980e+05,2.934391e+00,8.119882e-03
Kminus,0.2000,0.3000,0.2500,1.773310e+05,3.984429e+00,9.461800e-03
Kminus,0.3000,0.4000,0.3500,1.838150e+05,4.130117e+00,9.633230e-03
Kminus,0.4000,0.5000,0.4500,1.601310e+05,3.597964e+00,8.991231e-03
Kminus,0.5000,0.6000,0.5500,1.248440e+05,2.805105e+00,7.938990e-03
Kminus,0.6000,0.7000,0.6500,9.160200e+04,2.058194e+00,6.800391e-03
Kminus,0.7000,0.8000,0.7500,6.410000e+04,1.440255e+00,5.688666e-03
Kminus,0.8000,0.9000,0.8500,4.396600e+04,9.878668e-01,4.711291e-03
Kminus,0.9000,1.0000,0.9500,2.972600e+04,6.679099e-01,3.873911e-03
Kminus,1.0000,1.1000,1.0500,1.992000e+04,4.475801e-01,3.171218e-03
Kminus,1.1000,1.2000,1.1500,1.348700e+04,3.030378e-01,2.609391e-03
Kminus,1.2000,1.3000,1.2500,8.876000e+03,1.994338e-01,2.116850e-03
Kminus,1.3000,1.4000,1.3500,5.681000e+03,1.276457e-01,1.693534e-03
Kminus,1.4000,1.5000,1.4500,3.745000e+03,8.414596e-02,1.375015e-03
Kminus,1.5000,1.6000,1.5500,2.601000e+03,5.844156e-02,1.145913e-03
Kminus,1.6000,1.7000,1.6500,1.589000e+03,3.570305e-02,8.956604e-04
Kminus,1.7000,1.8000,1.7500,1.085000e+03,2.437874e-02,7.401101e-04
Kminus,1.8000,1.9000,1.8500,7.230000e+02,1.624500e-02,6.041581e-04
Kminus,1.9000,2.0000,1.9500,4.640000e+02,1.042556e-02,4.839945e-04
Kminus,2.0000,2.1000,2.0500,3.180000e+02,7.145104e-03,4.006775e-04
Kminus,2.1000,2.2000,2.1500,1.990000e+02,4.471307e-03,3.169626e-04
Kminus,2.2000,2.3000,2.2500,1.790000e+02,4.021930e-03,3.006131e-04
Kminus,2.3000,2.4000,2.3500,8.000000e+01,1.797510e-03,2.009678e-04
Kminus,2.4000,2.5000,2.4500,7.600000e+01,1.707635e-03,1.958792e-04
K0S,0.0000,0.1000,0.0500,6.265250e+04,1.407732e+00,3.976817e-03
K0S,0.1000,0.2000,0.1500,1.689385e+05,3.795859e+00,6.530264e-03
