pt_lo,pt_hi,pt_center,K+,K-,K0S,R,R_err
0.0000,0.1000,0.0500,96832,66566,8.170250e+04,9.999572e-01,3.498391e-03
0.1000,0.2000,0.1500,260698,182763,2.207785e+05,1.004312e+00,2.135126e-03
0.2000,0.3000,0.2500,354877,251237,3.021495e+05,1.003003e+00,1.823334e-03
0.3000,0.4000,0.3500,372454,263156,3.163400e+05,1.004631e+00,1.784138e-03
0.4000,0.5000,0.4500,334844,232650,2.825270e+05,1.004318e+00,1.887444e-03
0.5000,0.6000,0.5500,272202,183485,2.271875e+05,1.002887e+00,2.102554e-03
0.6000,0.7000,0.6500,207343,135709,1.706405e+05,1.005189e+00,2.430220e-03
0.7000,0.8000,0.7500,150657,95773,1.231315e+05,1.000678e+00,2.851256e-03
0.8000,0.9000,0.8500,107378,66085,8.671900e+04,1.000144e+00,3.396173e-03
0.9000,1.0000,0.9500,74162,44933,5.964250e+04,9.984072e-01,4.089808e-03
1.0000,1.1000,1.0500,51146,30694,4.092750e+04,9.998167e-01,4.942341e-03
1.1000,1.2000,1.1500,35227,20592,2.796950e+04,9.978548e-01,5.969779e-03
1.2000,1.3000,1.2500,24455,13863,1.894000e+04,1.011563e+00,7.329228e-03
1.3000,1.4000,1.3500,16782,8928,1.293000e+04,9.941995e-01,8.756022e-03
1.4000,1.5000,1.4500,11522,5894,8.935500e+03,9.745398e-01,1.037668e-02
1.5000,1.6000,1.5500,7827,4096,6.016500e+03,9.908585e-01,1.280380e-02
1.6000,1.7000,1.6500,5364,2630,4.023000e+03,9.935372e-01,1.568968e-02
1.7000,1.8000,1.7500,3710,1754,2.838000e+03,9.626498e-01,1.824460e-02
1.8000,1.9000,1.8500,2612,1172,1.933500e+03,9.785363e-01,2.237553e-02
1.9000,2.0000,1.9500,1884,794,1.273500e+03,1.051433e+00,2.910081e-02
2.0000,2.1000,2.0500,1293,540,9.075000e+02,1.009917e+00,3.344211e-02
2.1000,2.2000,2.1500,906,341,6.690000e+02,9.319880e-01,3.668422e-02
2.2000,2.3000,2.2500,680,289,4.595000e+02,1.054407e+00,4.855004e-02
2.3000,2.4000,2.3500,506,153,3.180000e+02,1.036164e+00,5.759595e-02
2.4000,2.5000,2.4500,349,136,2.230000e+02,1.087444e+00,7.134169e-02
