y_lo,y_hi,y_center,K+,K-,K0S,R_K,R_K_err
-3.0000,-2.9143,-2.9571,587,129,3.300000e+02,1.084848e+00,5.853961e-02
-2.9143,-2.8286,-2.8714,1029,184,5.985000e+02,1.013367e+00,4.128551e-02
-2.8286,-2.7429,-2.7857,1674,304,1.037500e+03,9.532530e-01,2.995534e-02
-2.7429,-2.6571,-2.7000,2857,563,1.631000e+03,1.048437e+00,2.565904e-02
-2.6571,-2.5714,-2.6143,4159,793,2.564500e+03,9.654903e-01,1.923504e-02
-2.5714,-2.4857,-2.5286,6219,1239,3.685000e+03,1.011940e+00,1.662077e-02
-2.4857,-2.4000,-2.4429,8608,1808,5.262000e+03,9.897377e-01,1.367942e-02
-2.4000,-2.3143,-2.3571,11757,2566,7.167500e+03,9.991629e-01,1.180439e-02
-2.3143,-2.2286,-2.2714,15403,3601,9.357000e+03,1.015496e+00,1.045796e-02
-2.2286,-2.1429,-2.1857,19565,4736,1.206100e+04,1.007421e+00,9.156256e-03
-2.1429,-2.0571,-2.1000,23878,6351,1.520200e+04,9.942442e-01,8.075517e-03
-2.0571,-1.9714,-2.0143,29015,8255,1.860450e+04,1.001639e+00,7.340483e-03
-1.9714,-1.8857,-1.9286,34828,10370,2.247800e+04,1.005383e+00,6.696851e-03
-1.8857,-1.8000,-1.8429,40382,12977,2.663650e+04,1.001614e+00,6.134609e-03
-1.8000,-1.7143,-1.7571,45928,16190,3.080900e+04,1.008115e+00,5.731857e-03
-1.7143,-1.6286,-1.6714,51494,19427,3.562250e+04,9.954523e-01,5.280241e-03
-1.6286,-1.5429,-1.5857,56769,22744,3.969250e+04,1.001612e+00,5.025400e-03
-1.5429,-1.4571,-1.5000,62549,26974,4.451400e+04,1.005560e+00,4.759469e-03
-1.4571,-1.3714,-1.4143,66952,31136,4.895800e+04,1.001757e+00,4.525431e-03
-1.3714,-1.2857,-1.3286,72124,35290,5.351150e+04,1.003653e+00,4.334756e-03
-1.2857,-1.2000,-1.2429,76075,39597,5.791600e+04,9.986187e-01,4.150979e-03
-1.2000,-1.1143,-1.1571,81329,43792,6.228600e+04,1.004407e+00,4.020107e-03
-1.1143,-1.0286,-1.0714,85321,48394,6.682350e+04,1.000509e+00,3.869912e-03
-1.0286,-0.9429,-0.9857,88765,52427,7.060250e+04,9.999079e-01,3.763223e-03
-0.9429,-0.8571,-0.9000,93110,56558,7.456500e+04,1.003608e+00,3.672026e-03
-0.8571,-0.7714,-0.8143,96016,60668,7.789300e+04,1.005764e+00,3.598519e-03
-0.7714,-0.6857,-0.7286,98812,64312,8.129000e+04,1.003346e+00,3.516169e-03
-0.6857,-0.6000,-0.6429,101779,66712,8.415100e+04,1.001123e+00,3.450134e-03
-0.6000,-0.5143,-0.5571,103739,69942,8.702450e+04,9.978857e-01,3.384464e-03
-0.5143,-0.4286,-0.4714,106712,73097,8.956550e+04,1.003785e+00,3.350893e-03
-0.4286,-0.3429,-0.3857,108267,74734,9.145900e+04,1.000454e+00,3.307764e-03
-0.3429,-0.2571,-0.3000,109672,76205,9.260400e+04,1.003612e+00,3.295034e-03
-0.2571,-0.1714,-0.2143,110602,77648,9.358250e+04,1.005797e+00,3.283117e-03
-0.1714,-0.0857,-0.1286,111552,78747,9.459650e+04,1.005846e+00,3.265592e-03
-0.0857,0.0000,-0.0429,112222,78676,9.454450e+04,1.009567e+00,3.275561e-03
0.0000,0.0857,0.0429,111327,78587,9.499900e+04,9.995579e-01,3.243370e-03
0.0857,0.1714,0.1286,111281,77746,9.430350e+04,1.002227e+00,3.261826e-03
0.1714,0.2571,0.2143,109242,76736,9.303450e+04,9.995109e-01,3.277319e-03
0.2571,0.3429,0.3000,108782,75498,9.169700e+04,1.004831e+00,3.314308e-03
0.3429,0.4286,0.3857,105978,74015,8.980600e+04,1.002121e+00,3.342240e-03
0.4286,0.5143,0.4714,103576,71610,8.744800e+04,1.001658e+00,3.385827e-03
0.5143,0.6000,0.5571,101595,69719,8.523800e+04,1.004916e+00,3.437805e-03
0.6000,0.6857,0.6429,98389,66094,8.227300e+04,9.996171e-01,3.485352e-03
0.6857,0.7714,0.7286,96348,62603,7.926400e+04,1.002668e+00,3.559018e-03
0.7714,0.8571,0.8143,91881,58834,7.523900e+04,1.001575e+00,3.649986e-03
0.8571,0.9429,0.9000,89300,55156,7.199300e+04,1.003264e+00,3.736084e-03
0.9429,1.0286,0.9857,84999,51480,6.806350e+04,1.002586e+00,3.840469e-03
1.0286,1.1143,1.0714,81411,46689,6.398400e+04,1.001032e+00,3.956400e-03
1.1143,1.2000,1.1571,76991,42187,5.943200e+04,1.002642e+00,4.110071e-03
1.2000,1.2857,1.2429,72592,37736,5.543950e+04,9.950306e-01,4.231247e-03
1.2857,1.3714,1.3286,68072,33569,5.081550e+04,1.000098e+00,4.436433e-03
1.3714,1.4571,1.4143,63799,29794,4.624300e+04,1.011969e+00,4.691982e-03
1.4571,1.5429,1.5000,58031,25433,4.170950e+04,1.000539e+00,4.898444e-03
1.5429,1.6286,1.5857,53292,21702,3.745400e+04,1.001148e+00,5.171597e-03
1.6286,1.7143,1.6714,48183,18404,3.303450e+04,1.007840e+00,5.534286e-03
1.7143,1.8000,1.7571,42400,15236,2.862000e+04,1.006918e+00,5.941719e-03
1.8000,1.8857,1.8429,37379,12006,2.453750e+04,1.006317e+00,6.414119e-03
1.8857,1.9714,1.9286,31772,9628,2.076700e+04,9.967737e-01,6.922466e-03
1.9714,2.0571,2.0143,26744,7328,1.702100e+04,1.000881e+00,7.669983e-03
2.0571,2.1429,2.1000,22035,5836,1.379450e+04,1.010221e+00,8.579506e-03
2.1429,2.2286,2.1857,17578,4308,1.111200e+04,9.847912e-01,9.378176e-03
2.2286,2.3143,2.2714,13884,3048,8.441500e+03,1.002902e+00,1.090773e-02
2.3143,2.4000,2.3571,10449,2256,6.370000e+03,9.972527e-01,1.250358e-02
2.4000,2.4857,2.4429,7683,1546,4.703000e+03,9.811822e-01,1.437588e-02
2.4857,2.5714,2.5286,5643,1126,3.325000e+03,1.017895e+00,1.757478e-02
2.5714,2.6571,2.6143,3831,702,2.297000e+03,9.867218e-01,2.065715e-02
2.6571,2.7429,2.7000,2474,460,1.439000e+03,1.019458e+00,2.674587e-02
2.7429,2.8286,2.7857,1474,279,8.890000e+02,9.859393e-01,3.318503e-02
2.8286,2.9143,2.8714,885,156,5.235000e+02,9.942693e-01,4.351817e-02
2.9143,3.0000,2.9571,462,90,2.880000e+02,9.583333e-01,5.708084e-02
