key,value
n_events,445060
n_events_seen_total,445060
n_particles_seen,176927102
ycut,1.0
y_shift,0.0
input_frame,cm
collision_mode,collider
analysis_frame,cm
ecm_snn_gev,11.9
beam_kinetic_agev,
collision_system,Ar40+Sc45
beam_label,"s_NN = 11.9 GeV, collider mode, unmodified"
k0_mode,strong
k0s_codes,"(311, -311)"
neutral_scale_for_K0S,0.5
centrality_top_fraction,1.0
centrality_activity_ymax,
centrality_selected_events,445060
centrality_total_events_seen,445060
centrality_threshold_activity,105
Kplus_raw_total,4000443
Kplus_total,4000443.0
Kplus_raw_in_window,2396525
Kplus_in_window,2396525.0
Kplus_per_event_in_window,5.384723408079809
Kminus_raw_total,2304994
Kminus_total,2304994.0
Kminus_raw_in_window,1614446
Kminus_in_window,1614446.0
Kminus_per_event_in_window,3.6274794409742506
K0S_raw_total,6289639
K0S_total,3144819.5
K0S_raw_in_window,3999473
K0S_in_window,1999736.5
K0S_per_event_in_window,4.493184065069878
R_integrated,1.0028748787652773
R_integrated_err,0.0007086779193468378
