species,y_lo,y_hi,y_center,counts,value,error
Kplus,-2.5000,-2.4286,-2.4643,6.619000e+03,2.082101e-01,2.559208e-03
Kplus,-2.4286,-2.3571,-2.3929,8.660000e+03,2.724127e-01,2.927308e-03
Kplus,-2.3571,-2.2857,-2.3214,1.111500e+04,3.496383e-01,3.316379e-03
Kplus,-2.2857,-2.2143,-2.2500,1.345800e+04,4.233407e-01,3.649217e-03
Kplus,-2.2143,-2.1429,-2.1786,1.669300e+04,5.251022e-01,4.064215e-03
Kplus,-2.1429,-2.0714,-2.1071,1.963300e+04,6.175841e-01,4.407606e-03
Kplus,-2.0714,-2.0000,-2.0357,2.290400e+04,7.204781e-01,4.760638e-03
Kplus,-2.0000,-1.9286,-1.9643,2.695800e+04,8.480025e-01,5.164798e-03
Kplus,-1.9286,-1.8571,-1.8929,3.103300e+04,9.761875e-01,5.541424e-03
Kplus,-1.8571,-1.7857,-1.8214,3.474400e+04,1.092922e+00,5.863398e-03
Kplus,-1.7857,-1.7143,-1.7500,3.875900e+04,1.219220e+00,6.192924e-03
Kplus,-1.7143,-1.6429,-1.6786,4.239600e+04,1.333627e+00,6.476970e-03
Kplus,-1.6429,-1.5714,-1.6071,4.621800e+04,1.453853e+00,6.762621e-03
Kplus,-1.5714,-1.5000,-1.5357,5.041400e+04,1.585845e+00,7.062932e-03
Kplus,-1.5000,-1.4286,-1.4643,5.365800e+04,1.687889e+00,7.286630e-03
Kplus,-1.4286,-1.3571,-1.3929,5.656500e+04,1.779333e+00,7.481408e-03
Kplus,-1.3571,-1.2857,-1.3214,6.063700e+04,1.907424e+00,7.746015e-03
Kplus,-1.2857,-1.2143,-1.2500,6.318300e+04,1.987512e+00,7.906961e-03
Kplus,-1.2143,-1.1429,-1.1786,6.649800e+04,2.091790e+00,8.111735e-03
Kplus,-1.1429,-1.0714,-1.1071,6.993100e+04,2.199780e+00,8.318487e-03
Kplus,-1.0714,-1.0000,-1.0357,7.268900e+04,2.286537e+00,8.480937e-03
Kplus,-1.0000,-0.9286,-0.9643,7.454100e+04,2.344794e+00,8.588297e-03
Kplus,-0.9286,-0.8571,-0.8929,7.775800e+04,2.445989e+00,8.771665e-03
Kplus,-0.8571,-0.7857,-0.8214,7.963700e+04,2.505096e+00,8.877014e-03
Kplus,-0.7857,-0.7143,-0.7500,8.193400e+04,2.577351e+00,9.004126e-03
Kplus,-0.7143,-0.6429,-0.6786,8.370000e+04,2.632903e+00,9.100646e-03
Kplus,-0.6429,-0.5714,-0.6071,8.529700e+04,2.683139e+00,9.187056e-03
Kplus,-0.5714,-0.5000,-0.5357,8.747600e+04,2.751683e+00,9.303662e-03
Kplus,-0.5000,-0.4286,-0.4643,8.901400e+04,2.800063e+00,9.385094e-03
Kplus,-0.4286,-0.3571,-0.3929,9.003500e+04,2.832180e+00,9.438765e-03
Kplus,-0.3571,-0.2857,-0.3214,9.157100e+04,2.880497e+00,9.518937e-03
Kplus,-0.2857,-0.2143,-0.2500,9.136300e+04,2.873954e+00,9.508120e-03
Kplus,-0.2143,-0.1429,-0.1786,9.222100e+04,2.900944e+00,9.552661e-03
Kplus,-0.1429,-0.0714,-0.1071,9.364900e+04,2.945863e+00,9.626337e-03
Kplus,-0.0714,0.0000,-0.0357,9.347600e+04,2.940422e+00,9.617441e-03
Kplus,0.0000,0.0714,0.0357,9.295800e+04,2.924127e+00,9.590756e-03
Kplus,0.0714,0.1429,0.1071,9.243900e+04,2.907801e+00,9.563945e-03
Kplus,0.1429,0.2143,0.1786,9.194000e+04,2.892104e+00,9.538097e-03
Kplus,0.2143,0.2857,0.2500,9.088200e+04,2.858824e+00,9.483058e-03
Kplus,0.2857,0.3571,0.3214,9.003500e+04,2.832180e+00,9.438765e-03
Kplus,0.3571,0.4286,0.3929,8.835600e+04,2.779365e+00,9.350342e-03
Kplus,0.4286,0.5000,0.4643,8.657700e+04,2.723404e+00,9.255731e-03
Kplus,0.5000,0.5714,0.5357,8.505600e+04,2.675558e+00,9.174068e-03
Kplus,0.5714,0.6429,0.6071,8.312700e+04,2.614879e+00,9.069441e-03
Kplus,0.6429,0.7143,0.6786,8.115500e+04,2.552847e+00,8.961219e-03
Kplus,0.7143,0.7857,0.7500,7.962500e+04,2.504718e+00,8.876345e-03
Kplus,0.7857,0.8571,0.8214,7.624900e+04,2.398522e+00,8.686134e-03
Kplus,0.8571,0.9286,0.8929,7.479800e+04,2.352878e+00,8.603090e-03
Kplus,0.9286,1.0000,0.9643,7.165600e+04,2.254042e+00,8.420459e-03
Kplus,1.0000,1.0714,1.0357,6.914100e+04,2.174929e+00,8.271367e-03
Kplus,1.0714,1.1429,1.1071,6.637200e+04,2.087826e+00,8.104047e-03
Kplus,1.1429,1.2143,1.1786,6.314800e+04,1.986411e+00,7.904771e-03
Kplus,1.2143,1.2857,1.2500,6.017800e+04,1.892985e+00,7.716642e-03
Kplus,1.2857,1.3571,1.3214,5.718500e+04,1.798836e+00,7.522298e-03
Kplus,1.3571,1.4286,1.3929,5.405900e+04,1.700503e+00,7.313807e-03
Kplus,1.4286,1.5000,1.4643,5.033600e+04,1.583391e+00,7.057466e-03
Kplus,1.5000,1.5714,1.5357,4.670600e+04,1.469204e+00,6.798229e-03
Kplus,1.5714,1.6429,1.6071,4.314600e+04,1.357219e+00,6.534009e-03
Kplus,1.6429,1.7143,1.6786,3.994500e+04,1.256527e+00,6.286960e-03
Kplus,1.7143,1.7857,1.7500,3.573100e+04,1.123970e+00,5.946098e-03
