y_lo,y_hi,y_center,KmeanCharged_value,KmeanCharged_err,TwoK0S_value,TwoK0S_err
-3.0000,-2.9143,-2.9571,9.384502e-03,3.507153e-04,8.650519e-03,3.367210e-04
-2.9143,-2.8286,-2.8714,1.589861e-02,4.564872e-04,1.568890e-02,4.534666e-04
-2.8286,-2.7429,-2.7857,2.592534e-02,5.829232e-04,2.719671e-02,5.970453e-04
-2.7429,-2.6571,-2.7000,4.482542e-02,7.664985e-04,4.275453e-02,7.485834e-04
-2.6571,-2.5714,-2.6143,6.490511e-02,9.223347e-04,6.722502e-02,9.386735e-04
-2.5714,-2.4857,-2.5286,9.775087e-02,1.131904e-03,9.659746e-02,1.125206e-03
-2.4857,-2.4000,-2.4429,1.365209e-01,1.337669e-03,1.379365e-01,1.344586e-03
-2.4000,-2.3143,-2.3571,1.877294e-01,1.568611e-03,1.878867e-01,1.569268e-03
-2.3143,-2.2286,-2.2714,2.490825e-01,1.806844e-03,2.452815e-01,1.793005e-03
-2.2286,-2.1429,-2.1857,3.185095e-01,2.043197e-03,3.161634e-01,2.035658e-03
-2.1429,-2.0571,-2.1000,3.962069e-01,2.278821e-03,3.985006e-01,2.285407e-03
-2.0571,-1.9714,-2.0143,4.884922e-01,2.530334e-03,4.876927e-01,2.528263e-03
-1.9714,-1.8857,-1.9286,5.924033e-01,2.786492e-03,5.892314e-01,2.779022e-03
-1.8857,-1.8000,-1.8429,6.993682e-01,3.027625e-03,6.982411e-01,3.025184e-03
-1.8000,-1.7143,-1.7571,8.141711e-01,3.266683e-03,8.076177e-01,3.253509e-03
-1.7143,-1.6286,-1.6714,9.295507e-01,3.490484e-03,9.337973e-01,3.498448e-03
-1.6286,-1.5429,-1.5857,1.042165e+00,3.695875e-03,1.040487e+00,3.692899e-03
-1.5429,-1.4571,-1.5000,1.173364e+00,3.921620e-03,1.166876e+00,3.910763e-03
-1.4571,-1.3714,-1.4143,1.285624e+00,4.104934e-03,1.283370e+00,4.101333e-03
