species,pt_lo,pt_hi,pt_center,counts,value,error
Kplus,0.0000,0.1000,0.0500,2.703900e+04,6.391821e-01,3.887132e-03
Kplus,0.1000,0.2000,0.1500,7.036900e+04,1.663471e+00,6.270825e-03
Kplus,0.2000,0.3000,0.2500,9.225500e+04,2.180840e+00,7.180074e-03
Kplus,0.3000,0.4000,0.3500,9.183300e+04,2.170865e+00,7.163633e-03
Kplus,0.4000,0.5000,0.4500,7.983200e+04,1.887170e+00,6.679170e-03
Kplus,0.5000,0.6000,0.5500,6.333500e+04,1.497193e+00,5.949163e-03
Kplus,0.6000,0.7000,0.6500,4.599300e+04,1.087241e+00,5.069672e-03
Kplus,0.7000,0.8000,0.7500,3.247800e+04,7.677560e-01,4.260186e-03
Kplus,0.8000,0.9000,0.8500,2.265300e+04,5.355003e-01,3.557925e-03
Kplus,0.9000,1.0000,0.9500,1.491500e+04,3.525796e-01,2.886992e-03
Kplus,1.0000,1.1000,1.0500,9.674000e+03,2.286862e-01,2.325075e-03
Kplus,1.1000,1.2000,1.1500,6.464000e+03,1.528042e-01,1.900573e-03
Kplus,1.2000,1.3000,1.2500,4.215000e+03,9.963950e-02,1.534733e-03
Kplus,1.3000,1.4000,1.3500,2.797000e+03,6.611902e-02,1.250202e-03
Kplus,1.4000,1.5000,1.4500,1.867000e+03,4.413451e-02,1.021424e-03
Kplus,1.5000,1.6000,1.5500,1.245000e+03,2.943088e-02,8.341010e-04
Kplus,1.6000,1.7000,1.6500,9.070000e+02,2.144081e-02,7.119305e-04
Kplus,1.7000,1.8000,1.7500,6.420000e+02,1.517641e-02,5.989650e-04
Kplus,1.8000,1.9000,1.8500,4.800000e+02,1.134685e-02,5.179103e-04
Kplus,1.9000,2.0000,1.9500,3.110000e+02,7.351811e-03,4.168830e-04
Kplus,2.0000,2.1000,2.0500,2.390000e+02,5.649784e-03,3.654542e-04
Kplus,2.1000,2.2000,2.1500,1.620000e+02,3.829561e-03,3.008787e-04
Kplus,2.2000,2.3000,2.2500,1.300000e+02,3.073104e-03,2.695291e-04
Kplus,2.3000,2.4000,2.3500,1.190000e+02,2.813073e-03,2.578739e-04
Kplus,2.4000,2.5000,2.4500,9.400000e+01,2.222091e-03,2.291912e-04
Kminus,0.0000,0.1000,0.0500,2.381000e+04,5.628509e-01,3.647654e-03
Kminus,0.1000,0.2000,0.1500,6.136200e+04,1.450553e+00,5.855766e-03
