# dn/dpT per-event spectrum; N_ev=423025
species,pt_lo,pt_hi,pt_center,counts,dn_dpt,dn_dpt_err
Kplus,0.0000,0.1000,0.0500,2.900000e+04,6.855387e-01,4.025622e-03
Kplus,0.1000,0.2000,0.1500,7.592700e+04,1.794858e+00,6.513765e-03
Kplus,0.2000,0.3000,0.2500,1.004940e+05,2.375604e+00,7.493833e-03
Kplus,0.3000,0.4000,0.3500,1.013400e+05,2.395603e+00,7.525310e-03
Kplus,0.4000,0.5000,0.4500,8.850600e+04,2.092217e+00,7.032671e-03
Kplus,0.5000,0.6000,0.5500,7.034500e+04,1.662904e+00,6.269755e-03
Kplus,0.6000,0.7000,0.6500,5.144800e+04,1.216193e+00,5.361894e-03
Kplus,0.7000,0.8000,0.7500,3.658000e+04,8.647243e-01,4.521222e-03
Kplus,0.8000,0.9000,0.8500,2.473100e+04,5.846227e-01,3.717533e-03
Kplus,0.9000,1.0000,0.9500,1.630200e+04,3.853673e-01,3.018244e-03
Kplus,1.0000,1.1000,1.0500,1.072400e+04,2.535075e-01,2.448005e-03
Kplus,1.1000,1.2000,1.1500,7.272000e+03,1.719047e-01,2.015862e-03
Kplus,1.2000,1.3000,1.2500,4.636000e+03,1.095916e-01,1.609554e-03
Kplus,1.3000,1.4000,1.3500,3.057000e+03,7.226523e-02,1.307018e-03
Kplus,1.4000,1.5000,1.4500,2.125000e+03,5.023344e-02,1.089716e-03
Kplus,1.5000,1.6000,1.5500,1.462000e+03,3.456061e-02,9.038735e-04
Kplus,1.6000,1.7000,1.6500,1.013000e+03,2.394658e-02,7.523825e-04
Kplus,1.7000,1.8000,1.7500,6.790000e+02,1.605106e-02,6.159832e-04
Kplus,1.8000,1.9000,1.8500,5.360000e+02,1.267065e-02,5.472885e-04
Kplus,1.9000,2.0000,1.9500,3.800000e+02,8.982921e-03,4.608141e-04
Kplus,2.0000,2.1000,2.0500,3.070000e+02,7.257254e-03,4.141934e-04
Kplus,2.1000,2.2000,2.1500,2.060000e+02,4.869689e-03,3.392873e-04
Kplus,2.2000,2.3000,2.2500,1.610000e+02,3.805922e-03,2.999486e-04
Kplus,2.3000,2.4000,2.3500,1.330000e+02,3.144022e-03,2.726213e-04
Kplus,2.4000,2.5000,2.4500,1.090000e+02,2.576680e-03,2.468012e-04
Kminus,0.0000,0.1000,0.0500,2.550900e+04,6.030140e-01,3.775554e-03
Kminus,0.1000,0.2000,0.1500,6.681100e+04,1.579363e+00,6.110236e-03
Kminus,0.2000,0.3000,0.2500,8.787500e+04,2.077300e+00,7.007557e-03
Kminus,0.3000,0.4000,0.3500,8.755700e+04,2.069783e+00,6.994866e-03
Kminus,0.4000,0.5000,0.4500,7.553400e+04,1.785568e+00,6.496885e-03
Kminus,0.5000,0.6000,0.5500,5.917300e+04,1.398806e+00,5.750370e-03
Kminus,0.6000,0.7000,0.6500,4.359600e+04,1.030577e+00,4.935797e-03
Kminus,0.7000,0.8000,0.7500,3.028500e+04,7.159151e-01,4.113843e-03
Kminus,0.8000,0.9000,0.8500,2.071100e+04,4.895928e-01,3.402001e-03
Kminus,0.9000,1.0000,0.9500,1.373500e+04,3.246853e-01,2.770437e-03
Kminus,1.0000,1.1000,1.0500,8.907000e+03,2.105549e-01,2.231001e-03
Kminus,1.1000,1.2000,1.1500,5.918000e+03,1.398972e-01,1.818534e-03
Kminus,1.2000,1.3000,1.2500,3.695000e+03,8.734708e-02,1.436948e-03
Kminus,1.3000,1.4000,1.3500,2.554000e+03,6.037468e-02,1.194660e-03
Kminus,1.4000,1.5000,1.4500,1.543000e+03,3.647539e-02,9.285749e-04
Kminus,1.5000,1.6000,1.5500,9.880000e+02,2.335559e-02,7.430404e-04
Kminus,1.6000,1.7000,1.6500,6.990000e+02,1.652385e-02,6.249893e-04
Kminus,1.7000,1.8000,1.7500,4.840000e+02,1.144140e-02,5.200638e-04
Kminus,1.8000,1.9000,1.8500,3.520000e+02,8.321021e-03,4.435119e-04
Kminus,1.9000,2.0000,1.9500,2.710000e+02,6.406241e-03,3.891514e-04
Kminus,2.0000,2.1000,2.0500,1.830000e+02,4.325985e-03,3.197860e-04
Kminus,2.1000,2.2000,2.1500,1.190000e+02,2.813073e-03,2.578739e-04
Kminus,2.2000,2.3000,2.2500,1.040000e+02,2.458484e-03,2.410741e-04
Kminus,2.3000,2.4000,2.3500,8.200000e+01,1.938420e-03,2.140626e-04
Kminus,2.4000,2.5000,2.4500,6.900000e+01,1.631109e-03,1.963625e-04
K0S,0.0000,0.1000,0.0500,2.389700e+04,5.649075e-01,2.583989e-03
K0S,0.1000,0.2000,0.1500,6.377600e+04,1.507618e+00,4.221313e-03
K0S,0.2000,0.3000,0.2500,8.365000e+04,1.977425e+00,4.834504e-03
K0S,0.3000,0.4000,0.3500,8.509000e+04,2.011465e+00,4.875939e-03
K0S,0.4000,0.5000,0.4500,7.426450e+04,1.755558e+00,4.555223e-03
K0S,0.5000,0.6000,0.5500,5.893100e+04,1.393086e+00,4.057802e-03
K0S,0.6000,0.7000,0.6500,4.393200e+04,1.038520e+00,3.503559e-03
K0S,0.7000,0.8000,0.7500,3.125850e+04,7.389280e-01,2.955310e-03
K0S,0.8000,0.9000,0.8500,2.139050e+04,5.056557e-01,2.444722e-03
K0S,0.9000,1.0000,0.9500,1.448500e+04,3.424148e-01,2.011769e-03
K0S,1.0000,1.1000,1.0500,9.567500e+03,2.261687e-01,1.635002e-03
K0S,1.1000,1.2000,1.1500,6.149500e+03,1.453697e-01,1.310807e-03
K0S,1.2000,1.3000,1.2500,4.056500e+03,9.589268e-02,1.064620e-03
