pt_lo,pt_hi,pt_center,K+,K-,K0S,R,R_err
0.0000,0.1250,0.0625,44032,39094,3.691900e+04,1.125789e+00,5.693097e-03
0.1250,0.2500,0.1875,109677,96225,9.134750e+04,1.127026e+00,3.622347e-03
0.2500,0.3750,0.3125,128802,111449,1.074220e+05,1.118258e+00,3.320464e-03
0.3750,0.5000,0.4375,112756,96518,9.498900e+04,1.101570e+00,3.490810e-03
0.5000,0.6250,0.5625,84811,71523,7.124950e+04,1.097088e+00,4.018123e-03
0.6250,0.7500,0.6875,57116,47642,4.866600e+04,1.076296e+00,4.791622e-03
0.7500,0.8750,0.8125,35849,30060,3.099350e+04,1.063271e+00,5.949081e-03
0.8750,1.0000,0.9375,21630,18275,1.908800e+04,1.045290e+00,7.483430e-03
1.0000,1.1250,1.0625,12860,10620,1.135000e+04,1.034361e+00,9.628025e-03
1.1250,1.2500,1.1875,7721,6266,6.640000e+03,1.053238e+00,1.276097e-02
1.2500,1.3750,1.3125,4434,3675,3.843500e+03,1.054898e+00,1.679275e-02
1.3750,1.5000,1.4375,2799,2056,2.330500e+03,1.041622e+00,2.136009e-02
1.5000,1.6250,1.5625,1750,1197,1.429500e+03,1.030780e+00,2.705873e-02
1.6250,1.7500,1.6875,1102,738,8.820000e+02,1.043084e+00,3.475789e-02
1.7500,1.8750,1.8125,698,509,5.810000e+02,1.038726e+00,4.269008e-02
1.8750,2.0000,1.9375,520,350,4.065000e+02,1.070111e+00,5.219944e-02
2.0000,2.1250,2.0625,347,218,2.860000e+02,9.877622e-01,5.858823e-02
2.1250,2.2500,2.1875,249,141,1.875000e+02,1.040000e+00,7.521702e-02
2.2500,2.3750,2.3125,174,113,1.565000e+02,9.169329e-01,7.493765e-02
2.3750,2.5000,2.4375,146,85,1.035000e+02,1.115942e+00,1.068040e-01
