y_lo,y_hi,y_center,K+,K-,K0S,R_K,R_K_err
-2.5000,-2.4286,-2.4643,10008,5220,6.154500e+03,1.237144e+00,1.499497e-02
-2.4286,-2.3571,-2.3929,10774,6012,6.841500e+03,1.226778e+00,1.412963e-02
-2.3571,-2.2857,-2.3214,11234,6728,7.467000e+03,1.202759e+00,1.331940e-02
-2.2857,-2.2143,-2.2500,12251,7388,8.202000e+03,1.197208e+00,1.266326e-02
-2.2143,-2.1429,-2.1786,12765,8235,8.808500e+03,1.192030e+00,1.217870e-02
-2.1429,-2.0714,-2.1071,13107,9088,9.366000e+03,1.184871e+00,1.175591e-02
-2.0714,-2.0000,-2.0357,13963,9831,1.003600e+04,1.185432e+00,1.136087e-02
-2.0000,-1.9286,-1.9643,14433,10429,1.081550e+04,1.149369e+00,1.068678e-02
-1.9286,-1.8571,-1.8929,14858,11287,1.122150e+04,1.164951e+00,1.060077e-02
-1.8571,-1.7857,-1.8214,15881,11865,1.198850e+04,1.157192e+00,1.020351e-02
-1.7857,-1.7143,-1.7500,16424,12233,1.255600e+04,1.141168e+00,9.864144e-03
-1.7143,-1.6429,-1.6786,16805,13043,1.285200e+04,1.161220e+00,9.881125e-03
-1.6429,-1.5714,-1.6071,17615,13468,1.362800e+04,1.140409e+00,9.463413e-03
-1.5714,-1.5000,-1.5357,17917,14117,1.407100e+04,1.138299e+00,9.300040e-03
-1.5000,-1.4286,-1.4643,18375,14771,1.445650e+04,1.146405e+00,9.225252e-03
-1.4286,-1.3571,-1.3929,18653,15045,1.512500e+04,1.113983e+00,8.823228e-03
-1.3571,-1.2857,-1.3214,19171,15601,1.560600e+04,1.114059e+00,8.686639e-03
-1.2857,-1.2143,-1.2500,19782,16103,1.584000e+04,1.132734e+00,8.732520e-03
-1.2143,-1.1429,-1.1786,19726,16209,1.619750e+04,1.109276e+00,8.498603e-03
-1.1429,-1.0714,-1.1071,20338,16878,1.671600e+04,1.113185e+00,8.388248e-03
-1.0714,-1.0000,-1.0357,20610,17411,1.720700e+04,1.104812e+00,8.220217e-03
-1.0000,-0.9286,-0.9643,20991,17587,1.769400e+04,1.090144e+00,8.024203e-03
-0.9286,-0.8571,-0.8929,21549,17872,1.775050e+04,1.110419e+00,8.124705e-03
-0.8571,-0.7857,-0.8214,21276,18347,1.796150e+04,1.102998e+00,8.035641e-03
-0.7857,-0.7143,-0.7500,21963,18716,1.805350e+04,1.126624e+00,8.145899e-03
-0.7143,-0.6429,-0.6786,22138,18411,1.850050e+04,1.095889e+00,7.878813e-03
