key,value
n_events,423025
n_events_seen_total,423025
n_particles_seen,57849363
ycut,1.0
pt_y_lo,0.0
pt_y_hi,2.0
pt_y_symmetric,False
y_shift,3.592254737440786
input_frame,target
collision_mode,fixed-target
analysis_frame,cm
ecm_snn_gev,34.1
beam_kinetic_agev,
collision_system,C+C
beam_label,"sqrt(s_NN) = 34.1 GeV, target, modified"
k0_mode,strong
k0s_codes,"(311, -311)"
neutral_scale_for_K0S,0.5
centrality_top_fraction,1.0
centrality_activity_ymax,
centrality_selected_events,423025
centrality_total_events_seen,423025
centrality_threshold_activity,12
npart_enabled,True
y_proj_input,7.184509474881572
y_targ_input,0.0
y_spec_tol,0.5
pt_spec_max_gev,0.2
mean_Nspec,7.5664
std_Nspec,2.9750
mean_Npart_note,N_part = A_proj + A_targ - mean_Nspec  (fill in A values manually)
Kplus_raw_total,1429927
Kplus_total,1429927.0
Kplus_raw_in_window,570342
Kplus_in_window,570342.0
Kplus_per_event_in_window,1.3482465575320608
Kminus_raw_total,1098885
Kminus_total,1098885.0
Kminus_raw_in_window,477301
Kminus_in_window,477301.0
Kminus_per_event_in_window,1.128304473730867
K0S_raw_total,2226883
K0S_total,1113441.5
K0S_raw_in_window,938081
K0S_in_window,469040.5
K0S_per_event_in_window,1.1087772590272442
R_integrated,1.1167937523518758
R_integrated_err,0.0015874702329674241
