species,y_lo,y_hi,y_center,counts,value,error
Kplus,-3.0000,-2.8500,-2.9250,1.058000e+04,1.667356e-01,1.621009e-03
Kplus,-2.8500,-2.7000,-2.7750,1.367800e+04,2.155586e-01,1.843122e-03
Kplus,-2.7000,-2.5500,-2.6250,1.687000e+04,2.658629e-01,2.046917e-03
Kplus,-2.5500,-2.4000,-2.4750,2.060500e+04,3.247247e-01,2.262190e-03
Kplus,-2.4000,-2.2500,-2.3250,2.388600e+04,3.764317e-01,2.435647e-03
Kplus,-2.2500,-2.1000,-2.1750,2.677800e+04,4.220082e-01,2.578884e-03
Kplus,-2.1000,-1.9500,-2.0250,2.925500e+04,4.610445e-01,2.695521e-03
Kplus,-1.9500,-1.8000,-1.8750,3.191800e+04,5.030120e-01,2.815532e-03
Kplus,-1.8000,-1.6500,-1.7250,3.477200e+04,5.479897e-01,2.938715e-03
Kplus,-1.6500,-1.5000,-1.5750,3.723800e+04,5.868526e-01,3.041136e-03
Kplus,-1.5000,-1.3500,-1.4250,3.887600e+04,6.126667e-01,3.107302e-03
Kplus,-1.3500,-1.2000,-1.2750,4.100100e+04,6.461557e-01,3.191096e-03
Kplus,-1.2000,-1.0500,-1.1250,4.237600e+04,6.678250e-01,3.244163e-03
Kplus,-1.0500,-0.9000,-0.9750,4.394300e+04,6.925201e-01,3.303601e-03
Kplus,-0.9000,-0.7500,-0.8250,4.514000e+04,7.113843e-01,3.348293e-03
Kplus,-0.7500,-0.6000,-0.6750,4.646100e+04,7.322026e-01,3.396933e-03
Kplus,-0.6000,-0.4500,-0.5250,4.722700e+04,7.442744e-01,3.424821e-03
Kplus,-0.4500,-0.3000,-0.3750,4.802200e+04,7.568032e-01,3.453527e-03
Kplus,-0.3000,-0.1500,-0.2250,4.771800e+04,7.520123e-01,3.442578e-03
Kplus,-0.1500,0.0000,-0.0750,4.883400e+04,7.695999e-01,3.482602e-03
Kplus,0.0000,0.1500,0.0750,4.865000e+04,7.667002e-01,3.476035e-03
Kplus,0.1500,0.3000,0.2250,4.812800e+04,7.584737e-01,3.457336e-03
Kplus,0.3000,0.4500,0.3750,4.826700e+04,7.606643e-01,3.462325e-03
Kplus,0.4500,0.6000,0.5250,4.748500e+04,7.483403e-01,3.434163e-03
Kplus,0.6000,0.7500,0.6750,4.683400e+04,7.380809e-01,3.410541e-03
Kplus,0.7500,0.9000,0.8250,4.572500e+04,7.206036e-01,3.369920e-03
Kplus,0.9000,1.0500,0.9750,4.464200e+04,7.035360e-01,3.329772e-03
Kplus,1.0500,1.2000,1.1250,4.335100e+04,6.831905e-01,3.281272e-03
Kplus,1.2000,1.3500,1.2750,4.178900e+04,6.585742e-01,3.221615e-03
Kplus,1.3500,1.5000,1.4250,3.943400e+04,6.214605e-01,3.129523e-03
Kplus,1.5000,1.6500,1.5750,3.800500e+04,5.989402e-01,3.072296e-03
Kplus,1.6500,1.8000,1.7250,3.469500e+04,5.467762e-01,2.935460e-03
Kplus,1.8000,1.9500,1.8750,3.198600e+04,5.040837e-01,2.818530e-03
Kplus,1.9500,2.1000,2.0250,3.095900e+04,4.878987e-01,2.772913e-03
Kplus,2.1000,2.2500,2.1750,2.991100e+04,4.713827e-01,2.725575e-03
Kplus,2.2500,2.4000,2.3250,2.145600e+04,3.381360e-01,2.308432e-03
Kplus,2.4000,2.5500,2.4750,1.259500e+04,1.984910e-01,1.768650e-03
Kplus,2.5500,2.7000,2.6250,1.950700e+04,3.074208e-01,2.201091e-03
Kplus,2.7000,2.8500,2.7750,1.695700e+04,2.672340e-01,2.052188e-03
Kplus,2.8500,3.0000,2.9250,1.151400e+04,1.814550e-01,1.691048e-03
Kminus,-3.0000,-2.8500,-2.9250,3.419000e+03,5.388176e-02,9.214935e-04
Kminus,-2.8500,-2.7000,-2.7750,5.304000e+03,8.358844e-02,1.147743e-03
Kminus,-2.7000,-2.5500,-2.6250,7.933000e+03,1.250202e-01,1.403658e-03
Kminus,-2.5500,-2.4000,-2.4750,1.069200e+04,1.685007e-01,1.629567e-03
Kminus,-2.4000,-2.2500,-2.3250,1.401400e+04,2.208538e-01,1.865622e-03
Kminus,-2.2500,-2.1000,-2.1750,1.740600e+04,2.743100e-01,2.079181e-03
Kminus,-2.1000,-1.9500,-2.0250,2.088700e+04,3.291689e-01,2.277617e-03
Kminus,-1.9500,-1.8000,-1.8750,2.384800e+04,3.758328e-01,2.433709e-03
Kminus,-1.8000,-1.6500,-1.7250,2.635100e+04,4.152788e-01,2.558240e-03
Kminus,-1.6500,-1.5000,-1.5750,2.893700e+04,4.560329e-01,2.680831e-03
Kminus,-1.5000,-1.3500,-1.4250,3.138300e+04,4.945807e-01,2.791836e-03
Kminus,-1.3500,-1.2000,-1.2750,3.340800e+04,5.264937e-01,2.880500e-03
Kminus,-1.2000,-1.0500,-1.1250,3.496400e+04,5.510155e-01,2.946818e-03
Kminus,-1.0500,-0.9000,-0.9750,3.715400e+04,5.855288e-01,3.037704e-03
Kminus,-0.9000,-0.7500,-0.8250,3.830000e+04,6.035892e-01,3.084197e-03
Kminus,-0.7500,-0.6000,-0.6750,3.914400e+04,6.168903e-01,3.117994e-03
Kminus,-0.6000,-0.4500,-0.5250,4.061700e+04,6.401040e-01,3.176118e-03
Kminus,-0.4500,-0.3000,-0.3750,4.124200e+04,6.499537e-01,3.200461e-03
Kminus,-0.3000,-0.1500,-0.2250,4.145100e+04,6.532474e-01,3.208560e-03
Kminus,-0.1500,0.0000,-0.0750,4.157500e+04,6.552016e-01,3.213356e-03
Kminus,0.0000,0.1500,0.0750,4.154800e+04,6.547761e-01,3.212312e-03
Kminus,0.1500,0.3000,0.2250,4.171000e+04,6.573292e-01,3.218569e-03
Kminus,0.3000,0.4500,0.3750,4.120700e+04,6.494021e-01,3.199103e-03
Kminus,0.4500,0.6000,0.5250,4.092900e+04,6.450210e-01,3.188293e-03
Kminus,0.6000,0.7500,0.6750,4.041100e+04,6.368576e-01,3.168053e-03
Kminus,0.7500,0.9000,0.8250,3.879500e+04,6.113902e-01,3.104063e-03
Kminus,0.9000,1.0500,0.9750,3.768700e+04,5.939286e-01,3.059416e-03
Kminus,1.0500,1.2000,1.1250,3.636400e+04,5.730788e-01,3.005236e-03
Kminus,1.2000,1.3500,1.2750,3.449700e+04,5.436558e-01,2.927072e-03
Kminus,1.3500,1.5000,1.4250,3.257200e+04,5.133188e-01,2.844231e-03
Kminus,1.5000,1.6500,1.5750,3.074900e+04,4.845892e-01,2.763492e-03
