y_lo,y_hi,y_center,KmeanCharged_value,KmeanCharged_err,TwoK0S_value,TwoK0S_err
-2.5000,-2.4286,-2.4643,2.519851e-01,2.041989e-03,2.036830e-01,1.835876e-03
-2.4286,-2.3571,-2.3929,2.777661e-01,2.143905e-03,2.264192e-01,1.935631e-03
-2.3571,-2.2857,-2.3214,2.972259e-01,2.217733e-03,2.471201e-01,2.022181e-03
-2.2857,-2.2143,-2.2500,3.249761e-01,2.318952e-03,2.714450e-01,2.119371e-03
-2.2143,-2.1429,-2.1786,3.474972e-01,2.397958e-03,2.915170e-01,2.196332e-03
-2.1429,-2.0714,-2.1071,3.672714e-01,2.465242e-03,3.099675e-01,2.264770e-03
-2.0714,-2.0000,-2.0357,3.937309e-01,2.552500e-03,3.321411e-01,2.344376e-03
-2.0000,-1.9286,-1.9643,4.114036e-01,2.609156e-03,3.579387e-01,2.433718e-03
-1.9286,-1.8571,-1.8929,4.326340e-01,2.675632e-03,3.713752e-01,2.478977e-03
-1.8571,-1.7857,-1.8214,4.591265e-01,2.756336e-03,3.967591e-01,2.562297e-03
-1.7857,-1.7143,-1.7500,4.742013e-01,2.801221e-03,4.155405e-01,2.622241e-03
-1.7143,-1.6429,-1.6786,4.939093e-01,2.858839e-03,4.253366e-01,2.652970e-03
-1.6429,-1.5714,-1.6071,5.143455e-01,2.917383e-03,4.510183e-01,2.731889e-03
-1.5714,-1.5000,-1.5357,5.300821e-01,2.961676e-03,4.656793e-01,2.775936e-03
-1.5000,-1.4286,-1.4643,5.484830e-01,3.012642e-03,4.784374e-01,2.813705e-03
-1.4286,-1.3571,-1.3929,5.576172e-01,3.037624e-03,5.005614e-01,2.878026e-03
-1.3571,-1.2857,-1.3214,5.753892e-01,3.085651e-03,5.164801e-01,2.923431e-03
-1.2857,-1.2143,-1.2500,5.938065e-01,3.134646e-03,5.242243e-01,2.945266e-03
-1.2143,-1.1429,-1.1786,5.946339e-01,3.136829e-03,5.360558e-01,2.978318e-03
-1.1429,-1.0714,-1.1071,6.158312e-01,3.192250e-03,5.532155e-01,3.025612e-03
-1.0714,-1.0000,-1.0357,6.291519e-01,3.226590e-03,5.694652e-01,3.069726e-03
-1.0000,-0.9286,-0.9643,6.383689e-01,3.250138e-03,5.855824e-01,3.112863e-03
-0.9286,-0.8571,-0.8929,6.523184e-01,3.285457e-03,5.874523e-01,3.117829e-03
-0.8571,-0.7857,-0.8214,6.556610e-01,3.293864e-03,5.944353e-01,3.136305e-03
-0.7857,-0.7143,-0.7500,6.731352e-01,3.337468e-03,5.974801e-01,3.144327e-03
-0.7143,-0.6429,-0.6786,6.709840e-01,3.332131e-03,6.122735e-01,3.183015e-03
-0.6429,-0.5714,-0.6071,6.861415e-01,3.369557e-03,6.207293e-01,3.204919e-03
-0.5714,-0.5000,-0.5357,6.921979e-01,3.384396e-03,6.260576e-01,3.218645e-03
-0.5000,-0.4286,-0.4643,6.890869e-01,3.376782e-03,6.325607e-01,3.235319e-03
-0.4286,-0.3571,-0.3929,7.078021e-01,3.422330e-03,6.329910e-01,3.236419e-03
-0.3571,-0.2857,-0.3214,7.007695e-01,3.405286e-03,6.383192e-01,3.250012e-03
-0.2857,-0.2143,-0.2500,7.043934e-01,3.414079e-03,6.432835e-01,3.262625e-03
-0.2143,-0.1429,-0.1786,7.030365e-01,3.410790e-03,6.463613e-01,3.270421e-03
-0.1429,-0.0714,-0.1071,7.114095e-01,3.431040e-03,6.526659e-01,3.286332e-03
-0.0714,0.0000,-0.0357,7.149341e-01,3.439529e-03,6.480492e-01,3.274688e-03
0.0000,0.0714,0.0357,7.103339e-01,3.428446e-03,6.478010e-01,3.274061e-03
0.0714,0.1429,0.1071,7.117073e-01,3.431759e-03,6.447893e-01,3.266442e-03
0.1429,0.2143,0.1786,7.080504e-01,3.422930e-03,6.474535e-01,3.273183e-03
0.2143,0.2857,0.2500,7.071733e-01,3.420810e-03,6.484960e-01,3.275817e-03
0.2857,0.3571,0.3214,7.066604e-01,3.419569e-03,6.452857e-01,3.267699e-03
0.3571,0.4286,0.3929,7.033840e-01,3.411632e-03,6.472383e-01,3.272639e-03
0.4286,0.5000,0.4643,6.980722e-01,3.398726e-03,6.345630e-01,3.240435e-03
0.5000,0.5714,0.5357,6.986514e-01,3.400136e-03,6.296484e-01,3.227863e-03
0.5714,0.6429,0.6071,6.924461e-01,3.385002e-03,6.228308e-01,3.210340e-03
0.6429,0.7143,0.6786,6.842385e-01,3.364881e-03,6.225329e-01,3.209572e-03
0.7143,0.7857,0.7500,6.816737e-01,3.358569e-03,6.140937e-01,3.187743e-03
0.7857,0.8571,0.8214,6.714473e-01,3.333281e-03,6.095101e-01,3.175824e-03
0.8571,0.9286,0.8929,6.534602e-01,3.288331e-03,5.979268e-01,3.145502e-03
0.9286,1.0000,0.9643,6.486283e-01,3.276151e-03,5.839608e-01,3.108550e-03
1.0000,1.0714,1.0357,6.424561e-01,3.260527e-03,5.757698e-01,3.086672e-03
1.0714,1.1429,1.1071,6.291519e-01,3.226590e-03,5.594870e-01,3.042713e-03
1.1429,1.2143,1.1786,6.267526e-01,3.220431e-03,5.509816e-01,3.019497e-03
1.2143,1.2857,1.2500,6.043969e-01,3.162475e-03,5.382235e-01,2.984333e-03
1.2857,1.3571,1.3214,5.871544e-01,3.117039e-03,5.301483e-01,2.961861e-03
1.3571,1.4286,1.3929,5.750086e-01,3.084631e-03,5.141966e-01,2.916961e-03
1.4286,1.5000,1.4643,5.594539e-01,3.042623e-03,4.929330e-01,2.856012e-03
1.5000,1.5714,1.5357,5.541091e-01,3.028054e-03,4.750287e-01,2.803664e-03
1.5714,1.6429,1.6071,5.317203e-01,2.966249e-03,4.611784e-01,2.762489e-03
1.6429,1.7143,1.6786,5.075941e-01,2.898173e-03,4.398156e-01,2.697748e-03
1.7143,1.7857,1.7500,4.856687e-01,2.834889e-03,4.208191e-01,2.638844e-03
1.7857,1.8571,1.8214,4.758726e-01,2.806153e-03,4.092524e-01,2.602326e-03
1.8571,1.9286,1.8929,4.343218e-01,2.680846e-03,3.762898e-01,2.495326e-03
1.9286,2.0000,1.9643,4.462691e-01,2.717468e-03,3.826275e-01,2.516252e-03
2.0000,2.0714,2.0357,4.195615e-01,2.634898e-03,3.477950e-01,2.398986e-03
2.0714,2.1429,2.1071,3.279050e-01,2.329378e-03,2.752178e-01,2.134048e-03
2.1429,2.2143,2.1786,4.290432e-01,2.664505e-03,3.550263e-01,2.423797e-03
2.2143,2.2857,2.2500,3.977188e-01,2.565394e-03,3.283352e-01,2.330906e-03
2.2857,2.3571,2.3214,2.745559e-01,2.131481e-03,2.220176e-01,1.916725e-03
