species,pt_lo,pt_hi,pt_center,counts,value,error
Kplus,0.0000,0.1250,0.0625,4.173900e+04,7.832445e-01,3.833772e-03
Kplus,0.1250,0.2500,0.1875,1.034570e+05,1.941401e+00,6.035806e-03
Kplus,0.2500,0.3750,0.3125,1.222090e+05,2.293287e+00,6.560046e-03
Kplus,0.3750,0.5000,0.4375,1.077910e+05,2.022729e+00,6.160934e-03
Kplus,0.5000,0.6250,0.5625,8.068800e+04,1.514134e+00,5.330400e-03
Kplus,0.6250,0.7500,0.6875,5.503200e+04,1.032691e+00,4.402131e-03
Kplus,0.7500,0.8750,0.8125,3.509500e+04,6.585679e-01,3.515426e-03
Kplus,0.8750,1.0000,0.9375,2.119900e+04,3.978054e-01,2.732203e-03
Kplus,1.0000,1.1250,1.0625,1.272100e+04,2.387133e-01,2.116489e-03
Kplus,1.1250,1.2500,1.1875,7.404000e+03,1.389382e-01,1.614688e-03
Kplus,1.2500,1.3750,1.3125,4.503000e+03,8.450010e-02,1.259234e-03
Kplus,1.3750,1.5000,1.4375,2.651000e+03,4.974679e-02,9.661847e-04
Kplus,1.5000,1.6250,1.5625,1.633000e+03,3.064372e-02,7.583128e-04
Kplus,1.6250,1.7500,1.6875,1.072000e+03,2.011639e-02,6.144021e-04
Kplus,1.7500,1.8750,1.8125,7.350000e+02,1.379249e-02,5.087436e-04
Kplus,1.8750,2.0000,1.9375,4.790000e+02,8.988574e-03,4.106984e-04
Kplus,2.0000,2.1250,2.0625,3.810000e+02,7.149576e-03,3.662839e-04
Kplus,2.1250,2.2500,2.1875,2.690000e+02,5.047863e-03,3.077737e-04
Kplus,2.2500,2.3750,2.3125,1.870000e+02,3.509109e-03,2.566115e-04
Kplus,2.3750,2.5000,2.4375,1.450000e+02,2.720967e-03,2.259640e-04
Kminus,0.0000,0.1250,0.0625,3.539500e+04,6.641975e-01,3.530419e-03
Kminus,0.1250,0.2500,0.1875,8.820400e+04,1.655174e+00,5.573133e-03
Kminus,0.2500,0.3750,0.3125,1.032800e+05,1.938079e+00,6.030640e-03
Kminus,0.3750,0.5000,0.4375,9.077300e+04,1.703382e+00,5.653711e-03
Kminus,0.5000,0.6250,0.5625,6.758900e+04,1.268327e+00,4.878579e-03
Kminus,0.6250,0.7500,0.6875,4.635300e+04,8.698275e-01,4.040120e-03
Kminus,0.7500,0.8750,0.8125,2.893100e+04,5.428986e-01,3.191810e-03
Kminus,0.8750,1.0000,0.9375,1.756000e+04,3.295185e-01,2.486667e-03
Kminus,1.0000,1.1250,1.0625,1.049600e+04,1.969605e-01,1.922504e-03
Kminus,1.1250,1.2500,1.1875,6.007000e+03,1.127231e-01,1.454401e-03
Kminus,1.2500,1.3750,1.3125,3.530000e+03,6.624148e-02,1.114917e-03
Kminus,1.3750,1.5000,1.4375,2.109000e+03,3.957600e-02,8.617744e-04
Kminus,1.5000,1.6250,1.5625,1.241000e+03,2.328773e-02,6.610605e-04
Kminus,1.6250,1.7500,1.6875,7.420000e+02,1.392385e-02,5.111605e-04
Kminus,1.7500,1.8750,1.8125,5.060000e+02,9.495237e-03,4.221148e-04
Kminus,1.8750,2.0000,1.9375,3.170000e+02,5.948597e-03,3.341065e-04
Kminus,2.0000,2.1250,2.0625,2.350000e+02,4.409843e-03,2.876665e-04
Kminus,2.1250,2.2500,2.1875,1.700000e+02,3.190099e-03,2.446695e-04
Kminus,2.2500,2.3750,2.3125,1.120000e+02,2.101713e-03,1.985932e-04
Kminus,2.3750,2.5000,2.4375,7.000000e+01,1.313570e-03,1.570017e-04
K0S,0.0000,0.1250,0.0625,3.872100e+04,7.266108e-01,2.611040e-03
K0S,0.1250,0.2500,0.1875,9.597950e+04,1.801083e+00,4.110830e-03
K0S,0.2500,0.3750,0.3125,1.126540e+05,2.113985e+00,4.453625e-03
K0S,0.3750,0.5000,0.4375,9.898300e+04,1.857445e+00,4.174655e-03
K0S,0.5000,0.6250,0.5625,7.410050e+04,1.390517e+00,3.612026e-03
K0S,0.6250,0.7500,0.6875,5.007750e+04,9.397188e-01,2.969352e-03
K0S,0.7500,0.8750,0.8125,3.172750e+04,5.953758e-01,2.363514e-03
K0S,0.8750,1.0000,0.9375,1.940800e+04,3.641968e-01,1.848548e-03
K0S,1.0000,1.1250,1.0625,1.146100e+04,2.150690e-01,1.420534e-03
K0S,1.1250,1.2500,1.1875,6.780500e+03,1.272381e-01,1.092625e-03
K0S,1.2500,1.3750,1.3125,4.043500e+03,7.587745e-02,8.437602e-04
K0S,1.3750,1.5000,1.4375,2.379000e+03,4.464263e-02,6.471985e-04
K0S,1.5000,1.6250,1.5625,1.477000e+03,2.771633e-02,5.099535e-04
K0S,1.6250,1.7500,1.6875,9.045000e+02,1.697321e-02,3.990659e-04
K0S,1.7500,1.8750,1.8125,6.380000e+02,1.197226e-02,3.351588e-04
K0S,1.8750,2.0000,1.9375,4.185000e+02,7.853274e-03,2.714489e-04
K0S,2.0000,2.1250,2.0625,2.985000e+02,5.601439e-03,2.292516e-04
K0S,2.1250,2.2500,2.1875,2.105000e+02,3.950094e-03,1.925158e-04
K0S,2.2500,2.3750,2.3125,1.435000e+02,2.692819e-03,1.589521e-04
K0S,2.3750,2.5000,2.4375,9.700000e+01,1.820233e-03,1.306851e-04
