pt_lo,pt_hi,pt_center,K+,K-,K0S,R,R_err
0.0000,0.1250,0.0625,41739,35395,3.872100e+04,9.960228e-01,5.066746e-03
0.1250,0.2500,0.1875,103457,88204,9.597950e+04,9.984476e-01,3.224072e-03
0.2500,0.3750,0.3125,122209,103280,1.126540e+05,1.000803e+00,2.981180e-03
0.3750,0.5000,0.4375,107791,90773,9.898300e+04,1.003021e+00,3.185682e-03
0.5000,0.6250,0.5625,80688,67589,7.410050e+04,1.000513e+00,3.674992e-03
0.6250,0.7500,0.6875,55032,46353,5.007750e+04,1.012281e+00,4.509813e-03
0.7500,0.8750,0.8125,35095,28931,3.172750e+04,1.008999e+00,5.652000e-03
0.8750,1.0000,0.9375,21199,17560,1.940800e+04,9.985315e-01,7.170196e-03
1.0000,1.1250,1.0625,12721,10496,1.146100e+04,1.012870e+00,9.431014e-03
1.1250,1.2500,1.1875,7404,6007,6.780500e+03,9.889389e-01,1.204341e-02
1.2500,1.3750,1.3125,4503,3530,4.043500e+03,9.933226e-01,1.564733e-02
1.3750,1.5000,1.4375,2651,2109,2.379000e+03,1.000420e+00,2.050877e-02
1.5000,1.6250,1.5625,1633,1241,1.477000e+03,9.729181e-01,2.549103e-02
1.6250,1.7500,1.6875,1072,742,9.045000e+02,1.002764e+00,3.331923e-02
1.7500,1.8750,1.8125,735,506,6.380000e+02,9.725705e-01,3.877497e-02
1.8750,2.0000,1.9375,479,317,4.185000e+02,9.510155e-01,4.708271e-02
2.0000,2.1250,2.0625,381,235,2.985000e+02,1.031826e+00,5.925967e-02
2.1250,2.2500,2.1875,269,170,2.105000e+02,1.042755e+00,7.113091e-02
2.2500,2.3750,2.3125,187,112,1.435000e+02,1.041812e+00,8.609175e-02
2.3750,2.5000,2.4375,145,70,9.700000e+01,1.108247e+00,1.097434e-01
