y_lo,y_hi,y_center,K+,K-,K0S,R_K,R_K_err
-2.5000,-2.4286,-2.4643,9307,4648,6.854500e+03,1.017944e+00,1.224091e-02
-2.4286,-2.3571,-2.3929,9656,5484,7.339500e+03,1.031405e+00,1.194716e-02
-2.3571,-2.2857,-2.3214,10390,5993,8.225000e+03,9.959271e-01,1.099267e-02
-2.2857,-2.2143,-2.2500,10750,6671,8.883000e+03,9.805809e-01,1.045546e-02
-2.2143,-2.1429,-2.1786,11744,7379,9.560500e+03,1.000105e+00,1.022807e-02
-2.1429,-2.0714,-2.1071,12355,8008,1.022000e+04,9.962329e-01,9.863830e-03
-2.0714,-2.0000,-2.0357,12975,8893,1.087600e+04,1.005333e+00,9.627168e-03
-2.0000,-1.9286,-1.9643,13513,9525,1.152900e+04,9.991326e-01,9.307254e-03
-1.9286,-1.8571,-1.8929,13842,10288,1.220300e+04,9.886913e-01,8.975647e-03
-1.8571,-1.7857,-1.8214,14756,10855,1.261000e+04,1.015504e+00,9.008655e-03
-1.7857,-1.7143,-1.7500,15354,11528,1.354500e+04,9.923219e-01,8.542826e-03
-1.7143,-1.6429,-1.6786,15982,12043,1.410500e+04,9.934420e-01,8.378601e-03
-1.6429,-1.5714,-1.6071,16249,12627,1.439850e+04,1.002743e+00,8.350912e-03
-1.5714,-1.5000,-1.5357,16790,13244,1.504800e+04,9.979399e-01,8.139337e-03
-1.5000,-1.4286,-1.4643,17070,13718,1.551550e+04,9.921691e-01,7.981014e-03
-1.4286,-1.3571,-1.3929,17774,14228,1.571500e+04,1.018199e+00,8.085860e-03
-1.3571,-1.2857,-1.3214,18002,14563,1.607250e+04,1.013066e+00,7.965097e-03
-1.2857,-1.2143,-1.2500,18653,14971,1.700950e+04,9.883888e-01,7.600704e-03
-1.2143,-1.1429,-1.1786,19004,15502,1.724800e+04,1.000290e+00,7.615967e-03
-1.1429,-1.0714,-1.1071,19433,15755,1.757350e+04,1.001167e+00,7.550064e-03
-1.0714,-1.0000,-1.0357,19746,16236,1.792100e+04,1.003906e+00,7.491850e-03
-1.0000,-0.9286,-0.9643,20000,16612,1.857550e+04,9.854916e-01,7.257303e-03
-0.9286,-0.8571,-0.8929,20255,16786,1.860300e+04,9.955652e-01,7.307374e-03
-0.8571,-0.7857,-0.8214,20803,17043,1.871650e+04,1.011033e+00,7.369957e-03
-0.7857,-0.7143,-0.7500,20431,17593,1.910900e+04,9.949239e-01,7.206495e-03
-0.7143,-0.6429,-0.6786,21104,17303,1.934200e+04,9.928394e-01,7.151711e-03
-0.6429,-0.5714,-0.6071,21272,17410,1.938600e+04,9.976787e-01,7.169669e-03
-0.5714,-0.5000,-0.5357,21666,18116,1.966900e+04,1.011287e+00,7.190648e-03
-0.5000,-0.4286,-0.4643,21830,18139,1.981700e+04,1.008452e+00,7.148658e-03
-0.4286,-0.3571,-0.3929,21521,18341,2.016400e+04,9.884448e-01,6.981193e-03
-0.3571,-0.2857,-0.3214,21578,18337,2.009500e+04,9.931575e-01,7.018121e-03
-0.2857,-0.2143,-0.2500,22055,18678,1.995350e+04,1.020698e+00,7.189105e-03
-0.2143,-0.1429,-0.1786,22141,18611,2.015800e+04,1.010815e+00,7.100404e-03
-0.1429,-0.0714,-0.1071,22062,18382,2.028200e+04,9.970417e-01,7.006157e-03
-0.0714,0.0000,-0.0357,21706,18395,2.031800e+04,9.868343e-01,6.946203e-03
0.0000,0.0714,0.0357,21899,18835,2.046800e+04,9.950655e-01,6.963887e-03
0.0714,0.1429,0.1071,22095,18691,2.065150e+04,9.874827e-01,6.893276e-03
0.1429,0.2143,0.1786,22304,18812,2.021500e+04,1.016968e+00,7.122807e-03
0.2143,0.2857,0.2500,21846,18613,2.020100e+04,1.001411e+00,7.043246e-03
0.2857,0.3571,0.3214,21725,18617,2.014350e+04,1.001365e+00,7.053050e-03
0.3571,0.4286,0.3929,22047,18390,2.013800e+04,1.003997e+00,7.067921e-03
0.4286,0.5000,0.4643,21920,18377,2.019650e+04,9.976234e-01,7.024041e-03
0.5000,0.5714,0.5357,21893,18450,1.966550e+04,1.025730e+00,7.268418e-03
0.5714,0.6429,0.6071,21551,18106,1.964550e+04,1.009315e+00,7.184406e-03
0.6429,0.7143,0.6786,21410,17748,1.979300e+04,9.891881e-01,7.050283e-03
0.7143,0.7857,0.7500,21219,17689,1.911650e+04,1.017655e+00,7.328322e-03
0.7857,0.8571,0.8214,20789,17364,1.918650e+04,9.942668e-01,7.188367e-03
0.8571,0.9286,0.8929,20271,17213,1.880200e+04,9.968089e-01,7.275405e-03
0.9286,1.0000,0.9643,20438,17221,1.840250e+04,1.023203e+00,7.499760e-03
1.0000,1.0714,1.0357,20214,16724,1.834300e+04,1.006869e+00,7.421571e-03
1.0714,1.1429,1.1071,19711,16367,1.781600e+04,1.012517e+00,7.562246e-03
1.1429,1.2143,1.1786,19055,16078,1.752800e+04,1.002196e+00,7.565691e-03
1.2143,1.2857,1.2500,19094,15385,1.729150e+04,9.969927e-01,7.587573e-03
1.2857,1.3571,1.3214,18503,14891,1.677000e+04,9.956470e-01,7.696850e-03
1.3571,1.4286,1.3929,17881,14396,1.636500e+04,9.861595e-01,7.735843e-03
1.4286,1.5000,1.4643,17471,14216,1.584000e+04,1.000221e+00,7.946838e-03
1.5000,1.5714,1.5357,17097,13685,1.535600e+04,1.002279e+00,8.083560e-03
1.5714,1.6429,1.6071,16381,12981,1.474250e+04,9.958284e-01,8.210191e-03
1.6429,1.7143,1.6786,15854,12757,1.403400e+04,1.019346e+00,8.563680e-03
1.7143,1.7857,1.7500,15732,11858,1.391950e+04,9.910557e-01,8.419066e-03
1.7857,1.8571,1.8214,15193,11704,1.333750e+04,1.008322e+00,8.712930e-03
1.8571,1.9286,1.8929,14180,10606,1.231050e+04,1.006702e+00,9.058138e-03
1.9286,2.0000,1.9643,13903,10454,1.228000e+04,9.917345e-01,8.968076e-03
2.0000,2.0714,2.0357,13385,9723,1.147450e+04,1.006928e+00,9.383900e-03
2.0714,2.1429,2.1071,10733,7433,9.076000e+03,1.000771e+00,1.050277e-02
2.1429,2.2143,2.1786,14043,9608,1.208900e+04,9.782033e-01,8.946226e-03
2.2143,2.2857,2.2500,13495,8604,1.108150e+04,9.971123e-01,9.478923e-03
2.2857,2.3571,2.3214,9305,5521,7.380000e+03,1.004472e+00,1.167954e-02
2.3571,2.4286,2.3929,6248,3317,4.618500e+03,1.035509e+00,1.510595e-02
2.4286,2.5000,2.4643,4224,1885,3.067000e+03,9.959244e-01,1.800169e-02
