key,value
n_events,426319
n_events_seen_total,426319
n_particles_seen,58283492
ycut,1.0
pt_y_lo,0.0
pt_y_hi,2.0
pt_y_symmetric,False
y_shift,3.592254737440786
input_frame,target
collision_mode,fixed-target
analysis_frame,cm
ecm_snn_gev,34.1
beam_kinetic_agev,
collision_system,C+C
beam_label,"sqrt(s_NN) = 34.1 GeV, target, unmodified"
k0_mode,strong
k0s_codes,"(311, -311)"
neutral_scale_for_K0S,0.5
centrality_top_fraction,1.0
centrality_activity_ymax,
centrality_selected_events,426319
centrality_total_events_seen,426319
centrality_threshold_activity,12
npart_enabled,True
y_proj_input,7.184509474881572
y_targ_input,0.0
y_spec_tol,0.5
pt_spec_max_gev,0.2
mean_Nspec,7.5633
std_Nspec,2.9757
mean_Npart_note,N_part = A_proj + A_targ - mean_Nspec  (fill in A values manually)
Kplus_raw_total,1343223
Kplus_total,1343223.0
Kplus_raw_in_window,541676
Kplus_in_window,541676.0
Kplus_per_event_in_window,1.2705884560622445
Kminus_raw_total,1021322
Kminus_total,1021322.0
Kminus_raw_in_window,446228
Kminus_in_window,446228.0
Kminus_per_event_in_window,1.046699771767151
K0S_raw_total,2361535
K0S_total,1180767.5
K0S_raw_in_window,985117
K0S_in_window,492558.5
K0S_per_event_in_window,1.1553754348269722
R_integrated,1.0028291055783223
R_integrated_err,0.0014278793250378245
