species,y_lo,y_hi,y_center,counts,value,error
Kplus,-2.5000,-2.4286,-2.4643,9.307000e+03,3.056350e-01,3.168095e-03
Kplus,-2.4286,-2.3571,-2.3929,9.656000e+03,3.170959e-01,3.226948e-03
Kplus,-2.3571,-2.2857,-2.3214,1.039000e+04,3.411999e-01,3.347350e-03
Kplus,-2.2857,-2.2143,-2.2500,1.075000e+04,3.530220e-01,3.404847e-03
Kplus,-2.2143,-2.1429,-2.1786,1.174400e+04,3.856643e-01,3.558782e-03
Kplus,-2.1429,-2.0714,-2.1071,1.235500e+04,4.057290e-01,3.650184e-03
Kplus,-2.0714,-2.0000,-2.0357,1.297500e+04,4.260894e-01,3.740650e-03
Kplus,-2.0000,-1.9286,-1.9643,1.351300e+04,4.437569e-01,3.817414e-03
Kplus,-1.9286,-1.8571,-1.8929,1.384200e+04,4.545610e-01,3.863605e-03
Kplus,-1.8571,-1.7857,-1.8214,1.475600e+04,4.845761e-01,3.989125e-03
Kplus,-1.7857,-1.7143,-1.7500,1.535400e+04,5.042140e-01,4.069154e-03
Kplus,-1.7143,-1.6429,-1.6786,1.598200e+04,5.248370e-01,4.151537e-03
Kplus,-1.6429,-1.5714,-1.6071,1.624900e+04,5.336051e-01,4.186072e-03
Kplus,-1.5714,-1.5000,-1.5357,1.679000e+04,5.513712e-01,4.255187e-03
Kplus,-1.5000,-1.4286,-1.4643,1.707000e+04,5.605661e-01,4.290522e-03
Kplus,-1.4286,-1.3571,-1.3929,1.777400e+04,5.836850e-01,4.378103e-03
Kplus,-1.3571,-1.2857,-1.3214,1.800200e+04,5.911723e-01,4.406094e-03
Kplus,-1.2857,-1.2143,-1.2500,1.865300e+04,6.125507e-01,4.485054e-03
Kplus,-1.2143,-1.1429,-1.1786,1.900400e+04,6.240773e-01,4.527056e-03
Kplus,-1.1429,-1.0714,-1.1071,1.943300e+04,6.381653e-01,4.577868e-03
Kplus,-1.0714,-1.0000,-1.0357,1.974600e+04,6.484440e-01,4.614588e-03
Kplus,-1.0000,-0.9286,-0.9643,2.000000e+04,6.567852e-01,4.644173e-03
Kplus,-0.9286,-0.8571,-0.8929,2.025500e+04,6.651592e-01,4.673685e-03
Kplus,-0.8571,-0.7857,-0.8214,2.080300e+04,6.831551e-01,4.736487e-03
Kplus,-0.7857,-0.7143,-0.7500,2.043100e+04,6.709389e-01,4.693947e-03
Kplus,-0.7143,-0.6429,-0.6786,2.110400e+04,6.930397e-01,4.770630e-03
Kplus,-0.6429,-0.5714,-0.6071,2.127200e+04,6.985567e-01,4.789581e-03
Kplus,-0.5714,-0.5000,-0.5357,2.166600e+04,7.114954e-01,4.833734e-03
Kplus,-0.5000,-0.4286,-0.4643,2.183000e+04,7.168810e-01,4.851994e-03
