# dn/dy per-event spectrum; N_ev=423025
species,y_lo,y_hi,y_center,counts,dn_dy,dn_dy_err
Kplus,-2.5000,-2.4000,-2.4500,1.418800e+04,3.353939e-01,2.815753e-03
Kplus,-2.4000,-2.3000,-2.3500,1.552700e+04,3.670469e-01,2.945627e-03
Kplus,-2.3000,-2.2000,-2.2500,1.698400e+04,4.014893e-01,3.080732e-03
Kplus,-2.2000,-2.1000,-2.1500,1.815300e+04,4.291236e-01,3.184991e-03
Kplus,-2.1000,-2.0000,-2.0500,1.925000e+04,4.550558e-01,3.279815e-03
Kplus,-2.0000,-1.9000,-1.9500,2.025300e+04,4.787660e-01,3.364176e-03
Kplus,-1.9000,-1.8000,-1.8500,2.167000e+04,5.122629e-01,3.479873e-03
Kplus,-1.8000,-1.7000,-1.7500,2.293400e+04,5.421429e-01,3.579925e-03
Kplus,-1.7000,-1.6000,-1.6500,2.397400e+04,5.667277e-01,3.660195e-03
Kplus,-1.6000,-1.5000,-1.5500,2.510200e+04,5.933928e-01,3.745313e-03
Kplus,-1.5000,-1.4000,-1.4500,2.579200e+04,6.097039e-01,3.796439e-03
Kplus,-1.4000,-1.3000,-1.3500,2.653700e+04,6.273152e-01,3.850879e-03
Kplus,-1.3000,-1.2000,-1.2500,2.754800e+04,6.512145e-01,3.923548e-03
Kplus,-1.2000,-1.1000,-1.1500,2.781600e+04,6.575498e-01,3.942587e-03
Kplus,-1.1000,-1.0000,-1.0500,2.896200e+04,6.846404e-01,4.022983e-03
Kplus,-1.0000,-0.9000,-0.9500,2.954100e+04,6.983275e-01,4.062998e-03
Kplus,-0.9000,-0.8000,-0.8500,2.997700e+04,7.086342e-01,4.092871e-03
Kplus,-0.8000,-0.7000,-0.7500,3.075800e+04,7.270965e-01,4.145845e-03
Kplus,-0.7000,-0.6000,-0.6500,3.086600e+04,7.296495e-01,4.153117e-03
Kplus,-0.6000,-0.5000,-0.5500,3.160300e+04,7.470717e-01,4.202407e-03
Kplus,-0.5000,-0.4000,-0.4500,3.124000e+04,7.384906e-01,4.178202e-03
Kplus,-0.4000,-0.3000,-0.3500,3.240600e+04,7.660540e-01,4.255462e-03
Kplus,-0.3000,-0.2000,-0.2500,3.173900e+04,7.502866e-01,4.211440e-03
Kplus,-0.2000,-0.1000,-0.1500,3.201600e+04,7.568347e-01,4.229777e-03
Kplus,-0.1000,0.0000,-0.0500,3.279700e+04,7.752970e-01,4.281057e-03
Kplus,0.0000,0.1000,0.0500,3.252700e+04,7.689144e-01,4.263399e-03
Kplus,0.1000,0.2000,0.1500,3.222900e+04,7.618699e-01,4.243824e-03
Kplus,0.2000,0.3000,0.2500,3.202200e+04,7.569765e-01,4.230174e-03
Kplus,0.3000,0.4000,0.3500,3.217800e+04,7.606643e-01,4.240465e-03
Kplus,0.4000,0.5000,0.4500,3.188900e+04,7.538325e-01,4.221380e-03
Kplus,0.5000,0.6000,0.5500,3.168500e+04,7.490101e-01,4.207856e-03
Kplus,0.6000,0.7000,0.6500,3.119300e+04,7.373796e-01,4.175058e-03
Kplus,0.7000,0.8000,0.7500,3.111800e+04,7.356066e-01,4.170036e-03
Kplus,0.8000,0.9000,0.8500,3.024800e+04,7.150405e-01,4.111330e-03
Kplus,0.9000,1.0000,0.9500,2.986300e+04,7.059394e-01,4.085081e-03
