y_lo,y_hi,y_center,KmeanCharged_value,KmeanCharged_err,TwoK0S_value,TwoK0S_err
-3.0000,-2.8500,-2.9250,9.593755e-02,8.660966e-04,9.487418e-02,8.612834e-04
-2.8500,-2.7000,-2.7750,1.319122e-01,1.015581e-03,1.283937e-01,1.001945e-03
-2.7000,-2.5500,-2.6250,1.725078e-01,1.161385e-03,1.754633e-01,1.171292e-03
-2.5500,-2.4000,-2.4750,2.223843e-01,1.318634e-03,2.194679e-01,1.309958e-03
-2.4000,-2.2500,-2.3250,2.668424e-01,1.444440e-03,2.683515e-01,1.448518e-03
-2.2500,-2.1000,-2.1750,3.135289e-01,1.565708e-03,3.142561e-01,1.567523e-03
-2.1000,-1.9500,-2.0250,3.610051e-01,1.680075e-03,3.604578e-01,1.678801e-03
-1.9500,-1.8000,-1.8750,4.025233e-01,1.774057e-03,4.019447e-01,1.772781e-03
-1.8000,-1.6500,-1.7250,4.489439e-01,1.873562e-03,4.510003e-01,1.877848e-03
-1.6500,-1.5000,-1.5750,4.821194e-01,1.941553e-03,4.825104e-01,1.942340e-03
-1.5000,-1.3500,-1.4250,5.166085e-01,2.009800e-03,5.139188e-01,2.004561e-03
-1.3500,-1.2000,-1.2750,5.450301e-01,2.064345e-03,5.452021e-01,2.064671e-03
-1.2000,-1.0500,-1.1250,5.757113e-01,2.121653e-03,5.753907e-01,2.121062e-03
-1.0500,-0.9000,-0.9750,5.989959e-01,2.164133e-03,6.029053e-01,2.171184e-03
-0.9000,-0.7500,-0.8250,6.180583e-01,2.198299e-03,6.150246e-01,2.192897e-03
-0.7500,-0.6000,-0.6750,6.302323e-01,2.219843e-03,6.343372e-01,2.227061e-03
-0.6000,-0.4500,-0.5250,6.518124e-01,2.257529e-03,6.463079e-01,2.247976e-03
-0.4500,-0.3000,-0.3750,6.552996e-01,2.263560e-03,6.587164e-01,2.269453e-03
-0.3000,-0.1500,-0.2250,6.673016e-01,2.284195e-03,6.595140e-01,2.270827e-03
-0.1500,0.0000,-0.0750,6.617580e-01,2.274687e-03,6.668481e-01,2.283418e-03
0.0000,0.1500,0.0750,6.702493e-01,2.289234e-03,6.749484e-01,2.297245e-03
0.1500,0.3000,0.2250,6.690608e-01,2.287204e-03,6.644320e-01,2.279278e-03
0.3000,0.4500,0.3750,6.625320e-01,2.276017e-03,6.597251e-01,2.271190e-03
0.4500,0.6000,0.5250,6.604913e-01,2.272509e-03,6.531259e-01,2.259803e-03
0.6000,0.7500,0.6750,6.448614e-01,2.245459e-03,6.427268e-01,2.241740e-03
0.7500,0.9000,0.8250,6.261978e-01,2.212727e-03,6.261274e-01,2.212602e-03
0.9000,1.0500,0.9750,6.130464e-01,2.189368e-03,6.050555e-01,2.175052e-03
1.0500,1.2000,1.1250,5.881668e-01,2.144481e-03,5.845466e-01,2.137872e-03
1.2000,1.3500,1.2750,5.600579e-01,2.092611e-03,5.621065e-01,2.096435e-03
1.3500,1.5000,1.4250,5.253969e-01,2.026823e-03,5.287981e-01,2.033373e-03
1.5000,1.6500,1.5750,4.931049e-01,1.963549e-03,4.931675e-01,1.963673e-03
1.6500,1.8000,1.7250,4.580217e-01,1.892409e-03,4.554962e-01,1.887185e-03
1.8000,1.9500,1.8750,4.133603e-01,1.797779e-03,4.101545e-01,1.790795e-03
1.9500,2.1000,2.0250,3.815453e-01,1.727210e-03,3.822333e-01,1.728766e-03
2.1000,2.2500,2.1750,3.604500e-01,1.678783e-03,3.656495e-01,1.690848e-03
2.2500,2.4000,2.3250,2.430731e-01,1.378607e-03,2.409620e-01,1.372607e-03
2.4000,2.5500,2.4750,1.309974e-01,1.012053e-03,1.336089e-01,1.022091e-03
2.5500,2.7000,2.6250,2.118758e-01,1.287101e-03,2.114536e-01,1.285818e-03
2.7000,2.8500,2.7750,1.734069e-01,1.164408e-03,1.710769e-01,1.156559e-03
2.8500,3.0000,2.9250,1.041943e-01,9.025972e-04,1.042099e-01,9.026649e-04
