y_lo,y_hi,y_center,Kplus_value,Kplus_err,Kminus_value,Kminus_err,K0S_value,K0S_err,KmeanCharged_value,KmeanCharged_err
-2.0000,-1.9000,-1.9500,3.697778e-02,9.064924e-04,6.022222e-03,3.658239e-04,2.144444e-02,4.881307e-04,2.150000e-02,4.887626e-04
-1.9000,-1.8000,-1.8500,5.046667e-02,1.059000e-03,7.688889e-03,4.133572e-04,2.797778e-02,5.575520e-04,2.907778e-02,5.684069e-04
-1.8000,-1.7000,-1.7500,6.811111e-02,1.230276e-03,1.084444e-02,4.909049e-04,3.707778e-02,6.418530e-04,3.947778e-02,6.623005e-04
-1.7000,-1.6000,-1.6500,8.028889e-02,1.335739e-03,1.660000e-02,6.073622e-04,4.697778e-02,7.224786e-04,4.844444e-02,7.336700e-04
-1.6000,-1.5000,-1.5500,9.851111e-02,1.479573e-03,2.122222e-02,6.867350e-04,5.787778e-02,8.019267e-04,5.986667e-02,8.155889e-04
-1.5000,-1.4000,-1.4500,1.148444e-01,1.597529e-03,3.095556e-02,8.293981e-04,7.282222e-02,8.995198e-04,7.290000e-02,9.000000e-04
-1.4000,-1.3000,-1.3500,1.372889e-01,1.746672e-03,3.986667e-02,9.412364e-04,8.464444e-02,9.697906e-04,8.857778e-02,9.920673e-04
-1.3000,-1.2000,-1.2500,1.548222e-01,1.854857e-03,4.957778e-02,1.049633e-03,1.016778e-01,1.062898e-03,1.022000e-01,1.065624e-03
-1.2000,-1.1000,-1.1500,1.777778e-01,1.987616e-03,6.211111e-02,1.174839e-03,1.202778e-01,1.156036e-03,1.199444e-01,1.154433e-03
-1.1000,-1.0000,-1.0500,1.855556e-01,2.030630e-03,7.671111e-02,1.305638e-03,1.373889e-01,1.235534e-03,1.311333e-01,1.207078e-03
-1.0000,-0.9000,-0.9500,2.038667e-01,2.128467e-03,9.124444e-02,1.423957e-03,1.498667e-01,1.290421e-03,1.475556e-01,1.280432e-03
-0.9000,-0.8000,-0.8500,2.180000e-01,2.201010e-03,1.059333e-01,1.534299e-03,1.605222e-01,1.335507e-03,1.619667e-01,1.341503e-03
-0.8000,-0.7000,-0.7500,2.263333e-01,2.242684e-03,1.217111e-01,1.644595e-03,1.762889e-01,1.399559e-03,1.740222e-01,1.390532e-03
-0.7000,-0.6000,-0.6500,2.358222e-01,2.289212e-03,1.356889e-01,1.736464e-03,1.886889e-01,1.447944e-03,1.857556e-01,1.436646e-03
-0.6000,-0.5000,-0.5500,2.447556e-01,2.332169e-03,1.444000e-01,1.791337e-03,1.973000e-01,1.480615e-03,1.945778e-01,1.470366e-03
-0.5000,-0.4000,-0.4500,2.585556e-01,2.397015e-03,1.586444e-01,1.877613e-03,2.080222e-01,1.520315e-03,2.086000e-01,1.522425e-03
-0.4000,-0.3000,-0.3500,2.640889e-01,2.422528e-03,1.588000e-01,1.878534e-03,2.160667e-01,1.549432e-03,2.114444e-01,1.532770e-03
-0.3000,-0.2000,-0.2500,2.632444e-01,2.418652e-03,1.732444e-01,1.962110e-03,2.216778e-01,1.569422e-03,2.182444e-01,1.557221e-03
-0.2000,-0.1000,-0.1500,2.698444e-01,2.448784e-03,1.776222e-01,1.986746e-03,2.232444e-01,1.574958e-03,2.237333e-01,1.576682e-03
-0.1000,0.0000,-0.0500,2.786889e-01,2.488591e-03,1.753556e-01,1.974029e-03,2.281556e-01,1.592188e-03,2.270222e-01,1.588228e-03
0.0000,0.1000,0.0500,2.687778e-01,2.443939e-03,1.747556e-01,1.970649e-03,2.247333e-01,1.580202e-03,2.217667e-01,1.569737e-03
0.1000,0.2000,0.1500,2.716889e-01,2.457139e-03,1.784444e-01,1.991339e-03,2.270222e-01,1.588228e-03,2.250667e-01,1.581373e-03
0.2000,0.3000,0.2500,2.744222e-01,2.469468e-03,1.754667e-01,1.974654e-03,2.235222e-01,1.575938e-03,2.249444e-01,1.580944e-03
0.3000,0.4000,0.3500,2.711556e-01,2.454726e-03,1.674444e-01,1.928986e-03,2.225556e-01,1.572526e-03,2.193000e-01,1.560983e-03
0.4000,0.5000,0.4500,2.656222e-01,2.429551e-03,1.595778e-01,1.883128e-03,2.176333e-01,1.555040e-03,2.126000e-01,1.536952e-03
0.5000,0.6000,0.5500,2.653111e-01,2.428127e-03,1.446444e-01,1.792853e-03,2.099111e-01,1.527202e-03,2.049778e-01,1.509149e-03
0.6000,0.7000,0.6500,2.445556e-01,2.331216e-03,1.334444e-01,1.722043e-03,1.970111e-01,1.479531e-03,1.890000e-01,1.449138e-03
0.7000,0.8000,0.7500,2.398444e-01,2.308653e-03,1.226222e-01,1.650739e-03,1.880111e-01,1.445342e-03,1.812333e-01,1.419050e-03
0.8000,0.9000,0.8500,2.227111e-01,2.224665e-03,1.115333e-01,1.574331e-03,1.716778e-01,1.381134e-03,1.671222e-01,1.362686e-03
0.9000,1.0000,0.9500,2.125778e-01,2.173465e-03,9.502222e-02,1.453136e-03,1.602222e-01,1.334259e-03,1.538000e-01,1.307245e-03
1.0000,1.1000,1.0500,1.982444e-01,2.098912e-03,8.044444e-02,1.337032e-03,1.394889e-01,1.244940e-03,1.393444e-01,1.244296e-03
1.1000,1.2000,1.1500,1.828889e-01,2.015985e-03,6.775556e-02,1.227061e-03,1.271556e-01,1.188629e-03,1.253222e-01,1.180029e-03
1.2000,1.3000,1.2500,1.702889e-01,1.945301e-03,5.515556e-02,1.107104e-03,1.131000e-01,1.121011e-03,1.127222e-01,1.119138e-03
1.3000,1.4000,1.3500,1.505556e-01,1.829120e-03,4.426667e-02,9.918184e-04,9.796667e-02,1.043321e-03,9.741111e-02,1.040358e-03
1.4000,1.5000,1.4500,1.326222e-01,1.716730e-03,3.175556e-02,8.400470e-04,7.874444e-02,9.353814e-04,8.218889e-02,9.556202e-04
1.5000,1.6000,1.5500,1.039778e-01,1.520071e-03,2.531111e-02,7.499794e-04,6.728889e-02,8.646701e-04,6.464444e-02,8.475091e-04
1.6000,1.7000,1.6500,8.506667e-02,1.374907e-03,1.671111e-02,6.093915e-04,5.374444e-02,7.727616e-04,5.088889e-02,7.519522e-04
1.7000,1.8000,1.7500,6.897778e-02,1.238079e-03,1.268889e-02,5.310135e-04,4.240000e-02,6.863753e-04,4.083333e-02,6.735753e-04
1.8000,1.9000,1.8500,5.337778e-02,1.089116e-03,9.755556e-03,4.656073e-04,3.025556e-02,5.798041e-04,3.156667e-02,5.922337e-04
1.9000,2.0000,1.9500,4.257778e-02,9.727142e-04,5.733333e-03,3.569417e-04,2.270000e-02,5.022173e-04,2.415556e-02,5.180686e-04
