species,pt_lo,pt_hi,pt_center,counts,value,error
Kplus,0.0000,0.1000,0.0500,5.280000e+03,1.173333e-01,1.614747e-03
Kplus,0.1000,0.2000,0.1500,1.375000e+04,3.055556e-01,2.605787e-03
Kplus,0.2000,0.3000,0.2500,1.890400e+04,4.200889e-01,3.055374e-03
Kplus,0.3000,0.4000,0.3500,1.936100e+04,4.302444e-01,3.092085e-03
Kplus,0.4000,0.5000,0.4500,1.695900e+04,3.768667e-01,2.893927e-03
Kplus,0.5000,0.6000,0.5500,1.366000e+04,3.035556e-01,2.597245e-03
Kplus,0.6000,0.7000,0.6500,9.788000e+03,2.175111e-01,2.198540e-03
Kplus,0.7000,0.8000,0.7500,7.057000e+03,1.568222e-01,1.866799e-03
Kplus,0.8000,0.9000,0.8500,4.983000e+03,1.107333e-01,1.568675e-03
Kplus,0.9000,1.0000,0.9500,3.404000e+03,7.564444e-02,1.296529e-03
Kplus,1.0000,1.1000,1.0500,2.398000e+03,5.328889e-02,1.088208e-03
Kplus,1.1000,1.2000,1.1500,1.578000e+03,3.506667e-02,8.827566e-04
Kplus,1.2000,1.3000,1.2500,1.032000e+03,2.293333e-02,7.138835e-04
Kplus,1.3000,1.4000,1.3500,8.080000e+02,1.795556e-02,6.316742e-04
Kplus,1.4000,1.5000,1.4500,4.820000e+02,1.071111e-02,4.878777e-04
Kplus,1.5000,1.6000,1.5500,3.280000e+02,7.288889e-03,4.024616e-04
Kplus,1.6000,1.7000,1.6500,2.890000e+02,6.422222e-03,3.777778e-04
Kplus,1.7000,1.8000,1.7500,1.890000e+02,4.200000e-03,3.055050e-04
Kplus,1.8000,1.9000,1.8500,1.480000e+02,3.288889e-03,2.703450e-04
Kplus,1.9000,2.0000,1.9500,9.100000e+01,2.022222e-03,2.119865e-04
Kplus,2.0000,2.1000,2.0500,8.900000e+01,1.977778e-03,2.096440e-04
Kplus,2.1000,2.2000,2.1500,8.000000e+01,1.777778e-03,1.987616e-04
Kplus,2.2000,2.3000,2.2500,4.800000e+01,1.066667e-03,1.539601e-04
Kplus,2.3000,2.4000,2.3500,3.500000e+01,7.777778e-04,1.314684e-04
Kplus,2.4000,2.5000,2.4500,4.400000e+01,9.777778e-04,1.474055e-04
Kminus,0.0000,0.1000,0.0500,3.734000e+03,8.297778e-02,1.357921e-03
Kminus,0.1000,0.2000,0.1500,1.028400e+04,2.285333e-01,2.253557e-03
Kminus,0.2000,0.3000,0.2500,1.341900e+04,2.982000e-01,2.574231e-03
Kminus,0.3000,0.4000,0.3500,1.341600e+04,2.981333e-01,2.573944e-03
Kminus,0.4000,0.5000,0.4500,1.078700e+04,2.397111e-01,2.308011e-03
Kminus,0.5000,0.6000,0.5500,8.328000e+03,1.850667e-01,2.027953e-03
