pt_lo,pt_hi,pt_center,K+,K-,K0S,R,R_err
0.0000,0.1000,0.0500,5280,3734,4.532500e+03,9.943740e-01,1.479089e-02
0.1000,0.2000,0.1500,13750,10284,1.206850e+04,9.957327e-01,9.073627e-03
0.2000,0.3000,0.2500,18904,13419,1.629150e+04,9.920204e-01,7.787744e-03
0.3000,0.4000,0.3500,19361,13416,1.629400e+04,1.005800e+00,7.868115e-03
0.4000,0.5000,0.4500,16959,10787,1.425550e+04,9.731683e-01,8.206723e-03
0.5000,0.6000,0.5500,13660,8328,1.099350e+04,1.000045e+00,9.537770e-03
0.6000,0.7000,0.6500,9788,5644,7.868000e+03,9.806812e-01,1.111026e-02
0.7000,0.8000,0.7500,7057,3997,5.583500e+03,9.898809e-01,1.328118e-02
0.8000,0.9000,0.8500,4983,2475,3.783500e+03,9.855953e-01,1.608173e-02
0.9000,1.0000,0.9500,3404,1575,2.542000e+03,9.793470e-01,1.952659e-02
1.0000,1.1000,1.0500,2398,1022,1.682000e+03,1.016647e+00,2.468721e-02
1.1000,1.2000,1.1500,1578,621,1.136000e+03,9.678697e-01,2.895359e-02
1.2000,1.3000,1.2500,1032,392,7.830000e+02,9.093231e-01,3.329683e-02
1.3000,1.4000,1.3500,808,273,4.985000e+02,1.084253e+00,4.760942e-02
1.4000,1.5000,1.4500,482,177,3.635000e+02,9.064649e-01,4.875540e-02
1.5000,1.6000,1.5500,328,143,2.510000e+02,9.382470e-01,6.018819e-02
1.6000,1.7000,1.6500,289,69,1.750000e+02,1.022857e+00,7.688756e-02
1.7000,1.8000,1.7500,189,36,1.160000e+02,9.698276e-01,9.074389e-02
1.8000,1.9000,1.8500,148,27,9.350000e+01,9.358289e-01,9.842624e-02
1.9000,2.0000,1.9500,91,14,7.100000e+01,7.394366e-01,9.517231e-02
2.0000,2.1000,2.0500,89,13,4.450000e+01,1.146067e+00,1.662386e-01
2.1000,2.2000,2.1500,80,6,4.650000e+01,9.247312e-01,1.383411e-01
2.2000,2.3000,2.2500,48,2,3.300000e+01,7.575758e-01,1.420359e-01
2.3000,2.4000,2.3500,35,5,9.500000e+00,2.105263e+00,5.865778e-01
2.4000,2.5000,2.4500,44,5,1.200000e+01,2.041667e+00,5.086776e-01
