key,value
n_events,450000
n_particles_seen,25256495
ycut,0.5
y_shift,2.156562059608184
input_frame,target
collision_mode,fixed-target
analysis_frame,cm
ecm_snn_gev,
beam_kinetic_agev,34.1
collision_system,C12+C12
beam_label,fixed-target mode
neutral_scale_for_K0S,0.5
Kplus_raw_total,334554
Kplus_total,334554.0
Kplus_raw_in_window,120874
Kplus_in_window,120874.0
Kplus_per_event_in_window,0.2686088888888889
Kminus_raw_total,161835
Kminus_total,161835.0
Kminus_raw_in_window,76471
Kminus_in_window,76471.0
Kminus_per_event_in_window,0.16993555555555556
K0S_raw_total,501661
K0S_total,250830.5
K0S_raw_in_window,199137
K0S_in_window,99568.5
K0S_per_event_in_window,0.22126333333333334
R_integrated,0.9910011700487604
R_integrated_err,0.0031477255639347597
