key,value
n_events,450000
n_events_seen_total,450000
n_particles_seen,207236907
ycut,1.0
y_shift,1.0019659051706946
input_frame,target
collision_mode,fixed-target
analysis_frame,cm
ecm_snn_gev,2.9
beam_kinetic_agev,
collision_system,Xe124+W184
beam_label,"sqrt(s_NN) = 2.9 GeV, fixed-target, modified"
k0_mode,strong
k0s_codes,"(311, -311)"
neutral_scale_for_K0S,0.5
centrality_top_fraction,1.0
centrality_activity_ymax,
centrality_selected_events,450000
centrality_total_events_seen,450000
centrality_threshold_activity,186
Kplus_raw_total,975097
Kplus_total,975097.0
Kplus_raw_in_window,926875
Kplus_in_window,926875.0
Kplus_per_event_in_window,2.0597222222222222
Kminus_raw_total,58654
Kminus_total,58654.0
Kminus_raw_in_window,55782
Kminus_in_window,55782.0
Kminus_per_event_in_window,0.12396
K0S_raw_total,1104599
K0S_total,552299.5
K0S_raw_in_window,1050174
K0S_in_window,525087.0
K0S_per_event_in_window,1.16686
R_integrated,0.9357087492167965
R_integrated_err,0.0013132872281184096
