species,pt_lo,pt_hi,pt_center,counts,value,error
Kplus,0.0000,0.1000,0.0500,4.925900e+04,1.094644e+00,4.932082e-03
Kplus,0.1000,0.2000,0.1500,1.300430e+05,2.889844e+00,8.013661e-03
Kplus,0.2000,0.3000,0.2500,1.709600e+05,3.799111e+00,9.188291e-03
Kplus,0.3000,0.4000,0.3500,1.660730e+05,3.690511e+00,9.056012e-03
Kplus,0.4000,0.5000,0.4500,1.365720e+05,3.034933e+00,8.212366e-03
Kplus,0.5000,0.6000,0.5500,9.940200e+04,2.208933e+00,7.006241e-03
Kplus,0.6000,0.7000,0.6500,6.743700e+04,1.498600e+00,5.770808e-03
Kplus,0.7000,0.8000,0.7500,4.308000e+04,9.573333e-01,4.612383e-03
Kplus,0.8000,0.9000,0.8500,2.650000e+04,5.888889e-01,3.617516e-03
Kplus,0.9000,1.0000,0.9500,1.607100e+04,3.571333e-01,2.817143e-03
Kplus,1.0000,1.1000,1.0500,9.343000e+03,2.076222e-01,2.147982e-03
Kplus,1.1000,1.2000,1.1500,5.428000e+03,1.206222e-01,1.637221e-03
Kplus,1.2000,1.3000,1.2500,3.115000e+03,6.922222e-02,1.240271e-03
Kplus,1.3000,1.4000,1.3500,1.664000e+03,3.697778e-02,9.064924e-04
Kplus,1.4000,1.5000,1.4500,9.230000e+02,2.051111e-02,6.751314e-04
Kplus,1.5000,1.6000,1.5500,4.840000e+02,1.075556e-02,4.888889e-04
Kplus,1.6000,1.7000,1.6500,2.720000e+02,6.044444e-03,3.664983e-04
Kplus,1.7000,1.8000,1.7500,1.180000e+02,2.622222e-03,2.413951e-04
Kplus,1.8000,1.9000,1.8500,5.600000e+01,1.244444e-03,1.662959e-04
Kplus,1.9000,2.0000,1.9500,4.400000e+01,9.777778e-04,1.474055e-04
Kplus,2.0000,2.1000,2.0500,8.000000e+00,1.777778e-04,6.285394e-05
Kplus,2.1000,2.2000,2.1500,8.000000e+00,1.777778e-04,6.285394e-05
Kplus,2.2000,2.3000,2.2500,5.000000e+00,1.111111e-04,4.969040e-05
Kplus,2.3000,2.4000,2.3500,3.000000e+00,6.666667e-05,3.849002e-05
Kplus,2.4000,2.5000,2.4500,4.000000e+00,8.888889e-05,4.444444e-05
Kminus,0.0000,0.1000,0.0500,2.979000e+03,6.620000e-02,1.212894e-03
Kminus,0.1000,0.2000,0.1500,8.123000e+03,1.805111e-01,2.002837e-03
