pt_lo,pt_hi,pt_center,K+,K-,K0S,R,R_err
0.0000,0.1000,0.0500,49259,2979,2.751950e+04,9.491088e-01,5.797500e-03
0.1000,0.2000,0.1500,130043,8123,7.351900e+04,9.396619e-01,3.520741e-03
0.2000,0.3000,0.2500,170960,10641,9.675650e+04,9.384434e-01,3.066024e-03
0.3000,0.4000,0.3500,166073,10236,9.466400e+04,9.312357e-01,3.082053e-03
0.4000,0.5000,0.4500,136572,8356,7.782450e+04,9.311207e-01,3.398870e-03
0.5000,0.6000,0.5500,99402,5888,5.658150e+04,9.304278e-01,3.983968e-03
0.6000,0.7000,0.6500,67437,3958,3.797450e+04,9.400387e-01,4.900236e-03
0.7000,0.8000,0.7500,43080,2323,2.412650e+04,9.409363e-01,6.152103e-03
0.8000,0.9000,0.8500,26500,1405,1.510000e+04,9.240066e-01,7.672508e-03
0.9000,1.0000,0.9500,16071,823,9.038500e+03,9.345577e-01,1.000071e-02
1.0000,1.1000,1.0500,9343,472,5.207500e+03,9.423908e-01,1.325727e-02
1.1000,1.2000,1.1500,5428,254,3.068500e+03,9.258595e-01,1.704538e-02
1.2000,1.3000,1.2500,3115,127,1.650000e+03,9.824242e-01,2.429354e-02
1.3000,1.4000,1.3500,1664,84,9.465000e+02,9.234020e-01,3.063057e-02
1.4000,1.5000,1.4500,923,58,5.150000e+02,9.524272e-01,4.248980e-02
1.5000,1.6000,1.5500,484,20,2.860000e+02,8.811189e-01,5.383037e-02
1.6000,1.7000,1.6500,272,20,1.440000e+02,1.013889e+00,8.420089e-02
1.7000,1.8000,1.7500,118,10,7.550000e+01,8.476821e-01,1.018455e-01
1.8000,1.9000,1.8500,56,3,4.750000e+01,6.210526e-01,1.029440e-01
1.9000,2.0000,1.9500,44,1,1.950000e+01,1.153846e+00,2.524347e-01
2.0000,2.1000,2.0500,8,0,1.200000e+01,3.333333e-01,1.360828e-01
2.1000,2.2000,2.1500,8,0,4.000000e+00,1.000000e+00,5.000000e-01
2.2000,2.3000,2.2500,5,1,3.500000e+00,8.571429e-01,4.768703e-01
2.3000,2.4000,2.3500,3,0,2.000000e+00,7.500000e-01,5.728220e-01
2.4000,2.5000,2.4500,4,0,5.000000e-01,4.000000e+00,4.472136e+00
