species,y_lo,y_hi,y_center,counts,value,error
Kplus,-3.0000,-2.9143,-2.9571,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.9143,-2.8286,-2.8714,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.8286,-2.7429,-2.7857,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.7429,-2.6571,-2.7000,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.6571,-2.5714,-2.6143,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.5714,-2.4857,-2.5286,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.4857,-2.4000,-2.4429,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.4000,-2.3143,-2.3571,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.3143,-2.2286,-2.2714,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,-2.2286,-2.1429,-2.1857,1.000000e+00,2.592593e-05,2.592593e-05
Kplus,-2.1429,-2.0571,-2.1000,2.000000e+00,5.185185e-05,3.666480e-05
Kplus,-2.0571,-1.9714,-2.0143,7.000000e+00,1.814815e-04,6.859355e-05
Kplus,-1.9714,-1.8857,-1.9286,2.000000e+01,5.185185e-04,1.159443e-04
Kplus,-1.8857,-1.8000,-1.8429,3.600000e+01,9.333333e-04,1.555556e-04
Kplus,-1.8000,-1.7143,-1.7571,8.800000e+01,2.281481e-03,2.432067e-04
Kplus,-1.7143,-1.6286,-1.6714,2.370000e+02,6.144444e-03,3.991246e-04
Kplus,-1.6286,-1.5429,-1.5857,4.530000e+02,1.174444e-02,5.518021e-04
Kplus,-1.5429,-1.4571,-1.5000,7.960000e+02,2.063704e-02,7.314604e-04
Kplus,-1.4571,-1.3714,-1.4143,1.374000e+03,3.562222e-02,9.610094e-04
Kplus,-1.3714,-1.2857,-1.3286,2.457000e+03,6.370000e-02,1.285100e-03
Kplus,-1.2857,-1.2000,-1.2429,4.012000e+03,1.040148e-01,1.642157e-03
Kplus,-1.2000,-1.1143,-1.1571,6.256000e+03,1.621926e-01,2.050608e-03
Kplus,-1.1143,-1.0286,-1.0714,9.501000e+03,2.463222e-01,2.527080e-03
Kplus,-1.0286,-0.9429,-0.9857,1.316000e+04,3.411852e-01,2.974146e-03
Kplus,-0.9429,-0.8571,-0.9000,1.769400e+04,4.587333e-01,3.448635e-03
Kplus,-0.8571,-0.7714,-0.8143,2.337100e+04,6.059148e-01,3.963446e-03
Kplus,-0.7714,-0.6857,-0.7286,2.949900e+04,7.647889e-01,4.452849e-03
Kplus,-0.6857,-0.6000,-0.6429,3.576700e+04,9.272926e-01,4.903154e-03
Kplus,-0.6000,-0.5143,-0.5571,4.183000e+04,1.084481e+00,5.302470e-03
Kplus,-0.5143,-0.4286,-0.4714,4.702500e+04,1.219167e+00,5.622101e-03
Kplus,-0.4286,-0.3429,-0.3857,5.192900e+04,1.346307e+00,5.907983e-03
Kplus,-0.3429,-0.2571,-0.3000,5.577200e+04,1.445941e+00,6.122692e-03
Kplus,-0.2571,-0.1714,-0.2143,5.874600e+04,1.523044e+00,6.283816e-03
Kplus,-0.1714,-0.0857,-0.1286,6.026900e+04,1.562530e+00,6.364749e-03
Kplus,-0.0857,0.0000,-0.0429,6.092200e+04,1.579459e+00,6.399136e-03
Kplus,0.0000,0.0857,0.0429,5.977500e+04,1.549722e+00,6.338611e-03
Kplus,0.0857,0.1714,0.1286,5.817200e+04,1.508163e+00,6.253041e-03
Kplus,0.1714,0.2571,0.2143,5.565700e+04,1.442959e+00,6.116376e-03
Kplus,0.2571,0.3429,0.3000,5.123900e+04,1.328419e+00,5.868601e-03
Kplus,0.3429,0.4286,0.3857,4.618700e+04,1.197441e+00,5.571782e-03
Kplus,0.4286,0.5143,0.4714,4.073500e+04,1.056093e+00,5.232607e-03
Kplus,0.5143,0.6000,0.5571,3.460500e+04,8.971667e-01,4.822849e-03
Kplus,0.6000,0.6857,0.6429,2.870000e+04,7.440741e-01,4.392130e-03
Kplus,0.6857,0.7714,0.7286,2.274000e+04,5.895556e-01,3.909575e-03
Kplus,0.7714,0.8571,0.8143,1.754600e+04,4.548963e-01,3.434182e-03
Kplus,0.8571,0.9429,0.9000,1.310700e+04,3.398111e-01,2.968151e-03
Kplus,0.9429,1.0286,0.9857,9.124000e+03,2.365481e-01,2.476435e-03
Kplus,1.0286,1.1143,1.0714,6.104000e+03,1.582519e-01,2.025543e-03
Kplus,1.1143,1.2000,1.1571,4.107000e+03,1.064778e-01,1.661486e-03
Kplus,1.2000,1.2857,1.2429,2.681000e+03,6.950741e-02,1.342402e-03
Kplus,1.2857,1.3714,1.3286,1.538000e+03,3.987407e-02,1.016746e-03
Kplus,1.3714,1.4571,1.4143,9.060000e+02,2.348889e-02,7.803661e-04
Kplus,1.4571,1.5429,1.5000,4.990000e+02,1.293704e-02,5.791413e-04
Kplus,1.5429,1.6286,1.5857,2.610000e+02,6.766667e-03,4.188462e-04
Kplus,1.6286,1.7143,1.6714,1.130000e+02,2.929630e-03,2.755964e-04
Kplus,1.7143,1.8000,1.7571,4.600000e+01,1.192593e-03,1.758382e-04
Kplus,1.8000,1.8857,1.8429,1.700000e+01,4.407407e-04,1.068953e-04
Kplus,1.8857,1.9714,1.9286,1.100000e+01,2.851852e-04,8.598657e-05
Kplus,1.9714,2.0571,2.0143,3.000000e+00,7.777778e-05,4.490502e-05
Kplus,2.0571,2.1429,2.1000,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.1429,2.2286,2.1857,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.2286,2.3143,2.2714,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.3143,2.4000,2.3571,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.4000,2.4857,2.4429,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.4857,2.5714,2.5286,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.5714,2.6571,2.6143,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.6571,2.7429,2.7000,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.7429,2.8286,2.7857,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.8286,2.9143,2.8714,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.9143,3.0000,2.9571,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-3.0000,-2.9143,-2.9571,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.9143,-2.8286,-2.8714,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.8286,-2.7429,-2.7857,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.7429,-2.6571,-2.7000,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.6571,-2.5714,-2.6143,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.5714,-2.4857,-2.5286,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.4857,-2.4000,-2.4429,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.4000,-2.3143,-2.3571,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.3143,-2.2286,-2.2714,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.2286,-2.1429,-2.1857,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,-2.1429,-2.0571,-2.1000,1.000000e+00,2.592593e-05,2.592593e-05
Kminus,-2.0571,-1.9714,-2.0143,1.000000e+00,2.592593e-05,2.592593e-05
Kminus,-1.9714,-1.8857,-1.9286,1.000000e+00,2.592593e-05,2.592593e-05
Kminus,-1.8857,-1.8000,-1.8429,4.000000e+00,1.037037e-04,5.185185e-05
Kminus,-1.8000,-1.7143,-1.7571,1.000000e+01,2.592593e-04,8.198498e-05
Kminus,-1.7143,-1.6286,-1.6714,1.200000e+01,3.111111e-04,8.981004e-05
Kminus,-1.6286,-1.5429,-1.5857,1.500000e+01,3.888889e-04,1.004107e-04
Kminus,-1.5429,-1.4571,-1.5000,4.800000e+01,1.244444e-03,1.796201e-04
Kminus,-1.4571,-1.3714,-1.4143,8.200000e+01,2.125926e-03,2.347692e-04
Kminus,-1.3714,-1.2857,-1.3286,1.370000e+02,3.551852e-03,3.034552e-04
Kminus,-1.2857,-1.2000,-1.2429,2.120000e+02,5.496296e-03,3.774872e-04
Kminus,-1.2000,-1.1143,-1.1571,3.820000e+02,9.903704e-03,5.067176e-04
Kminus,-1.1143,-1.0286,-1.0714,5.880000e+02,1.524444e-02,6.286703e-04
Kminus,-1.0286,-0.9429,-0.9857,7.120000e+02,1.845926e-02,6.917900e-04
Kminus,-0.9429,-0.8571,-0.9000,1.048000e+03,2.717037e-02,8.392955e-04
Kminus,-0.8571,-0.7714,-0.8143,1.314000e+03,3.406667e-02,9.397925e-04
Kminus,-0.7714,-0.6857,-0.7286,1.722000e+03,4.464444e-02,1.075848e-03
Kminus,-0.6857,-0.6000,-0.6429,2.068000e+03,5.361481e-02,1.178988e-03
Kminus,-0.6000,-0.5143,-0.5571,2.347000e+03,6.084815e-02,1.256003e-03
Kminus,-0.5143,-0.4286,-0.4714,2.701000e+03,7.002593e-02,1.347400e-03
Kminus,-0.4286,-0.3429,-0.3857,3.014000e+03,7.814074e-02,1.423331e-03
Kminus,-0.3429,-0.2571,-0.3000,3.316000e+03,8.597037e-02,1.492937e-03
Kminus,-0.2571,-0.1714,-0.2143,3.547000e+03,9.195926e-02,1.544062e-03
Kminus,-0.1714,-0.0857,-0.1286,3.719000e+03,9.641852e-02,1.581056e-03
Kminus,-0.0857,0.0000,-0.0429,3.631000e+03,9.413704e-02,1.562239e-03
Kminus,0.0000,0.0857,0.0429,3.618000e+03,9.380000e-02,1.559440e-03
Kminus,0.0857,0.1714,0.1286,3.557000e+03,9.221852e-02,1.546238e-03
Kminus,0.1714,0.2571,0.2143,3.458000e+03,8.965185e-02,1.524568e-03
Kminus,0.2571,0.3429,0.3000,3.123000e+03,8.096667e-02,1.448839e-03
Kminus,0.3429,0.4286,0.3857,2.808000e+03,7.280000e-02,1.373829e-03
Kminus,0.4286,0.5143,0.4714,2.602000e+03,6.745926e-02,1.322476e-03
