pt_lo,pt_hi,pt_center,K+,K-,K0S,R,R_err
0.0000,0.1000,0.0500,49086,3006,2.780900e+04,9.366033e-01,5.710715e-03
0.1000,0.2000,0.1500,130196,7967,7.365450e+04,9.379128e-01,3.512641e-03
0.2000,0.3000,0.2500,168334,10374,9.652850e+04,9.256748e-01,3.038631e-03
0.3000,0.4000,0.3500,165999,10208,9.463050e+04,9.310265e-01,3.082085e-03
0.4000,0.5000,0.4500,136348,8312,7.770500e+04,9.308281e-01,3.400690e-03
0.5000,0.6000,0.5500,99414,5793,5.646300e+04,9.316455e-01,3.992014e-03
0.6000,0.7000,0.6500,66751,3687,3.806700e+04,9.251845e-01,4.836832e-03
0.7000,0.8000,0.7500,43191,2242,2.458200e+04,9.241111e-01,6.013864e-03
0.8000,0.9000,0.8500,26301,1409,1.499400e+04,9.240363e-01,7.699764e-03
0.9000,1.0000,0.9500,15904,855,9.090500e+03,9.217865e-01,9.870948e-03
1.0000,1.1000,1.0500,9194,528,5.319000e+03,9.138936e-01,1.282262e-02
1.1000,1.2000,1.1500,5253,299,3.076500e+03,9.023241e-01,1.670245e-02
1.2000,1.3000,1.2500,2991,153,1.736500e+03,9.052692e-01,2.228510e-02
1.3000,1.4000,1.3500,1678,87,9.380000e+02,9.408316e-01,3.119848e-02
1.4000,1.5000,1.4500,909,49,4.970000e+02,9.637827e-01,4.363581e-02
1.5000,1.6000,1.5500,519,13,2.845000e+02,9.349736e-01,5.638727e-02
1.6000,1.7000,1.6500,238,17,1.425000e+02,8.947368e-01,7.712580e-02
1.7000,1.8000,1.7500,146,7,9.200000e+01,8.315217e-01,9.097749e-02
1.8000,1.9000,1.8500,77,8,4.500000e+01,9.444444e-01,1.428449e-01
1.9000,2.0000,1.9500,43,0,1.850000e+01,1.162162e+00,2.606013e-01
2.0000,2.1000,2.0500,17,1,9.000000e+00,1.000000e+00,3.333333e-01
2.1000,2.2000,2.1500,5,0,8.500000e+00,2.941176e-01,1.496315e-01
2.2000,2.3000,2.2500,7,0,1.500000e+00,2.333333e+00,1.610153e+00
2.3000,2.4000,2.3500,0,0,1.000000e+00,0.000000e+00,0.000000e+00
2.4000,2.5000,2.4500,0,0,0.000000e+00,,
