key,value
n_events,450000
n_events_seen_total,450000
n_particles_seen,207247420
ycut,1.0
y_shift,1.0019659051706946
input_frame,target
collision_mode,fixed-target
analysis_frame,cm
ecm_snn_gev,2.9
beam_kinetic_agev,
collision_system,Xe124+W184
beam_label,"sqrt(s_NN) = 2.9 GeV, fixed-target, unmodified"
k0_mode,strong
k0s_codes,"(311, -311)"
neutral_scale_for_K0S,0.5
centrality_top_fraction,1.0
centrality_activity_ymax,
centrality_selected_events,450000
centrality_total_events_seen,450000
centrality_threshold_activity,184
Kplus_raw_total,970958
Kplus_total,970958.0
Kplus_raw_in_window,922601
Kplus_in_window,922601.0
Kplus_per_event_in_window,2.0502244444444444
Kminus_raw_total,57816
Kminus_total,57816.0
Kminus_raw_in_window,55015
Kminus_in_window,55015.0
Kminus_per_event_in_window,0.12225555555555556
K0S_raw_total,1105475
K0S_total,552737.5
K0S_raw_in_window,1051388
K0S_in_window,525694.0
K0S_per_event_in_window,1.1682088888888889
R_integrated,0.9298337055397247
R_integrated_err,0.0013064147590511465
