y_lo,y_hi,y_center,Kplus_value,Kplus_err,Kminus_value,Kminus_err,K0S_value,K0S_err,KmeanCharged_value,KmeanCharged_err
-2.0000,-1.9000,-1.9500,1.196911e+00,5.157327e-03,6.906667e-02,1.238876e-03,6.832444e-01,2.755287e-03,6.329889e-01,2.652020e-03
-1.9000,-1.8000,-1.8500,1.324178e+00,5.424590e-03,7.488889e-02,1.290038e-03,7.496778e-01,2.886131e-03,6.995333e-01,2.787937e-03
-1.8000,-1.7000,-1.7500,1.396978e+00,5.571710e-03,8.046667e-02,1.337217e-03,8.015778e-01,2.984363e-03,7.387222e-01,2.864965e-03
-1.7000,-1.6000,-1.6500,1.445644e+00,5.667930e-03,8.708889e-02,1.391154e-03,8.215444e-01,3.021303e-03,7.663667e-01,2.918079e-03
-1.6000,-1.5000,-1.5500,1.457089e+00,5.690321e-03,8.971111e-02,1.411942e-03,8.251556e-01,3.027936e-03,7.734000e-01,2.931439e-03
-1.5000,-1.4000,-1.4500,1.427533e+00,5.632314e-03,8.764444e-02,1.395584e-03,8.109444e-01,3.001748e-03,7.575889e-01,2.901319e-03
-1.4000,-1.3000,-1.3500,1.363022e+00,5.503579e-03,8.355556e-02,1.362641e-03,7.757667e-01,2.935921e-03,7.232889e-01,2.834880e-03
-1.3000,-1.2000,-1.2500,1.257556e+00,5.286367e-03,7.702222e-02,1.308283e-03,7.242556e-01,2.836774e-03,6.672889e-01,2.722925e-03
-1.2000,-1.1000,-1.1500,1.120644e+00,4.990312e-03,6.811111e-02,1.230276e-03,6.465444e-01,2.680266e-03,5.943778e-01,2.569863e-03
-1.1000,-1.0000,-1.0500,9.730000e-01,4.649970e-03,5.904444e-02,1.145469e-03,5.571889e-01,2.488170e-03,5.160222e-01,2.394490e-03
-1.0000,-0.9000,-0.9500,8.054000e-01,4.230577e-03,4.900000e-02,1.043498e-03,4.565667e-01,2.252324e-03,4.272000e-01,2.178685e-03
-0.9000,-0.8000,-0.8500,6.324444e-01,3.748909e-03,3.860000e-02,9.261629e-04,3.620111e-01,2.005579e-03,3.355222e-01,1.930809e-03
-0.8000,-0.7000,-0.7500,4.707111e-01,3.234230e-03,2.884444e-02,8.006170e-04,2.710222e-01,1.735326e-03,2.497778e-01,1.665926e-03
-0.7000,-0.6000,-0.6500,3.345333e-01,2.726550e-03,2.066667e-02,6.776867e-04,1.937556e-01,1.467256e-03,1.776000e-01,1.404754e-03
-0.6000,-0.5000,-0.5500,2.297778e-01,2.259684e-03,1.348889e-02,5.474971e-04,1.312556e-01,1.207640e-03,1.216333e-01,1.162532e-03
-0.5000,-0.4000,-0.4500,1.504889e-01,1.828715e-03,9.733333e-03,4.650767e-04,8.463333e-02,9.697270e-04,8.011111e-02,9.434635e-04
-0.4000,-0.3000,-0.3500,8.980000e-02,1.412641e-03,5.422222e-03,3.471222e-04,5.090000e-02,7.520343e-04,4.761111e-02,7.273323e-04
-0.3000,-0.2000,-0.2500,5.235556e-02,1.078637e-03,2.711111e-03,2.454525e-04,2.926667e-02,5.702501e-04,2.753333e-02,5.531057e-04
-0.2000,-0.1000,-0.1500,2.857778e-02,7.969076e-04,1.755556e-03,1.975154e-04,1.568889e-02,4.175176e-04,1.516667e-02,4.105101e-04
