species,pt_lo,pt_hi,pt_center,counts,value,error
Kplus,0.0000,0.1000,0.0500,1.456000e+03,3.235556e-02,8.479460e-04
Kplus,0.1000,0.2000,0.1500,3.607000e+03,8.015556e-02,1.334629e-03
Kplus,0.2000,0.3000,0.2500,3.802000e+03,8.448889e-02,1.370230e-03
Kplus,0.3000,0.4000,0.3500,2.986000e+03,6.635556e-02,1.214318e-03
Kplus,0.4000,0.5000,0.4500,1.844000e+03,4.097778e-02,9.542627e-04
Kplus,0.5000,0.6000,0.5500,1.025000e+03,2.277778e-02,7.114582e-04
Kplus,0.6000,0.7000,0.6500,4.790000e+02,1.064444e-02,4.863571e-04
Kplus,0.7000,0.8000,0.7500,2.470000e+02,5.488889e-03,3.492496e-04
Kplus,0.8000,0.9000,0.8500,7.700000e+01,1.711111e-03,1.949992e-04
Kplus,0.9000,1.0000,0.9500,3.500000e+01,7.777778e-04,1.314684e-04
Kplus,1.0000,1.1000,1.0500,2.200000e+01,4.888889e-04,1.042315e-04
Kplus,1.1000,1.2000,1.1500,8.000000e+00,1.777778e-04,6.285394e-05
Kplus,1.2000,1.3000,1.2500,2.000000e+00,4.444444e-05,3.142697e-05
Kplus,1.3000,1.4000,1.3500,1.000000e+00,2.222222e-05,2.222222e-05
Kplus,1.4000,1.5000,1.4500,1.000000e+00,2.222222e-05,2.222222e-05
Kplus,1.5000,1.6000,1.5500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,1.6000,1.7000,1.6500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,1.7000,1.8000,1.7500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,1.8000,1.9000,1.8500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,1.9000,2.0000,1.9500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.0000,2.1000,2.0500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.1000,2.2000,2.1500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.2000,2.3000,2.2500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.3000,2.4000,2.3500,0.000000e+00,0.000000e+00,0.000000e+00
Kplus,2.4000,2.5000,2.4500,0.000000e+00,0.000000e+00,0.000000e+00
Kminus,0.0000,0.1000,0.0500,8.900000e+01,1.977778e-03,2.096440e-04
Kminus,0.1000,0.2000,0.1500,1.870000e+02,4.155556e-03,3.038843e-04
Kminus,0.2000,0.3000,0.2500,2.340000e+02,5.200000e-03,3.399346e-04
Kminus,0.3000,0.4000,0.3500,1.880000e+02,4.177778e-03,3.046958e-04
Kminus,0.4000,0.5000,0.4500,1.190000e+02,2.644444e-03,2.424158e-04
