pt_lo,pt_hi,pt_center,K+,K-,K0S,R,R_err
0.0000,0.1000,0.0500,1456,89,8.740000e+02,8.838673e-01,3.086370e-02
0.1000,0.2000,0.1500,3607,187,2.032500e+03,9.333333e-01,2.106888e-02
0.2000,0.3000,0.2500,3802,234,2.096500e+03,9.625566e-01,2.122569e-02
0.3000,0.4000,0.3500,2986,188,1.644000e+03,9.653285e-01,2.402090e-02
0.4000,0.5000,0.4500,1844,119,1.059000e+03,9.268178e-01,2.903719e-02
0.5000,0.6000,0.5500,1025,67,5.995000e+02,9.107590e-01,3.809738e-02
0.6000,0.7000,0.6500,479,32,2.495000e+02,1.024048e+00,6.444961e-02
0.7000,0.8000,0.7500,247,11,1.370000e+02,9.416058e-01,8.168453e-02
0.8000,0.9000,0.8500,77,12,5.450000e+01,8.165138e-01,1.166508e-01
0.9000,1.0000,0.9500,35,2,2.350000e+01,7.872340e-01,1.730190e-01
1.0000,1.1000,1.0500,22,0,7.500000e+00,1.466667e+00,4.911061e-01
1.1000,1.2000,1.1500,8,0,7.000000e+00,5.714286e-01,2.532586e-01
1.2000,1.3000,1.2500,2,1,2.500000e+00,6.000000e-01,4.381780e-01
1.3000,1.4000,1.3500,1,0,0.000000e+00,,
1.4000,1.5000,1.4500,1,0,0.000000e+00,,
1.5000,1.6000,1.5500,0,0,0.000000e+00,,
1.6000,1.7000,1.6500,0,0,0.000000e+00,,
1.7000,1.8000,1.7500,0,0,0.000000e+00,,
1.8000,1.9000,1.8500,0,0,0.000000e+00,,
1.9000,2.0000,1.9500,0,0,0.000000e+00,,
2.0000,2.1000,2.0500,0,0,0.000000e+00,,
2.1000,2.2000,2.1500,0,0,0.000000e+00,,
2.2000,2.3000,2.2500,0,0,0.000000e+00,,
2.3000,2.4000,2.3500,0,0,0.000000e+00,,
2.4000,2.5000,2.4500,0,0,0.000000e+00,,
