key,value
n_events,450000
n_particles_seen,203926503
ycut,0.5
y_shift,2.533978166819182
input_frame,target
collision_mode,fixed-target
analysis_frame,cm
ecm_snn_gev,11.9
beam_kinetic_agev,
collision_system,Xe+W
beam_label,"sqrt(s_NN)=2.9 GeV, collider mode"
neutral_scale_for_K0S,0.5
Kplus_raw_total,902588
Kplus_total,902588.0
Kplus_raw_in_window,15592
Kplus_in_window,15592.0
Kplus_per_event_in_window,0.03464888888888889
Kminus_raw_total,53406
Kminus_total,53406.0
Kminus_raw_in_window,942
Kminus_in_window,942.0
Kminus_per_event_in_window,0.0020933333333333333
K0S_raw_total,1029461
K0S_total,514730.5
K0S_raw_in_window,17574
K0S_in_window,8787.0
K0S_per_event_in_window,0.019526666666666668
R_integrated,0.9408216683737339
R_integrated_err,0.010193214437997254
