species,pt_lo,pt_hi,pt_center,counts,value,error
Kplus,0.0000,0.1000,0.0500,1.378430e+05,3.418691e+00,9.208047e-03
Kplus,0.1000,0.2000,0.1500,3.789870e+05,9.399386e+00,1.526818e-02
Kplus,0.2000,0.3000,0.2500,5.338870e+05,1.324111e+01,1.812174e-02
Kplus,0.3000,0.4000,0.3500,5.792670e+05,1.436660e+01,1.887620e-02
Kplus,0.4000,0.5000,0.4500,5.402410e+05,1.339870e+01,1.822926e-02
Kplus,0.5000,0.6000,0.5500,4.550470e+05,1.128578e+01,1.673028e-02
Kplus,0.6000,0.7000,0.6500,3.581950e+05,8.883716e+00,1.484345e-02
Kplus,0.7000,0.8000,0.7500,2.679310e+05,6.645048e+00,1.283768e-02
Kplus,0.8000,0.9000,0.8500,1.973060e+05,4.893453e+00,1.101654e-02
Kplus,0.9000,1.0000,0.9500,1.412640e+05,3.503537e+00,9.321610e-03
Kplus,1.0000,1.1000,1.0500,1.013220e+05,2.512921e+00,7.894544e-03
Kplus,1.1000,1.2000,1.1500,7.138100e+04,1.770345e+00,6.626230e-03
Kplus,1.2000,1.3000,1.2500,5.035500e+04,1.248872e+00,5.565401e-03
Kplus,1.3000,1.4000,1.3500,3.593100e+04,8.911370e-01,4.701212e-03
Kplus,1.4000,1.5000,1.4500,2.492400e+04,6.181486e-01,3.915471e-03
Kplus,1.5000,1.6000,1.5500,1.776800e+04,4.406702e-01,3.305936e-03
Kplus,1.6000,1.7000,1.6500,1.242700e+04,3.082063e-01,2.764766e-03
Kplus,1.7000,1.8000,1.7500,8.624000e+03,2.138868e-01,2.303189e-03
Kplus,1.8000,1.9000,1.8500,6.169000e+03,1.529995e-01,1.947971e-03
Kplus,1.9000,2.0000,1.9500,4.377000e+03,1.085555e-01,1.640829e-03
Kplus,2.0000,2.1000,2.0500,3.013000e+03,7.472644e-02,1.361365e-03
Kplus,2.1000,2.2000,2.1500,2.111000e+03,5.235563e-02,1.139513e-03
Kplus,2.2000,2.3000,2.2500,1.490000e+03,3.695400e-02,9.573446e-04
Kplus,2.3000,2.4000,2.3500,1.025000e+03,2.542137e-02,7.940303e-04
Kplus,2.4000,2.5000,2.4500,7.200000e+02,1.785697e-02,6.654898e-04
Kminus,0.0000,0.1000,0.0500,6.982300e+04,1.731704e+00,6.553517e-03
Kminus,0.1000,0.2000,0.1500,1.986520e+05,4.926836e+00,1.105406e-02
Kminus,0.2000,0.3000,0.2500,2.896580e+05,7.183907e+00,1.334805e-02
Kminus,0.3000,0.4000,0.3500,3.269200e+05,8.108054e+00,1.418064e-02
Kminus,0.4000,0.5000,0.4500,3.101550e+05,7.692260e+00,1.381225e-02
Kminus,0.5000,0.6000,0.5500,2.612370e+05,6.479028e+00,1.267630e-02
Kminus,0.6000,0.7000,0.6500,2.026250e+05,5.025372e+00,1.116405e-02
Kminus,0.7000,0.8000,0.7500,1.503220e+05,3.728187e+00,9.615823e-03
