pt_lo,pt_hi,pt_center,K+,K-,K0S,R,R_err
0.0000,0.1000,0.0500,137843,69823,1.040810e+05,9.976172e-01,3.094122e-03
0.1000,0.2000,0.1500,378987,198652,2.881780e+05,1.002226e+00,1.865924e-03
0.2000,0.3000,0.2500,533887,289658,4.123300e+05,9.986479e-01,1.555740e-03
0.3000,0.4000,0.3500,579267,326920,4.526600e+05,1.000958e+00,1.487393e-03
0.4000,0.5000,0.4500,540241,310155,4.241485e+05,1.002474e+00,1.538318e-03
0.5000,0.6000,0.5500,455047,261237,3.574540e+05,1.001925e+00,1.675006e-03
0.6000,0.7000,0.6500,358195,202625,2.804125e+05,9.999911e-01,1.888419e-03
0.7000,0.8000,0.7500,267931,150322,2.102935e+05,9.944506e-01,2.171577e-03
0.8000,0.9000,0.8500,197306,108989,1.530105e+05,1.000895e+00,2.558179e-03
0.9000,1.0000,0.9500,141264,77915,1.102660e+05,9.938648e-01,2.997614e-03
1.0000,1.1000,1.0500,101322,54633,7.840900e+04,9.944968e-01,3.556480e-03
1.1000,1.2000,1.1500,71381,38497,5.553150e+04,9.893304e-01,4.209586e-03
1.2000,1.3000,1.2500,50355,26857,3.891150e+04,9.921489e-01,5.039591e-03
1.3000,1.4000,1.3500,35931,18728,2.759100e+04,9.905223e-01,5.977463e-03
1.4000,1.5000,1.4500,24924,13049,1.924000e+04,9.868243e-01,7.138092e-03
1.5000,1.6000,1.5500,17768,9201,1.367900e+04,9.857811e-01,8.458898e-03
1.6000,1.7000,1.6500,12427,6279,9.453500e+03,9.893690e-01,1.020294e-02
1.7000,1.8000,1.7500,8624,4320,6.574000e+03,9.844843e-01,1.218985e-02
1.8000,1.9000,1.8500,6169,2966,4.584000e+03,9.964005e-01,1.473003e-02
1.9000,2.0000,1.9500,4377,2133,3.182500e+03,1.022781e+00,1.802879e-02
2.0000,2.1000,2.0500,3013,1408,2.342500e+03,9.436499e-01,1.978608e-02
2.1000,2.2000,2.1500,2111,937,1.568000e+03,9.719388e-01,2.472169e-02
2.2000,2.3000,2.2500,1490,584,1.138500e+03,9.108476e-01,2.764740e-02
2.3000,2.4000,2.3500,1025,429,7.405000e+02,9.817691e-01,3.624546e-02
2.4000,2.5000,2.4500,720,323,5.340000e+02,9.765918e-01,4.251375e-02
