key,value
n_events,403204
n_particles_seen,430067462
ycut,0.5
y_shift,0.0
input_frame,cm
collision_mode,collider
analysis_frame,cm
ecm_snn_gev,9.2
beam_kinetic_agev,
collision_system,Xe124+Xe124
beam_label,"sqrt(s_NN)=9.2 GeV, collider mode"
neutral_scale_for_K0S,0.5
Kplus_raw_total,10991985
Kplus_total,10991985.0
Kplus_raw_in_window,3933414
Kplus_in_window,3933414.0
Kplus_per_event_in_window,9.755394291723297
Kminus_raw_total,5274980
Kminus_total,5274980.0
Kminus_raw_in_window,2177295
Kminus_in_window,2177295.0
Kminus_per_event_in_window,5.399983631114771
K0S_raw_total,16281795
K0S_total,8140897.5
K0S_raw_in_window,6115041
K0S_in_window,3057520.5
K0S_per_event_in_window,7.583060931935199
R_integrated,0.9992915828364847
R_integrated_err,0.0005715898350229147
