species,y_lo,y_hi,y_center,counts,value,error
Kplus,-2.0000,-1.9000,-1.9500,6.970000e+04,1.728653e+00,6.547742e-03
Kplus,-1.9000,-1.8000,-1.8500,8.969700e+04,2.224606e+00,7.427867e-03
Kplus,-1.8000,-1.7000,-1.7500,1.117700e+05,2.772046e+00,8.291590e-03
Kplus,-1.7000,-1.6000,-1.6500,1.349670e+05,3.347363e+00,9.111481e-03
Kplus,-1.6000,-1.5000,-1.5500,1.598730e+05,3.965065e+00,9.916599e-03
Kplus,-1.5000,-1.4000,-1.4500,1.833110e+05,4.546359e+00,1.061865e-02
Kplus,-1.4000,-1.3000,-1.3500,2.077640e+05,5.152826e+00,1.130473e-02
Kplus,-1.3000,-1.2000,-1.2500,2.303850e+05,5.713857e+00,1.190426e-02
Kplus,-1.2000,-1.1000,-1.1500,2.531320e+05,6.278013e+00,1.247811e-02
Kplus,-1.1000,-1.0000,-1.0500,2.762150e+05,6.850502e+00,1.303463e-02
Kplus,-1.0000,-0.9000,-0.9500,2.961240e+05,7.344272e+00,1.349621e-02
Kplus,-0.9000,-0.8000,-0.8500,3.156330e+05,7.828122e+00,1.393370e-02
Kplus,-0.8000,-0.7000,-0.7500,3.326110e+05,8.249199e+00,1.430354e-02
Kplus,-0.7000,-0.6000,-0.6500,3.488950e+05,8.653064e+00,1.464949e-02
Kplus,-0.6000,-0.5000,-0.5500,3.642050e+05,9.032772e+00,1.496746e-02
Kplus,-0.5000,-0.4000,-0.4500,3.761550e+05,9.329149e+00,1.521103e-02
Kplus,-0.4000,-0.3000,-0.3500,3.874110e+05,9.608312e+00,1.543694e-02
Kplus,-0.3000,-0.2000,-0.2500,3.963380e+05,9.829714e+00,1.561378e-02
Kplus,-0.2000,-0.1000,-0.1500,4.010010e+05,9.945363e+00,1.570536e-02
Kplus,-0.1000,0.0000,-0.0500,4.047180e+05,1.003755e+01,1.577798e-02
Kplus,0.0000,0.1000,0.0500,4.043740e+05,1.002902e+01,1.577127e-02
Kplus,0.1000,0.2000,0.1500,4.024210e+05,9.980581e+00,1.573314e-02
Kplus,0.2000,0.3000,0.2500,3.964090e+05,9.831475e+00,1.561518e-02
Kplus,0.3000,0.4000,0.3500,3.869160e+05,9.596036e+00,1.542707e-02
Kplus,0.4000,0.5000,0.4500,3.776710e+05,9.366747e+00,1.524165e-02
Kplus,0.5000,0.6000,0.5500,3.636620e+05,9.019305e+00,1.495630e-02
Kplus,0.6000,0.7000,0.6500,3.490230e+05,8.656239e+00,1.465218e-02
Kplus,0.7000,0.8000,0.7500,3.328490e+05,8.255102e+00,1.430865e-02
Kplus,0.8000,0.9000,0.8500,3.156710e+05,7.829064e+00,1.393454e-02
Kplus,0.9000,1.0000,0.9500,2.954000e+05,7.326316e+00,1.347971e-02
Kplus,1.0000,1.1000,1.0500,2.747400e+05,6.813920e+00,1.299978e-02
Kplus,1.1000,1.2000,1.1500,2.530520e+05,6.276029e+00,1.247613e-02
Kplus,1.2000,1.3000,1.2500,2.313150e+05,5.736922e+00,1.192826e-02
Kplus,1.3000,1.4000,1.3500,2.072520e+05,5.140128e+00,1.129080e-02
Kplus,1.4000,1.5000,1.4500,1.833540e+05,4.547425e+00,1.061990e-02
Kplus,1.5000,1.6000,1.5500,1.590710e+05,3.945174e+00,9.891694e-03
Kplus,1.6000,1.7000,1.6500,1.353210e+05,3.356142e+00,9.123422e-03
Kplus,1.7000,1.8000,1.7500,1.117070e+05,2.770483e+00,8.289252e-03
Kplus,1.8000,1.9000,1.8500,8.987600e+04,2.229045e+00,7.435275e-03
Kplus,1.9000,2.0000,1.9500,6.999200e+04,1.735895e+00,6.561443e-03
Kminus,-2.0000,-1.9000,-1.9500,1.898900e+04,4.709527e-01,3.417639e-03
Kminus,-1.9000,-1.8000,-1.8500,2.584900e+04,6.410899e-01,3.987466e-03
Kminus,-1.8000,-1.7000,-1.7500,3.455900e+04,8.571096e-01,4.610582e-03
Kminus,-1.7000,-1.6000,-1.6500,4.465500e+04,1.107504e+00,5.240952e-03
Kminus,-1.6000,-1.5000,-1.5500,5.622400e+04,1.394431e+00,5.880795e-03
Kminus,-1.5000,-1.4000,-1.4500,6.945300e+04,1.722528e+00,6.536130e-03
Kminus,-1.4000,-1.3000,-1.3500,8.286300e+04,2.055114e+00,7.139298e-03
Kminus,-1.3000,-1.2000,-1.2500,9.734400e+04,2.414262e+00,7.738018e-03
Kminus,-1.2000,-1.1000,-1.1500,1.119460e+05,2.776411e+00,8.298115e-03
Kminus,-1.1000,-1.0000,-1.0500,1.271780e+05,3.154185e+00,8.844660e-03
Kminus,-1.0000,-0.9000,-0.9500,1.414510e+05,3.508175e+00,9.327778e-03
Kminus,-0.9000,-0.8000,-0.8500,1.564740e+05,3.880765e+00,9.810616e-03
Kminus,-0.8000,-0.7000,-0.7500,1.697990e+05,4.211243e+00,1.021981e-02
Kminus,-0.7000,-0.6000,-0.6500,1.832680e+05,4.545292e+00,1.061741e-02
