species,pt_lo,pt_hi,pt_center,counts,value,error
Kplus,0.0000,0.1000,0.0500,3.234500e+05,7.204011e+00,1.266691e-02
Kplus,0.1000,0.2000,0.1500,8.943170e+05,1.991859e+01,2.106265e-02
Kplus,0.2000,0.3000,0.2500,1.260757e+06,2.808010e+01,2.500823e-02
Kplus,0.3000,0.4000,0.3500,1.372226e+06,3.056278e+01,2.609036e-02
Kplus,0.4000,0.5000,0.4500,1.278926e+06,2.848476e+01,2.518778e-02
Kplus,0.5000,0.6000,0.5500,1.072608e+06,2.388956e+01,2.306682e-02
Kplus,0.6000,0.7000,0.6500,8.391590e+05,1.869009e+01,2.040278e-02
Kplus,0.7000,0.8000,0.7500,6.297900e+05,1.402694e+01,1.767523e-02
Kplus,0.8000,0.9000,0.8500,4.561340e+05,1.015920e+01,1.504227e-02
Kplus,0.9000,1.0000,0.9500,3.269980e+05,7.283033e+00,1.273620e-02
Kplus,1.0000,1.1000,1.0500,2.326460e+05,5.181587e+00,1.074274e-02
Kplus,1.1000,1.2000,1.1500,1.629980e+05,3.630358e+00,8.992042e-03
Kplus,1.2000,1.3000,1.2500,1.150600e+05,2.562663e+00,7.554912e-03
Kplus,1.3000,1.4000,1.3500,8.036600e+04,1.789944e+00,6.313983e-03
Kplus,1.4000,1.5000,1.4500,5.614000e+04,1.250373e+00,5.277198e-03
Kplus,1.5000,1.6000,1.5500,3.915000e+04,8.719648e-01,4.406899e-03
Kplus,1.6000,1.7000,1.6500,2.738000e+04,6.098186e-01,3.685394e-03
Kplus,1.7000,1.8000,1.7500,1.883100e+04,4.194117e-01,3.056356e-03
Kplus,1.8000,1.9000,1.8500,1.329500e+04,2.961117e-01,2.568097e-03
Kplus,1.9000,2.0000,1.9500,9.303000e+03,2.072002e-01,2.148220e-03
Kplus,2.0000,2.1000,2.0500,6.254000e+03,1.392916e-01,1.761352e-03
Kplus,2.1000,2.2000,2.1500,4.592000e+03,1.022749e-01,1.509274e-03
Kplus,2.2000,2.3000,2.2500,3.067000e+03,6.830948e-02,1.233457e-03
Kplus,2.3000,2.4000,2.3500,2.123000e+03,4.728433e-02,1.026224e-03
Kplus,2.4000,2.5000,2.4500,1.523000e+03,3.392088e-02,8.691949e-04
Kminus,0.0000,0.1000,0.0500,1.602280e+05,3.568664e+00,8.915309e-03
Kminus,0.1000,0.2000,0.1500,4.558700e+05,1.015332e+01,1.503792e-02
Kminus,0.2000,0.3000,0.2500,6.711820e+05,1.494884e+01,1.824683e-02
Kminus,0.3000,0.4000,0.3500,7.569150e+05,1.685832e+01,1.937719e-02
Kminus,0.4000,0.5000,0.4500,7.139520e+05,1.590143e+01,1.881922e-02
Kminus,0.5000,0.6000,0.5500,5.965780e+05,1.328723e+01,1.720287e-02
Kminus,0.6000,0.7000,0.6500,4.585050e+05,1.021201e+01,1.508132e-02
Kminus,0.7000,0.8000,0.7500,3.389460e+05,7.549144e+00,1.296679e-02
Kminus,0.8000,0.9000,0.8500,2.424680e+05,5.400347e+00,1.096717e-02
Kminus,0.9000,1.0000,0.9500,1.712030e+05,3.813103e+00,9.215585e-03
Kminus,1.0000,1.1000,1.0500,1.198410e+05,2.669148e+00,7.710276e-03
Kminus,1.1000,1.2000,1.1500,8.418400e+04,1.874981e+00,6.462224e-03
Kminus,1.2000,1.3000,1.2500,5.810800e+04,1.294205e+00,5.368898e-03
Kminus,1.3000,1.4000,1.3500,4.033900e+04,8.984467e-01,4.473318e-03
Kminus,1.4000,1.5000,1.4500,2.817500e+04,6.275251e-01,3.738515e-03
Kminus,1.5000,1.6000,1.5500,1.920700e+04,4.277862e-01,3.086718e-03
Kminus,1.6000,1.7000,1.6500,1.341300e+04,2.987398e-01,2.579468e-03
Kminus,1.7000,1.8000,1.7500,9.065000e+03,2.018994e-01,2.120563e-03
Kminus,1.8000,1.9000,1.8500,6.228000e+03,1.387126e-01,1.757687e-03
Kminus,1.9000,2.0000,1.9500,4.255000e+03,9.476910e-02,1.452837e-03
Kminus,2.0000,2.1000,2.0500,2.887000e+03,6.430045e-02,1.196715e-03
Kminus,2.1000,2.2000,2.1500,1.978000e+03,4.405483e-02,9.905590e-04
Kminus,2.2000,2.3000,2.2500,1.368000e+03,3.046866e-02,8.237781e-04
Kminus,2.3000,2.4000,2.3500,9.050000e+02,2.015653e-02,6.700257e-04
Kminus,2.4000,2.5000,2.4500,6.540000e+02,1.456616e-02,5.695818e-04
K0S,0.0000,0.1000,0.0500,2.244040e+05,4.998018e+00,7.460493e-03
K0S,0.1000,0.2000,0.1500,6.180665e+05,1.376583e+01,1.238140e-02
K0S,0.2000,0.3000,0.2500,8.694730e+05,1.936526e+01,1.468521e-02
K0S,0.3000,0.4000,0.3500,9.431955e+05,2.100724e+01,1.529513e-02
K0S,0.4000,0.5000,0.4500,8.750245e+05,1.948890e+01,1.473202e-02
K0S,0.5000,0.6000,0.5500,7.306715e+05,1.627381e+01,1.346211e-02
K0S,0.6000,0.7000,0.6500,5.717320e+05,1.273385e+01,1.190826e-02
K0S,0.7000,0.8000,0.7500,4.267420e+05,9.504573e+00,1.028809e-02
K0S,0.8000,0.9000,0.8500,3.110490e+05,6.927811e+00,8.783480e-03
K0S,0.9000,1.0000,0.9500,2.228160e+05,4.962649e+00,7.434048e-03
K0S,1.0000,1.1000,1.0500,1.578960e+05,3.516724e+00,6.258032e-03
K0S,1.1000,1.2000,1.1500,1.115700e+05,2.484933e+00,5.260487e-03
K0S,1.2000,1.3000,1.2500,7.845650e+04,1.747415e+00,4.411301e-03
K0S,1.3000,1.4000,1.3500,5.454250e+04,1.214793e+00,3.678068e-03
K0S,1.4000,1.5000,1.4500,3.806400e+04,8.477770e-01,3.072624e-03
K0S,1.5000,1.6000,1.5500,2.646950e+04,5.895395e-01,2.562271e-03
K0S,1.6000,1.7000,1.6500,1.831400e+04,4.078969e-01,2.131296e-03
K0S,1.7000,1.8000,1.7500,1.275100e+04,2.839955e-01,1.778379e-03
K0S,1.8000,1.9000,1.8500,8.751500e+03,1.949170e-01,1.473308e-03
K0S,1.9000,2.0000,1.9500,6.053000e+03,1.348149e-01,1.225286e-03
K0S,2.0000,2.1000,2.0500,4.139000e+03,9.218550e-02,1.013211e-03
K0S,2.1000,2.2000,2.1500,2.941500e+03,6.551429e-02,8.541549e-04
K0S,2.2000,2.3000,2.2500,2.090000e+03,4.654934e-02,7.199881e-04
K0S,2.3000,2.4000,2.3500,1.457500e+03,3.246204e-02,6.012519e-04
K0S,2.4000,2.5000,2.4500,9.805000e+02,2.183810e-02,4.931466e-04
