pt_lo,pt_hi,pt_center,K+,K-,K0S,R,R_err
0.0000,0.1000,0.0500,323450,160228,2.244040e+05,1.077695e+00,2.233616e-03
0.1000,0.2000,0.1500,894317,455870,6.180665e+05,1.092267e+00,1.359691e-03
0.2000,0.3000,0.2500,1260757,671182,8.694730e+05,1.110983e+00,1.161323e-03
0.3000,0.4000,0.3500,1372226,756915,9.431955e+05,1.128685e+00,1.128564e-03
0.4000,0.5000,0.4500,1278926,713952,8.750245e+05,1.138756e+00,1.179698e-03
0.5000,0.6000,0.5500,1072608,596578,7.306715e+05,1.142227e+00,1.293996e-03
0.6000,0.7000,0.6500,839159,458505,5.717320e+05,1.134853e+00,1.455602e-03
0.7000,0.8000,0.7500,629790,338946,4.267420e+05,1.135037e+00,1.685039e-03
0.8000,0.9000,0.8500,456134,242468,3.110490e+05,1.122977e+00,1.957622e-03
0.9000,1.0000,0.9500,326998,171203,2.228160e+05,1.117965e+00,2.305076e-03
1.0000,1.1000,1.0500,232646,119841,1.578960e+05,1.116200e+00,2.734946e-03
1.1000,1.2000,1.1500,162998,84184,1.115700e+05,1.107744e+00,3.234744e-03
1.2000,1.3000,1.2500,115060,58108,7.845650e+04,1.103592e+00,3.846411e-03
1.3000,1.4000,1.3500,80366,40339,5.454250e+04,1.106522e+00,4.622540e-03
1.4000,1.5000,1.4500,56140,28175,3.806400e+04,1.107543e+00,5.537276e-03
1.5000,1.6000,1.5500,39150,19207,2.646950e+04,1.102344e+00,6.616414e-03
1.6000,1.7000,1.6500,27380,13413,1.831400e+04,1.113711e+00,8.016825e-03
1.7000,1.8000,1.7500,18831,9065,1.275100e+04,1.093875e+00,9.477027e-03
1.8000,1.9000,1.8500,13295,6228,8.751500e+03,1.115409e+00,1.161069e-02
1.9000,2.0000,1.9500,9303,4255,6.053000e+03,1.119941e+00,1.400422e-02
2.0000,2.1000,2.0500,6254,2887,4.139000e+03,1.104252e+00,1.675407e-02
2.1000,2.2000,2.1500,4592,1978,2.941500e+03,1.116777e+00,2.004571e-02
2.2000,2.3000,2.2500,3067,1368,2.090000e+03,1.061005e+00,2.287231e-02
2.3000,2.4000,2.3500,2123,905,1.457500e+03,1.038765e+00,2.695398e-02
2.4000,2.5000,2.4500,1523,654,9.805000e+02,1.110148e+00,3.456273e-02
