y_lo,y_hi,y_center,K+,K-,K0S,R_K,R_K_err
-3.0000,-2.9143,-2.9571,307,86,1.760000e+02,1.116477e+00,8.193329e-02
-2.9143,-2.8286,-2.8714,638,172,3.525000e+02,1.148936e+00,5.917866e-02
-2.8286,-2.7429,-2.7857,1303,307,6.740000e+02,1.194362e+00,4.409377e-02
-2.7429,-2.6571,-2.7000,2541,525,1.235500e+03,1.240793e+00,3.354395e-02
-2.6571,-2.5714,-2.6143,4609,903,2.217000e+03,1.243121e+00,2.507756e-02
-2.5714,-2.4857,-2.5286,7604,1575,3.685500e+03,1.245286e+00,1.947633e-02
-2.4857,-2.4000,-2.4429,12392,2497,5.821000e+03,1.278904e+00,1.582225e-02
-2.4000,-2.3143,-2.3571,18673,3943,8.852500e+03,1.277379e+00,1.281828e-02
-2.3143,-2.2286,-2.2714,26990,5892,1.294300e+04,1.270262e+00,1.055485e-02
-2.2286,-2.1429,-2.1857,37366,8449,1.813600e+04,1.263096e+00,8.877359e-03
-2.1429,-2.0571,-2.1000,50307,12065,2.497450e+04,1.248714e+00,7.497822e-03
-2.0571,-1.9714,-2.0143,65287,16689,3.330500e+04,1.230686e+00,6.419825e-03
-1.9714,-1.8857,-1.9286,83222,22586,4.300300e+04,1.230240e+00,5.648151e-03
-1.8857,-1.8000,-1.8429,102639,29243,5.431600e+04,1.214025e+00,4.974235e-03
-1.8000,-1.7143,-1.7571,123314,37434,6.674050e+04,1.204276e+00,4.459502e-03
-1.7143,-1.6286,-1.6714,145460,47173,7.983450e+04,1.206452e+00,4.083119e-03
-1.6286,-1.5429,-1.5857,167971,57238,9.486750e+04,1.186966e+00,3.698848e-03
-1.5429,-1.4571,-1.5000,190529,68908,1.101935e+05,1.177188e+00,3.410185e-03
-1.4571,-1.3714,-1.4143,212460,81720,1.261105e+05,1.166358e+00,3.165122e-03
-1.3714,-1.2857,-1.3286,234973,94730,1.423080e+05,1.158413e+00,2.963940e-03
-1.2857,-1.2000,-1.2429,255520,107902,1.586200e+05,1.145574e+00,2.783489e-03
-1.2000,-1.1143,-1.1571,275902,122270,1.740285e+05,1.143985e+00,2.654580e-03
-1.1143,-1.0286,-1.0714,295867,136258,1.906740e+05,1.133151e+00,2.517642e-03
-1.0286,-0.9429,-0.9857,315465,149770,2.050775e+05,1.134291e+00,2.429489e-03
-0.9429,-0.8571,-0.9000,333074,164073,2.204655e+05,1.127494e+00,2.332416e-03
-0.8571,-0.7714,-0.8143,350220,176039,2.338460e+05,1.125226e+00,2.261218e-03
-0.7714,-0.6857,-0.7286,366821,190138,2.476565e+05,1.124459e+00,2.196120e-03
-0.6857,-0.6000,-0.6429,382963,201477,2.603815e+05,1.122276e+00,2.138606e-03
-0.6000,-0.5143,-0.5571,395137,214325,2.719545e+05,1.120522e+00,2.090107e-03
-0.5143,-0.4286,-0.4714,408446,222939,2.817245e+05,1.120572e+00,2.053615e-03
-0.4286,-0.3429,-0.3857,418848,232319,2.902780e+05,1.121627e+00,2.024587e-03
-0.3429,-0.2571,-0.3000,428998,238328,2.980020e+05,1.119667e+00,1.995509e-03
-0.2571,-0.1714,-0.2143,435387,244414,3.025560e+05,1.123430e+00,1.985519e-03
-0.1714,-0.0857,-0.1286,440245,247707,3.060940e+05,1.123759e+00,1.974453e-03
-0.0857,0.0000,-0.0429,442306,248448,3.088075e+05,1.118422e+00,1.958620e-03
0.0000,0.0857,0.0429,440718,249047,3.084505e+05,1.118113e+00,1.959339e-03
0.0857,0.1714,0.1286,439527,246669,3.072360e+05,1.116725e+00,1.961346e-03
0.1714,0.2571,0.2143,435266,243227,3.031345e+05,1.119129e+00,1.977816e-03
0.2571,0.3429,0.3000,428147,237890,2.971695e+05,1.120635e+00,1.999622e-03
0.3429,0.4286,0.3857,420256,231344,2.905140e+05,1.121461e+00,2.023536e-03
0.4286,0.5143,0.4714,409221,222685,2.813530e+05,1.122977e+00,2.058341e-03
0.5143,0.6000,0.5571,395849,211762,2.712790e+05,1.119901e+00,2.091820e-03
0.6000,0.6857,0.6429,382048,201827,2.606655e+05,1.119970e+00,2.134083e-03
0.6857,0.7714,0.7286,367166,189785,2.477615e+05,1.123966e+00,2.194919e-03
0.7714,0.8571,0.8143,351112,176949,2.343660e+05,1.126573e+00,2.260777e-03
0.8571,0.9429,0.9000,333106,163435,2.197670e+05,1.129699e+00,2.339614e-03
0.9429,1.0286,0.9857,316256,150033,2.049035e+05,1.137826e+00,2.436320e-03
