key,value
n_events,448986
n_events_seen_total,448986
n_particles_seen,500089697
ycut,1.0
y_shift,0.0
input_frame,cm
collision_mode,collider
analysis_frame,cm
ecm_snn_gev,2.9
beam_kinetic_agev,
collision_system,Xe124+Xe124
beam_label,"sqrt(s_NN) = 9.2 GeV, collider, modified"
k0_mode,strong
k0s_codes,"(311, -311)"
neutral_scale_for_K0S,0.5
centrality_top_fraction,1.0
centrality_activity_ymax,
centrality_selected_events,448986
centrality_total_events_seen,448986
centrality_threshold_activity,502
Kplus_raw_total,14067205
Kplus_total,14067205.0
Kplus_raw_in_window,9230402
Kplus_in_window,9230402.0
Kplus_per_event_in_window,20.558329212937597
Kminus_raw_total,6769645
Kminus_total,6769645.0
Kminus_raw_in_window,4957758
Kminus_in_window,4957758.0
Kminus_per_event_in_window,11.042121580628349
K0S_raw_total,18312195
K0S_total,9156097.5
K0S_raw_in_window,12639574
K0S_in_window,6319787.0
K0S_per_event_in_window,14.075688328812035
R_integrated,1.1225188443851035
R_integrated_err,0.000434166568620046
