species,y_lo,y_hi,y_center,counts,value,error
Kplus,-3.0000,-2.9143,-2.9571,3.070000e+02,7.977235e-03,4.552848e-04
Kplus,-2.9143,-2.8286,-2.8714,6.380000e+02,1.657810e-02,6.563331e-04
Kplus,-2.8286,-2.7429,-2.7857,1.303000e+03,3.385777e-02,9.379641e-04
Kplus,-2.7429,-2.6571,-2.7000,2.541000e+03,6.602656e-02,1.309834e-03
Kplus,-2.6571,-2.5714,-2.6143,4.609000e+03,1.197625e-01,1.764076e-03
Kplus,-2.5714,-2.4857,-2.5286,7.604000e+03,1.975860e-01,2.265870e-03
Kplus,-2.4857,-2.4000,-2.4429,1.239200e+04,3.219996e-01,2.892575e-03
Kplus,-2.4000,-2.3143,-2.3571,1.867300e+04,4.852082e-01,3.550758e-03
Kplus,-2.3143,-2.2286,-2.2714,2.699000e+04,7.013211e-01,4.268895e-03
Kplus,-2.2286,-2.1429,-2.1857,3.736600e+04,9.709360e-01,5.022874e-03
Kplus,-2.1429,-2.0571,-2.1000,5.030700e+04,1.307201e+00,5.828116e-03
Kplus,-2.0571,-1.9714,-2.0143,6.528700e+04,1.696449e+00,6.639377e-03
Kplus,-1.9714,-1.8857,-1.9286,8.322200e+04,2.162480e+00,7.496060e-03
Kplus,-1.8857,-1.8000,-1.8429,1.026390e+05,2.667021e+00,8.324731e-03
Kplus,-1.8000,-1.7143,-1.7571,1.233140e+05,3.204250e+00,9.124733e-03
Kplus,-1.7143,-1.6286,-1.6714,1.454600e+05,3.779702e+00,9.910277e-03
Kplus,-1.6286,-1.5429,-1.5857,1.679710e+05,4.364639e+00,1.064955e-02
Kplus,-1.5429,-1.4571,-1.5000,1.905290e+05,4.950797e+00,1.134213e-02
Kplus,-1.4571,-1.3714,-1.4143,2.124600e+05,5.520662e+00,1.197712e-02
Kplus,-1.3714,-1.2857,-1.3286,2.349730e+05,6.105651e+00,1.259572e-02
Kplus,-1.2857,-1.2000,-1.2429,2.555200e+05,6.639554e+00,1.313489e-02
Kplus,-1.2000,-1.1143,-1.1571,2.759020e+05,7.169169e+00,1.364870e-02
Kplus,-1.1143,-1.0286,-1.0714,2.958670e+05,7.687949e+00,1.413391e-02
Kplus,-1.0286,-0.9429,-0.9857,3.154650e+05,8.197193e+00,1.459451e-02
Kplus,-0.9429,-0.8571,-0.9000,3.330740e+05,8.654754e+00,1.499631e-02
Kplus,-0.8571,-0.7714,-0.8143,3.502200e+05,9.100284e+00,1.537745e-02
Kplus,-0.7714,-0.6857,-0.7286,3.668210e+05,9.531652e+00,1.573769e-02
Kplus,-0.6857,-0.6000,-0.6429,3.829630e+05,9.951094e+00,1.608024e-02
Kplus,-0.6000,-0.5143,-0.5571,3.951370e+05,1.026743e+01,1.633382e-02
Kplus,-0.5143,-0.4286,-0.4714,4.084460e+05,1.061326e+01,1.660662e-02
Kplus,-0.4286,-0.3429,-0.3857,4.188480e+05,1.088355e+01,1.681676e-02
Kplus,-0.3429,-0.2571,-0.3000,4.289980e+05,1.114729e+01,1.701930e-02
Kplus,-0.2571,-0.1714,-0.2143,4.353870e+05,1.131330e+01,1.714556e-02
Kplus,-0.1714,-0.0857,-0.1286,4.402450e+05,1.143954e+01,1.724095e-02
Kplus,-0.0857,0.0000,-0.0429,4.423060e+05,1.149309e+01,1.728126e-02
Kplus,0.0000,0.0857,0.0429,4.407180e+05,1.145183e+01,1.725021e-02
Kplus,0.0857,0.1714,0.1286,4.395270e+05,1.142088e+01,1.722689e-02
Kplus,0.1714,0.2571,0.2143,4.352660e+05,1.131016e+01,1.714318e-02
Kplus,0.2571,0.3429,0.3000,4.281470e+05,1.112518e+01,1.700241e-02
Kplus,0.3429,0.4286,0.3857,4.202560e+05,1.092013e+01,1.684500e-02
Kplus,0.4286,0.5143,0.4714,4.092210e+05,1.063339e+01,1.662237e-02
Kplus,0.5143,0.6000,0.5571,3.958490e+05,1.028593e+01,1.634853e-02
Kplus,0.6000,0.6857,0.6429,3.820480e+05,9.927318e+00,1.606101e-02
Kplus,0.6857,0.7714,0.7286,3.671660e+05,9.540617e+00,1.574509e-02
Kplus,0.7714,0.8571,0.8143,3.511120e+05,9.123462e+00,1.539703e-02
