y_lo,y_hi,y_center,KmeanCharged_value,KmeanCharged_err,TwoK0S_value,TwoK0S_err
-3.0000,-2.9143,-2.9571,5.105950e-03,2.575611e-04,4.573268e-03,2.437560e-04
-2.9143,-2.8286,-2.8714,1.052371e-02,3.697656e-04,9.159528e-03,3.449678e-04
-2.8286,-2.7429,-2.7857,2.091750e-02,5.213111e-04,1.751354e-02,4.770116e-04
-2.7429,-2.6571,-2.7000,3.983420e-02,7.193994e-04,3.210382e-02,6.458332e-04
-2.6571,-2.5714,-2.6143,7.161322e-02,9.645808e-04,5.760759e-02,8.651309e-04
-2.5714,-2.4857,-2.5286,1.192558e-01,1.244749e-03,9.576579e-02,1.115443e-03
-2.4857,-2.4000,-2.4429,1.934414e-01,1.585319e-03,1.512556e-01,1.401838e-03
-2.4000,-2.3143,-2.3571,2.938325e-01,1.953853e-03,2.300276e-01,1.728749e-03
-2.3143,-2.2286,-2.2714,4.272108e-01,2.355934e-03,3.363171e-01,2.090338e-03
-2.2286,-2.1429,-2.1857,5.952394e-01,2.780916e-03,4.712545e-01,2.474399e-03
-2.1429,-2.0571,-2.1000,8.103519e-01,3.244732e-03,6.489493e-01,2.903671e-03
-2.0571,-1.9714,-2.0143,1.065052e+00,3.719867e-03,8.654130e-01,3.353156e-03
-1.9714,-1.8857,-1.9286,1.374683e+00,4.226134e-03,1.117410e+00,3.810205e-03
-1.8857,-1.8000,-1.8429,1.713442e+00,4.718204e-03,1.411373e+00,4.282160e-03
-1.8000,-1.7143,-1.7571,2.088476e+00,5.209029e-03,1.734217e+00,4.746721e-03
-1.7143,-1.6286,-1.6714,2.502734e+00,5.702291e-03,2.074458e+00,5.191517e-03
-1.6286,-1.5429,-1.5857,2.925969e+00,6.165622e-03,2.465082e+00,5.659235e-03
-1.5429,-1.4571,-1.5000,3.370667e+00,6.617591e-03,2.863321e+00,6.099258e-03
-1.4571,-1.3714,-1.4143,3.822057e+00,7.046778e-03,3.276915e+00,6.524911e-03
-1.3714,-1.2857,-1.3286,4.283580e+00,7.460114e-03,3.697799e+00,6.931283e-03
-1.2857,-1.2000,-1.2429,4.721665e+00,7.832305e-03,4.121658e+00,7.317757e-03
-1.2000,-1.1143,-1.1571,5.173146e+00,8.198216e-03,4.522040e+00,7.664947e-03
-1.1143,-1.0286,-1.0714,5.614271e+00,8.540606e-03,4.954564e+00,8.023147e-03
-1.0286,-0.9429,-0.9857,6.044444e+00,8.861764e-03,5.328832e+00,8.320664e-03
-0.9429,-0.8571,-0.9000,6.459053e+00,9.160652e-03,5.728681e+00,8.627189e-03
-0.8571,-0.7714,-0.8143,6.837283e+00,9.425052e-03,6.076366e+00,8.885134e-03
-0.7714,-0.6857,-0.7286,7.236144e+00,9.696067e-03,6.435225e+00,9.143740e-03
-0.6857,-0.6000,-0.6429,7.593184e+00,9.932394e-03,6.765877e+00,9.375708e-03
-0.6000,-0.5143,-0.5571,7.918276e+00,1.014279e-02,7.066596e+00,9.581800e-03
-0.5143,-0.4286,-0.4714,8.203105e+00,1.032360e-02,7.320464e+00,9.752395e-03
-0.4286,-0.3429,-0.3857,8.460117e+00,1.048408e-02,7.542722e+00,9.899336e-03
-0.3429,-0.2571,-0.3000,8.670059e+00,1.061336e-02,7.743426e+00,1.003018e-02
-0.2571,-0.1714,-0.2143,8.832137e+00,1.071211e-02,7.861760e+00,1.010653e-02
-0.1714,-0.0857,-0.1286,8.938037e+00,1.077614e-02,7.953693e+00,1.016545e-02
-0.0857,0.0000,-0.0429,8.974441e+00,1.079806e-02,8.024202e+00,1.021040e-02
0.0000,0.0857,0.0429,8.961592e+00,1.079033e-02,8.014925e+00,1.020450e-02
0.0857,0.1714,0.1286,8.915222e+00,1.076237e-02,7.983367e+00,1.018439e-02
0.1714,0.2571,0.2143,8.815143e+00,1.070180e-02,7.876792e+00,1.011618e-02
0.2571,0.3429,0.3000,8.653312e+00,1.060311e-02,7.721794e+00,1.001616e-02
0.3429,0.4286,0.3857,8.465743e+00,1.048756e-02,7.548855e+00,9.903359e-03
0.4286,0.5143,0.4714,8.209874e+00,1.032786e-02,7.310811e+00,9.745963e-03
0.5143,0.6000,0.5571,7.894227e+00,1.012737e-02,7.049043e+00,9.569893e-03
0.6000,0.6857,0.6429,7.585843e+00,9.927592e-03,6.773257e+00,9.380819e-03
0.6857,0.7714,0.7286,7.236040e+00,9.695997e-03,6.437953e+00,9.145678e-03
0.7714,0.8571,0.8143,6.860695e+00,9.441175e-03,6.089878e+00,8.895007e-03
0.8571,0.9429,0.9000,6.451179e+00,9.155068e-03,5.710531e+00,8.613511e-03
0.9429,1.0286,0.9857,6.058138e+00,8.871797e-03,5.324310e+00,8.317134e-03
1.0286,1.1143,1.0714,5.604228e+00,8.532964e-03,4.913314e+00,7.989678e-03
1.1143,1.2000,1.1571,5.165155e+00,8.191882e-03,4.521065e+00,7.664122e-03
1.2000,1.2857,1.2429,4.739868e+00,7.847388e-03,4.107964e+00,7.305590e-03
1.2857,1.3714,1.3286,4.268951e+00,7.447364e-03,3.690173e+00,6.924132e-03
1.3714,1.4571,1.4143,3.816873e+00,7.041997e-03,3.265885e+00,6.513920e-03
1.4571,1.5429,1.5000,3.362469e+00,6.609539e-03,2.859098e+00,6.094759e-03
1.5429,1.6286,1.5857,2.916186e+00,6.155305e-03,2.453753e+00,5.646215e-03
1.6286,1.7143,1.6714,2.490950e+00,5.688850e-03,2.081746e+00,5.200629e-03
1.7143,1.8000,1.7571,2.084774e+00,5.204409e-03,1.724863e+00,4.733902e-03
1.8000,1.8857,1.8429,1.711611e+00,4.715682e-03,1.404136e+00,4.271168e-03
1.8857,1.9714,1.9286,1.368602e+00,4.216777e-03,1.113123e+00,3.802888e-03
1.9714,2.0571,2.0143,1.072210e+00,3.732347e-03,8.654780e-01,3.353281e-03
2.0571,2.1429,2.1000,8.124697e-01,3.248969e-03,6.555364e-01,2.918370e-03
2.1429,2.2286,2.1857,5.955512e-01,2.781644e-03,4.759317e-01,2.486648e-03
2.2286,2.3143,2.2714,4.265222e-01,2.354034e-03,3.357974e-01,2.088722e-03
2.3143,2.4000,2.3571,2.966128e-01,1.963075e-03,2.294689e-01,1.726648e-03
2.4000,2.4857,2.4429,1.942989e-01,1.588829e-03,1.498915e-01,1.395502e-03
2.4857,2.5714,2.5286,1.192947e-01,1.244952e-03,9.436263e-02,1.107241e-03
