species,pt_lo,pt_hi,pt_center,counts,value,error
Kplus,0.0000,0.1000,0.0500,3.095510e+05,6.881618e+00,1.236871e-02
Kplus,0.1000,0.2000,0.1500,8.504400e+05,1.890610e+01,2.050124e-02
Kplus,0.2000,0.3000,0.2500,1.190737e+06,2.647123e+01,2.425863e-02
Kplus,0.3000,0.4000,0.3500,1.291042e+06,2.870111e+01,2.525972e-02
Kplus,0.4000,0.5000,0.4500,1.196901e+06,2.660827e+01,2.432134e-02
Kplus,0.5000,0.6000,0.5500,1.002826e+06,2.229379e+01,2.226236e-02
Kplus,0.6000,0.7000,0.6500,7.835440e+05,1.741894e+01,1.967841e-02
Kplus,0.7000,0.8000,0.7500,5.872130e+05,1.305431e+01,1.703555e-02
Kplus,0.8000,0.9000,0.8500,4.266790e+05,9.485487e+00,1.452142e-02
Kplus,0.9000,1.0000,0.9500,3.053670e+05,6.788604e+00,1.228484e-02
Kplus,1.0000,1.1000,1.0500,2.162330e+05,4.807069e+00,1.033759e-02
Kplus,1.1000,1.2000,1.1500,1.525620e+05,3.391601e+00,8.683234e-03
Kplus,1.2000,1.3000,1.2500,1.068800e+05,2.376046e+00,7.267860e-03
Kplus,1.3000,1.4000,1.3500,7.521600e+04,1.672124e+00,6.096962e-03
Kplus,1.4000,1.5000,1.4500,5.191100e+04,1.154032e+00,5.065100e-03
Kplus,1.5000,1.6000,1.5500,3.650800e+04,8.116081e-01,4.247686e-03
Kplus,1.6000,1.7000,1.6500,2.550600e+04,5.670230e-01,3.550418e-03
Kplus,1.7000,1.8000,1.7500,1.774900e+04,3.945774e-01,2.961729e-03
Kplus,1.8000,1.9000,1.8500,1.238500e+04,2.753305e-01,2.474038e-03
Kplus,1.9000,2.0000,1.9500,8.390000e+03,1.865178e-01,2.036289e-03
Kplus,2.0000,2.1000,2.0500,5.936000e+03,1.319630e-01,1.712795e-03
Kplus,2.1000,2.2000,2.1500,4.102000e+03,9.119142e-02,1.423824e-03
Kplus,2.2000,2.3000,2.2500,2.929000e+03,6.511450e-02,1.203145e-03
Kplus,2.3000,2.4000,2.3500,1.962000e+03,4.361716e-02,9.847089e-04
Kplus,2.4000,2.5000,2.4500,1.393000e+03,3.096774e-02,8.297245e-04
Kminus,0.0000,0.1000,0.0500,1.512220e+05,3.361811e+00,8.645017e-03
Kminus,0.1000,0.2000,0.1500,4.276520e+05,9.507117e+00,1.453796e-02
