pt_lo,pt_hi,pt_center,K+,K-,K0S,R,R_err
0.0000,0.1000,0.0500,309551,151222,2.303125e+05,1.000321e+00,2.084231e-03
0.1000,0.2000,0.1500,850440,427652,6.390185e+05,1.000043e+00,1.251000e-03
0.2000,0.3000,0.2500,1190737,623288,9.067050e+05,1.000339e+00,1.050455e-03
0.3000,0.4000,0.3500,1291042,698677,9.930115e+05,1.001861e+00,1.004913e-03
0.4000,0.5000,0.4500,1196901,657090,9.255465e+05,1.001566e+00,1.040664e-03
0.5000,0.6000,0.5500,1002826,547004,7.742545e+05,1.000853e+00,1.137198e-03
0.6000,0.7000,0.6500,783544,422937,6.052180e+05,9.967326e-01,1.282267e-03
0.7000,0.8000,0.7500,587213,314778,4.523495e+05,9.970067e-01,1.483497e-03
0.8000,0.9000,0.8500,426679,226420,3.288910e+05,9.928806e-01,1.734396e-03
0.9000,1.0000,0.9500,305367,160794,2.333300e+05,9.989307e-01,2.068551e-03
1.0000,1.1000,1.0500,216233,113344,1.654105e+05,9.962397e-01,2.451838e-03
1.1000,1.2000,1.1500,152562,79292,1.165110e+05,9.949876e-01,2.918640e-03
1.2000,1.3000,1.2500,106880,54637,8.216150e+04,9.829239e-01,3.444005e-03
1.3000,1.4000,1.3500,75216,38622,5.720100e+04,9.950700e-01,4.165710e-03
1.4000,1.5000,1.4500,51911,26795,3.991250e+04,9.859818e-01,4.952821e-03
1.5000,1.6000,1.5500,36508,18325,2.791050e+04,9.823006e-01,5.906200e-03
1.6000,1.7000,1.6500,25506,12561,1.924650e+04,9.889331e-01,7.148298e-03
1.7000,1.8000,1.7500,17749,8740,1.335450e+04,9.917631e-01,8.599912e-03
1.8000,1.9000,1.8500,12385,5950,9.405000e+03,9.747475e-01,1.011597e-02
1.9000,2.0000,1.9500,8390,3970,6.396000e+03,9.662289e-01,1.218675e-02
2.0000,2.1000,2.0500,5936,2718,4.401500e+03,9.830740e-01,1.488152e-02
2.1000,2.2000,2.1500,4102,1899,3.129000e+03,9.589326e-01,1.732551e-02
2.2000,2.3000,2.2500,2929,1238,2.135500e+03,9.756497e-01,2.124404e-02
2.3000,2.4000,2.3500,1962,867,1.449000e+03,9.761905e-01,2.580076e-02
2.4000,2.5000,2.4500,1393,601,9.970000e+02,1.000000e+00,3.167032e-02
