key,value
n_events,449823
n_events_seen_total,449823
n_particles_seen,501697607
ycut,1.0
y_shift,0.0
input_frame,cm
collision_mode,collider
analysis_frame,cm
ecm_snn_gev,2.9
beam_kinetic_agev,
collision_system,Xe124+Xe124
beam_label,"sqrt(s_NN) = 9.2 GeV, collider, unmodified"
k0_mode,strong
k0s_codes,"(311, -311)"
neutral_scale_for_K0S,0.5
centrality_top_fraction,1.0
centrality_activity_ymax,
centrality_selected_events,449823
centrality_total_events_seen,449823
centrality_threshold_activity,492
Kplus_raw_total,13085276
Kplus_total,13085276.0
Kplus_raw_in_window,8667063
Kplus_in_window,8667063.0
Kplus_per_event_in_window,19.267718635996825
Kminus_raw_total,6279168
Kminus_total,6279168.0
Kminus_raw_in_window,4600589
Kminus_in_window,4600589.0
Kminus_per_event_in_window,10.227553948997716
K0S_raw_total,19387025
K0S_total,9693512.5
K0S_raw_in_window,13280979
K0S_in_window,6640489.5
K0S_per_event_in_window,14.76244989695947
R_integrated,0.9989965348187058
R_integrated_err,0.00038776889274731366
