species,y_lo,y_hi,y_center,counts,value,error
Kplus,-3.0000,-2.9143,-2.9571,2.450000e+02,6.354351e-03,4.059646e-04
Kplus,-2.9143,-2.8286,-2.8714,5.400000e+02,1.400551e-02,6.027011e-04
Kplus,-2.8286,-2.7429,-2.7857,1.140000e+03,2.956719e-02,8.757045e-04
Kplus,-2.7429,-2.6571,-2.7000,2.232000e+03,5.788944e-02,1.225328e-03
Kplus,-2.6571,-2.5714,-2.6143,3.843000e+03,9.967254e-02,1.607831e-03
Kplus,-2.5714,-2.4857,-2.5286,6.672000e+03,1.730458e-01,2.118523e-03
Kplus,-2.4857,-2.4000,-2.4429,1.052200e+04,2.728999e-01,2.660445e-03
Kplus,-2.4000,-2.3143,-2.3571,1.633300e+04,4.236148e-01,3.314653e-03
Kplus,-2.3143,-2.2286,-2.2714,2.355900e+04,6.110292e-01,3.980921e-03
Kplus,-2.2286,-2.1429,-2.1857,3.336600e+04,8.653848e-01,4.737587e-03
Kplus,-2.1429,-2.0571,-2.1000,4.484900e+04,1.163209e+00,5.492645e-03
Kplus,-2.0571,-1.9714,-2.0143,5.791200e+04,1.502013e+00,6.241506e-03
Kplus,-1.9714,-1.8857,-1.9286,7.394600e+04,1.917873e+00,7.052815e-03
Kplus,-1.8857,-1.8000,-1.8429,9.177100e+04,2.380184e+00,7.857020e-03
Kplus,-1.8000,-1.7143,-1.7571,1.106000e+05,2.868536e+00,8.625469e-03
Kplus,-1.7143,-1.6286,-1.6714,1.305920e+05,3.387051e+00,9.372672e-03
Kplus,-1.6286,-1.5429,-1.5857,1.527230e+05,3.961043e+00,1.013578e-02
Kplus,-1.5429,-1.4571,-1.5000,1.732530e+05,4.493512e+00,1.079557e-02
Kplus,-1.4571,-1.3714,-1.4143,1.950720e+05,5.059412e+00,1.145520e-02
Kplus,-1.3714,-1.2857,-1.3286,2.162520e+05,5.608739e+00,1.206105e-02
Kplus,-1.2857,-1.2000,-1.2429,2.362700e+05,6.127929e+00,1.260693e-02
Kplus,-1.2000,-1.1143,-1.1571,2.560910e+05,6.642009e+00,1.312509e-02
Kplus,-1.1143,-1.0286,-1.0714,2.763090e+05,7.166385e+00,1.363335e-02
Kplus,-1.0286,-0.9429,-0.9857,2.944600e+05,7.637152e+00,1.407402e-02
Kplus,-0.9429,-0.8571,-0.9000,3.109270e+05,8.064242e+00,1.446220e-02
Kplus,-0.8571,-0.7714,-0.8143,3.288320e+05,8.528629e+00,1.487278e-02
Kplus,-0.7714,-0.6857,-0.7286,3.436490e+05,8.912924e+00,1.520417e-02
Kplus,-0.6857,-0.6000,-0.6429,3.584760e+05,9.297479e+00,1.552870e-02
Kplus,-0.6000,-0.5143,-0.5571,3.728860e+05,9.671219e+00,1.583774e-02
Kplus,-0.5143,-0.4286,-0.4714,3.846620e+05,9.976643e+00,1.608588e-02
Kplus,-0.4286,-0.3429,-0.3857,3.943280e+05,1.022734e+01,1.628673e-02
Kplus,-0.3429,-0.2571,-0.3000,4.033940e+05,1.046248e+01,1.647289e-02
Kplus,-0.2571,-0.1714,-0.2143,4.104740e+05,1.064611e+01,1.661682e-02
Kplus,-0.1714,-0.0857,-0.1286,4.133050e+05,1.071953e+01,1.667403e-02
Kplus,-0.0857,0.0000,-0.0429,4.155350e+05,1.077737e+01,1.671895e-02
Kplus,0.0000,0.0857,0.0429,4.156540e+05,1.078046e+01,1.672134e-02
Kplus,0.0857,0.1714,0.1286,4.130670e+05,1.071336e+01,1.666922e-02
Kplus,0.1714,0.2571,0.2143,4.088360e+05,1.060362e+01,1.658363e-02
Kplus,0.2571,0.3429,0.3000,4.019580e+05,1.042523e+01,1.644355e-02
Kplus,0.3429,0.4286,0.3857,3.947950e+05,1.023945e+01,1.629637e-02
Kplus,0.4286,0.5143,0.4714,3.851140e+05,9.988366e+00,1.609533e-02
Kplus,0.5143,0.6000,0.5571,3.719490e+05,9.646917e+00,1.581783e-02
Kplus,0.6000,0.6857,0.6429,3.583250e+05,9.293563e+00,1.552543e-02
Kplus,0.6857,0.7714,0.7286,3.442500e+05,8.928512e+00,1.521746e-02
Kplus,0.7714,0.8571,0.8143,3.289710e+05,8.532234e+00,1.487592e-02
Kplus,0.8571,0.9429,0.9000,3.112170e+05,8.071764e+00,1.446894e-02
Kplus,0.9429,1.0286,0.9857,2.941530e+05,7.629190e+00,1.406669e-02
Kplus,1.0286,1.1143,1.0714,2.751200e+05,7.135547e+00,1.360399e-02
Kplus,1.1143,1.2000,1.1571,2.565820e+05,6.654743e+00,1.313767e-02
Kplus,1.2000,1.2857,1.2429,2.364540e+05,6.132701e+00,1.261184e-02
Kplus,1.2857,1.3714,1.3286,2.152640e+05,5.583115e+00,1.203347e-02
Kplus,1.3714,1.4571,1.4143,1.938260e+05,5.027096e+00,1.141856e-02
Kplus,1.4571,1.5429,1.5000,1.734520e+05,4.498673e+00,1.080177e-02
Kplus,1.5429,1.6286,1.5857,1.527310e+05,3.961251e+00,1.013605e-02
Kplus,1.6286,1.7143,1.6714,1.312510e+05,3.404143e+00,9.396291e-03
Kplus,1.7143,1.8000,1.7571,1.108200e+05,2.874242e+00,8.634043e-03
Kplus,1.8000,1.8857,1.8429,9.193600e+04,2.384464e+00,7.864080e-03
Kplus,1.8857,1.9714,1.9286,7.363000e+04,1.909677e+00,7.037729e-03
Kplus,1.9714,2.0571,2.0143,5.838000e+04,1.514151e+00,6.266675e-03
Kplus,2.0571,2.1429,2.1000,4.446300e+04,1.153198e+00,5.468957e-03
