y_lo,y_hi,y_center,KmeanCharged_value,KmeanCharged_err,TwoK0S_value,TwoK0S_err
-3.0000,-2.9143,-2.9571,4.175717e-03,2.327036e-04,4.759279e-03,2.484324e-04
-2.9143,-2.8286,-2.8714,8.896092e-03,3.396544e-04,9.687144e-03,3.544340e-04
-2.8286,-2.7429,-2.7857,1.873885e-02,4.929570e-04,1.815529e-02,4.852205e-04
-2.7429,-2.6571,-2.7000,3.575295e-02,6.809160e-04,3.498784e-02,6.735907e-04
-2.6571,-2.5714,-2.6143,6.168908e-02,8.944204e-04,6.443831e-02,9.141335e-04
-2.5714,-2.4857,-2.5286,1.056378e-01,1.170435e-03,1.041725e-01,1.162289e-03
-2.4857,-2.4000,-2.4429,1.668082e-01,1.470775e-03,1.711525e-01,1.489804e-03
-2.4000,-2.3143,-2.3571,2.596206e-01,1.834878e-03,2.612935e-01,1.840780e-03
-2.3143,-2.2286,-2.2714,3.756718e-01,2.207201e-03,3.804700e-01,2.221252e-03
-2.2286,-2.1429,-2.1857,5.364369e-01,2.637527e-03,5.398216e-01,2.645835e-03
-2.1429,-2.0571,-2.1000,7.268600e-01,3.070174e-03,7.228139e-01,3.061617e-03
-2.0571,-1.9714,-2.0143,9.526080e-01,3.514752e-03,9.554351e-01,3.519963e-03
-1.9714,-1.8857,-1.9286,1.226636e+00,3.988370e-03,1.224081e+00,3.984215e-03
-1.8857,-1.8000,-1.8429,1.538090e+00,4.466100e-03,1.542824e+00,4.472967e-03
-1.8000,-1.7143,-1.7571,1.884610e+00,4.943657e-03,1.894660e+00,4.956821e-03
-1.7143,-1.6286,-1.6714,2.253045e+00,5.405334e-03,2.276933e+00,5.433913e-03
-1.6286,-1.5429,-1.5857,2.670993e+00,5.885373e-03,2.673405e+00,5.888029e-03
-1.5429,-1.4571,-1.5000,3.076440e+00,6.316286e-03,3.069748e+00,6.309413e-03
-1.4571,-1.3714,-1.4143,3.506603e+00,6.743431e-03,3.518819e+00,6.755166e-03
-1.3714,-1.2857,-1.3286,3.937169e+00,7.145450e-03,3.939296e+00,7.147380e-03
-1.2857,-1.2000,-1.2429,4.360161e+00,7.519498e-03,4.381053e+00,7.537491e-03
-1.2000,-1.1143,-1.1571,4.791272e+00,7.882482e-03,4.781208e+00,7.874199e-03
-1.1143,-1.0286,-1.0714,5.224755e+00,8.231340e-03,5.209556e+00,8.219359e-03
-1.0286,-0.9429,-0.9857,5.624872e+00,8.540708e-03,5.629501e+00,8.544222e-03
-0.9429,-0.8571,-0.9000,6.001309e+00,8.821868e-03,6.036284e+00,8.847537e-03
-0.8571,-0.7714,-0.8143,6.397198e+00,9.108198e-03,6.393657e+00,9.105677e-03
-0.7714,-0.6857,-0.7286,6.742900e+00,9.351062e-03,6.757645e+00,9.361280e-03
-0.6857,-0.6000,-0.6429,7.092973e+00,9.590731e-03,7.089446e+00,9.588346e-03
-0.6000,-0.5143,-0.5571,7.392121e+00,9.790888e-03,7.411300e+00,9.803582e-03
-0.5143,-0.4286,-0.4714,7.673826e+00,9.975704e-03,7.661973e+00,9.967996e-03
-0.4286,-0.3429,-0.3857,7.896902e+00,1.011966e-02,7.908989e+00,1.012740e-02
-0.3429,-0.2571,-0.3000,8.090243e+00,1.024279e-02,8.117697e+00,1.026016e-02
-0.2571,-0.1714,-0.2143,8.250801e+00,1.034393e-02,8.241905e+00,1.033835e-02
-0.1714,-0.0857,-0.1286,8.331371e+00,1.039431e-02,8.362949e+00,1.041399e-02
-0.0857,0.0000,-0.0429,8.379444e+00,1.042426e-02,8.373608e+00,1.042063e-02
0.0000,0.0857,0.0429,8.380105e+00,1.042467e-02,8.393061e+00,1.043272e-02
0.0857,0.1714,0.1286,8.332059e+00,1.039474e-02,8.354416e+00,1.040868e-02
0.1714,0.2571,0.2143,8.239285e+00,1.033671e-02,8.241801e+00,1.033829e-02
0.2571,0.3429,0.3000,8.073994e+00,1.023250e-02,8.097479e+00,1.024737e-02
0.3429,0.4286,0.3857,7.901182e+00,1.012240e-02,7.914033e+00,1.013063e-02
0.4286,0.5143,0.4714,7.678909e+00,9.979007e-03,7.643130e+00,9.955732e-03
0.5143,0.6000,0.5571,7.388515e+00,9.788500e-03,7.388256e+00,9.788329e-03
0.6000,0.6857,0.6429,7.074922e+00,9.578519e-03,7.093427e+00,9.591038e-03
0.6857,0.7714,0.7286,6.749812e+00,9.355854e-03,6.742537e+00,9.350810e-03
0.7714,0.8571,0.8143,6.405938e+00,9.114418e-03,6.394682e+00,9.106407e-03
0.8571,0.9429,0.9000,6.001231e+00,8.821811e-03,6.019801e+00,8.835449e-03
0.9429,1.0286,0.9857,5.618517e+00,8.535883e-03,5.623341e+00,8.539546e-03
1.0286,1.1143,1.0714,5.201114e+00,8.212696e-03,5.208182e+00,8.218274e-03
1.1143,1.2000,1.1571,4.799143e+00,7.888954e-03,4.789521e+00,7.881041e-03
1.2000,1.2857,1.2429,4.359318e+00,7.518771e-03,4.375892e+00,7.533050e-03
1.2857,1.3714,1.3286,3.928104e+00,7.137220e-03,3.929349e+00,7.138351e-03
1.3714,1.4571,1.4143,3.482638e+00,6.720348e-03,3.504217e+00,6.741136e-03
1.4571,1.5429,1.5000,3.075039e+00,6.314848e-03,3.072731e+00,6.312477e-03
1.5429,1.6286,1.5857,2.669450e+00,5.883672e-03,2.660450e+00,5.873746e-03
1.6286,1.7143,1.6714,2.261021e+00,5.414893e-03,2.262292e+00,5.416414e-03
1.7143,1.8000,1.7571,1.886451e+00,4.946071e-03,1.890173e+00,4.950948e-03
1.8000,1.8857,1.8429,1.543718e+00,4.474264e-03,1.540191e+00,4.469149e-03
1.8857,1.9714,1.9286,1.223770e+00,3.983708e-03,1.232861e+00,3.998477e-03
1.9714,2.0571,2.0143,9.589883e-01,3.526503e-03,9.606223e-01,3.529506e-03
2.0571,2.1429,2.1000,7.223990e-01,3.060738e-03,7.234623e-01,3.062990e-03
2.1429,2.2286,2.1857,5.264385e-01,2.612832e-03,5.357885e-01,2.635932e-03
2.2286,2.3143,2.2714,3.745825e-01,2.203999e-03,3.789139e-01,2.216705e-03
2.3143,2.4000,2.3571,2.570789e-01,1.825874e-03,2.619290e-01,1.843017e-03
2.4000,2.4857,2.4429,1.675993e-01,1.474258e-03,1.724493e-01,1.495438e-03
2.4857,2.5714,2.5286,1.040946e-01,1.161855e-03,1.072459e-01,1.179310e-03
2.5714,2.6571,2.6143,6.277840e-02,9.022828e-04,6.109255e-02,8.900854e-04
2.6571,2.7429,2.7000,3.509158e-02,6.745887e-04,3.573998e-02,6.807925e-04
