#: table_doi: 10.17182/hepdata.156978.v2/t2
#: name: Figure 1b
#: description: Numerical data for $(K^+ + K^-)/2$ from Figure 1.
#: data_file: figure_1b.yaml
#: keyword observables: dn/dy
y,dn/dy,total uncertainty +,total uncertainty -
-0.1,2.9727,0.092069,-0.092069
0.1,2.8804,0.0822,-0.0822
0.3,2.8063,0.096879,-0.096879
0.5,2.7238,0.10689,-0.10689
0.7,2.5424,0.046778,-0.046778
0.9,2.3123,0.044709,-0.044709
1.1,2.0523,0.039846,-0.039846
1.3,1.6929,0.039729,-0.039729
1.5,1.2952,0.041245,-0.041245
1.7,0.98776,0.03404,-0.03404
1.9,0.72679,0.029134,-0.029134
2.1,0.54528,0.042076,-0.042076
2.3,0.36779,0.03762,-0.03762

