#: table_doi: 10.17182/hepdata.156978.v2/t4
#: name: Figure 2b
#: description: Numerical data for $(K^+ + K^-)/2$ from Figure 2.
#: data_file: figure_2b.yaml
#: keyword observables: dn/dp$_T$
$p_T$ [GeV/c],dn/dp$_T$ [(GeV/c)$^{-1}$],total uncertainty +,total uncertainty -
0.05,1.4776,0.030092,-0.030092
0.15,3.9479,0.085532,-0.085532
0.25,5.4532,0.13739,-0.13739
0.35,5.8503,0.1112,-0.1112
0.45,5.4611,0.10571,-0.10571
0.55,4.6566,0.074369,-0.074369
0.65,3.6606,0.13091,-0.13091
0.75,2.7946,0.10263,-0.10263
0.85,2.0412,0.09101,-0.09101
0.95,1.4311,0.062184,-0.062184
1.05,1.0141,0.056271,-0.056271
1.15,0.69714,0.048678,-0.048678
1.25,0.47786,0.029436,-0.029436
1.35,0.33949,0.031401,-0.031401

